ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KUTU-11-1,KUTU,Kutu,11,one,mwe,,
KUTU-12-1,KUTU,Kutu,12,two,wili,,
KUTU-18-1,KUTU,Kutu,18,person,nhu,,
KUTU-19-1,KUTU,Kutu,19,fish,somba,,
KUTU-21-1,KUTU,Kutu,21,dog,bwa,,
KUTU-21-2,KUTU,Kutu,21,dog,ganga,,
KUTU-22-1,KUTU,Kutu,22,louse,hani,,
KUTU-23-1,KUTU,Kutu,23,tree,ti,,
KUTU-23-2,KUTU,Kutu,23,tree,biki,,
KUTU-25-1,KUTU,Kutu,25,leaf,cani,,
KUTU-28-1,KUTU,Kutu,28,skin,goci,,
KUTU-30-1,KUTU,Kutu,30,blood,lapo,,
KUTU-31-1,KUTU,Kutu,31,bone,ege,,
KUTU-34-1,KUTU,Kutu,34,horn,hembe,,
KUTU-39-1,KUTU,Kutu,39,ear,witi,,
KUTU-40-1,KUTU,Kutu,40,eye,so,,
KUTU-41-1,KUTU,Kutu,41,nose,hula,,
KUTU-43-1,KUTU,Kutu,43,tooth,no,,
KUTU-44-1,KUTU,Kutu,44,tongue,limi,,
KUTU-47-1,KUTU,Kutu,47,knee,ndi,,
KUTU-51-1,KUTU,Kutu,51,breast,mbo,,
KUTU-53-1,KUTU,Kutu,53,liver,ini,,
KUTU-54-1,KUTU,Kutu,54,drink,ngwa,,
KUTU-57-1,KUTU,Kutu,57,see,lola,,
KUTU-58-1,KUTU,Kutu,58,hear,hulika,,
KUTU-61-1,KUTU,Kutu,61,die,fa,,
KUTU-61-2,KUTU,Kutu,61,die,danganika,,
KUTU-66-1,KUTU,Kutu,66,come,ica,,
KUTU-72-1,KUTU,Kutu,72,sun,ua,,
KUTU-74-1,KUTU,Kutu,74,star,hondo,,
KUTU-75-1,KUTU,Kutu,75,water,aci,,
KUTU-77-1,KUTU,Kutu,77,stone,bwe,,
KUTU-82-1,KUTU,Kutu,82,fire,to,,
KUTU-85-1,KUTU,Kutu,85,path,cila,,
KUTU-86-1,KUTU,Kutu,86,mountain,lima,,
KUTU-92-1,KUTU,Kutu,92,night,Tilo,,
KUTU-96-1,KUTU,Kutu,96,new,iha,,
KUTU-100-1,KUTU,Kutu,100,name,waga,,
