ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KWAIO-1-1,KWAIO,Kwaio,1,I,nau,,
KWAIO-2-1,KWAIO,Kwaio,2,you,o,,
KWAIO-3-1,KWAIO,Kwaio,3,we,daulu,,
KWAIO-11-1,KWAIO,Kwaio,11,one,te7e,,
KWAIO-12-1,KWAIO,Kwaio,12,two,lua,,
KWAIO-18-1,KWAIO,Kwaio,18,person,ai,,
KWAIO-19-1,KWAIO,Kwaio,19,fish,i7a,,
KWAIO-21-1,KWAIO,Kwaio,21,dog,ku7ito,,
KWAIO-22-1,KWAIO,Kwaio,22,louse,u,,
KWAIO-25-1,KWAIO,Kwaio,25,leaf,ga7e,,
KWAIO-28-1,KWAIO,Kwaio,28,skin,susuNa,,
KWAIO-30-1,KWAIO,Kwaio,30,blood,abu,,
KWAIO-31-1,KWAIO,Kwaio,31,bone,suli,,
KWAIO-39-1,KWAIO,Kwaio,39,ear,aliNa,,
KWAIO-40-1,KWAIO,Kwaio,40,eye,ma,,
KWAIO-41-1,KWAIO,Kwaio,41,nose,gw~aNo,,
KWAIO-43-1,KWAIO,Kwaio,43,tooth,nifo,,
KWAIO-44-1,KWAIO,Kwaio,44,tongue,mea,,
KWAIO-48-1,KWAIO,Kwaio,48,hand,nima,,
KWAIO-51-1,KWAIO,Kwaio,51,breast,susu,,
KWAIO-53-1,KWAIO,Kwaio,53,liver,lae,,
KWAIO-54-1,KWAIO,Kwaio,54,drink,go7ufi7a,,
KWAIO-57-1,KWAIO,Kwaio,57,see,agasi,,
KWAIO-58-1,KWAIO,Kwaio,58,hear,loNa,,
KWAIO-61-1,KWAIO,Kwaio,61,die,mae,,
KWAIO-66-1,KWAIO,Kwaio,66,come,leka mai,,
KWAIO-74-1,KWAIO,Kwaio,74,star,bulubulu,,
KWAIO-75-1,KWAIO,Kwaio,75,water,talufa7e,,
KWAIO-77-1,KWAIO,Kwaio,77,stone,fou,,
KWAIO-82-1,KWAIO,Kwaio,82,fire,ele,,
KWAIO-85-1,KWAIO,Kwaio,85,path,tala,,
KWAIO-92-1,KWAIO,Kwaio,92,night,gania7i,,
KWAIO-96-1,KWAIO,Kwaio,96,new,folu,,
KWAIO-100-1,KWAIO,Kwaio,100,name,lata,,
