ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KWERBA_KAUWERAWET_I-1-1,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,1,I,em,,
KWERBA_KAUWERAWET_I-2-1,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,2,you,am,,
KWERBA_KAUWERAWET_I-3-1,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,3,we,nana,,
KWERBA_KAUWERAWET_I-11-1,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,11,one,abic,,
KWERBA_KAUWERAWET_I-12-1,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,12,two,ninic,,
KWERBA_KAUWERAWET_I-21-1,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,21,dog,okwa,,
KWERBA_KAUWERAWET_I-22-1,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,22,louse,pise,,
KWERBA_KAUWERAWET_I-23-1,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,23,tree,ic,,
KWERBA_KAUWERAWET_I-28-1,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,28,skin,kurakora,,
KWERBA_KAUWERAWET_I-30-1,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,30,blood,sac,,
KWERBA_KAUWERAWET_I-31-1,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,31,bone,kak,,
KWERBA_KAUWERAWET_I-40-1,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,40,eye,nok,,
KWERBA_KAUWERAWET_I-43-1,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,43,tooth,kwan,,
KWERBA_KAUWERAWET_I-48-1,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,48,hand,tajen,,
KWERBA_KAUWERAWET_I-57-1,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,57,see,uwarim,,
KWERBA_KAUWERAWET_I-66-1,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,66,come,com,,
KWERBA_KAUWERAWET_I-72-1,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,72,sun,abic,,
KWERBA_KAUWERAWET_I-75-1,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,75,water,pitao,,
KWERBA_KAUWERAWET_I-77-1,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,77,stone,kaowi,,
KWERBA_KAUWERAWET_I-77-2,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,77,stone,ton,,
KWERBA_KAUWERAWET_I-82-1,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,82,fire,her,,
KWERBA_KAUWERAWET_I-82-2,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,82,fire,ser,,
KWERBA_KAUWERAWET_I-92-1,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,92,night,cin,,
KWERBA_KAUWERAWET_I-100-1,KWERBA_KAUWERAWET_I,Kwerba Kauwerawet I,100,name,bukwin,,
