ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
KYAKA_ENGA-1-1,KYAKA_ENGA,Kyaka Enga,1,I,namba,,
KYAKA_ENGA-2-1,KYAKA_ENGA,Kyaka Enga,2,you,emba,,
KYAKA_ENGA-3-1,KYAKA_ENGA,Kyaka Enga,3,we,namwua,,
KYAKA_ENGA-3-2,KYAKA_ENGA,Kyaka Enga,3,we,naima,,
KYAKA_ENGA-11-1,KYAKA_ENGA,Kyaka Enga,11,one,mendaki,,
KYAKA_ENGA-11-2,KYAKA_ENGA,Kyaka Enga,11,one,mende,,
KYAKA_ENGA-11-3,KYAKA_ENGA,Kyaka Enga,11,one,mendale,,
KYAKA_ENGA-11-4,KYAKA_ENGA,Kyaka Enga,11,one,mendare,,
KYAKA_ENGA-11-5,KYAKA_ENGA,Kyaka Enga,11,one,wakale,,
KYAKA_ENGA-12-1,KYAKA_ENGA,Kyaka Enga,12,two,lama,,
KYAKA_ENGA-12-2,KYAKA_ENGA,Kyaka Enga,12,two,lapo,,
KYAKA_ENGA-12-3,KYAKA_ENGA,Kyaka Enga,12,two,lama dolapo,,
KYAKA_ENGA-12-4,KYAKA_ENGA,Kyaka Enga,12,two,laparae,,
KYAKA_ENGA-18-1,KYAKA_ENGA,Kyaka Enga,18,person,wambu,,
KYAKA_ENGA-19-1,KYAKA_ENGA,Kyaka Enga,19,fish,oma,,
KYAKA_ENGA-19-2,KYAKA_ENGA,Kyaka Enga,19,fish,anombali,,
KYAKA_ENGA-21-1,KYAKA_ENGA,Kyaka Enga,21,dog,suwua,,
KYAKA_ENGA-21-2,KYAKA_ENGA,Kyaka Enga,21,dog,yana,,
KYAKA_ENGA-22-1,KYAKA_ENGA,Kyaka Enga,22,louse,lema,,
KYAKA_ENGA-23-1,KYAKA_ENGA,Kyaka Enga,23,tree,isa,,
KYAKA_ENGA-23-2,KYAKA_ENGA,Kyaka Enga,23,tree,ita,,
KYAKA_ENGA-25-1,KYAKA_ENGA,Kyaka Enga,25,leaf,yoko,,
KYAKA_ENGA-25-2,KYAKA_ENGA,Kyaka Enga,25,leaf,mau,,
KYAKA_ENGA-25-3,KYAKA_ENGA,Kyaka Enga,25,leaf,kyaeya mau,,
KYAKA_ENGA-28-1,KYAKA_ENGA,Kyaka Enga,28,skin,yaneNe,,
KYAKA_ENGA-28-2,KYAKA_ENGA,Kyaka Enga,28,skin,yanai,,
KYAKA_ENGA-28-3,KYAKA_ENGA,Kyaka Enga,28,skin,yanoNe,,
KYAKA_ENGA-28-4,KYAKA_ENGA,Kyaka Enga,28,skin,yangae,,
KYAKA_ENGA-30-1,KYAKA_ENGA,Kyaka Enga,30,blood,ranjama,,
KYAKA_ENGA-30-2,KYAKA_ENGA,Kyaka Enga,30,blood,kupwapu,,
KYAKA_ENGA-30-3,KYAKA_ENGA,Kyaka Enga,30,blood,rayoko,,
KYAKA_ENGA-30-4,KYAKA_ENGA,Kyaka Enga,30,blood,raiyako,,
KYAKA_ENGA-30-5,KYAKA_ENGA,Kyaka Enga,30,blood,we,,
KYAKA_ENGA-30-6,KYAKA_ENGA,Kyaka Enga,30,blood,enda we,,
KYAKA_ENGA-31-1,KYAKA_ENGA,Kyaka Enga,31,bone,kuli,,
KYAKA_ENGA-34-1,KYAKA_ENGA,Kyaka Enga,34,horn,neNe,,
KYAKA_ENGA-39-1,KYAKA_ENGA,Kyaka Enga,39,ear,kale,,
KYAKA_ENGA-40-1,KYAKA_ENGA,Kyaka Enga,40,eye,lenge,,
KYAKA_ENGA-41-1,KYAKA_ENGA,Kyaka Enga,41,nose,gya,,
KYAKA_ENGA-41-2,KYAKA_ENGA,Kyaka Enga,41,nose,lya,,
KYAKA_ENGA-43-1,KYAKA_ENGA,Kyaka Enga,43,tooth,neNe,,
KYAKA_ENGA-44-1,KYAKA_ENGA,Kyaka Enga,44,tongue,keke,,
