ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
LAMANI-1-1,LAMANI,Lamani,1,I,ma,,
LAMANI-2-1,LAMANI,Lamani,2,you,tu*,,
LAMANI-3-1,LAMANI,Lamani,3,we,ham,,
LAMANI-11-1,LAMANI,Lamani,11,one,ek,,
LAMANI-12-1,LAMANI,Lamani,12,two,di,,
LAMANI-18-1,LAMANI,Lamani,18,person,insan,,
LAMANI-18-2,LAMANI,Lamani,18,person,cana,,
LAMANI-18-3,LAMANI,Lamani,18,person,cat,,
LAMANI-18-4,LAMANI,Lamani,18,person,n3rman3s,,
LAMANI-19-1,LAMANI,Lamani,19,fish,macli,,
LAMANI-21-1,LAMANI,Lamani,21,dog,kutra,,
LAMANI-23-1,LAMANI,Lamani,23,tree,chad,,
LAMANI-23-2,LAMANI,Lamani,23,tree,pol,,
LAMANI-25-1,LAMANI,Lamani,25,leaf,palo,,
LAMANI-25-2,LAMANI,Lamani,25,leaf,pan,,
LAMANI-28-1,LAMANI,Lamani,28,skin,cholnu,,
LAMANI-30-1,LAMANI,Lamani,30,blood,loi,,
LAMANI-31-1,LAMANI,Lamani,31,bone,h3dka,,
LAMANI-34-1,LAMANI,Lamani,34,horn,siNg,,
LAMANI-39-1,LAMANI,Lamani,39,ear,kan,,
LAMANI-40-1,LAMANI,Lamani,40,eye,aNki,,
LAMANI-40-2,LAMANI,Lamani,40,eye,dola,,
LAMANI-41-1,LAMANI,Lamani,41,nose,nak,,
LAMANI-43-1,LAMANI,Lamani,43,tooth,dant,,
LAMANI-44-1,LAMANI,Lamani,44,tongue,c3ban,,
LAMANI-47-1,LAMANI,Lamani,47,knee,godo,,
LAMANI-48-1,LAMANI,Lamani,48,hand,hat,,
LAMANI-51-1,LAMANI,Lamani,51,breast,baCi,,
LAMANI-54-1,LAMANI,Lamani,54,drink,pinu,,
LAMANI-57-1,LAMANI,Lamani,57,see,deknu,,
LAMANI-58-1,LAMANI,Lamani,58,hear,sam3lnu,,
LAMANI-61-1,LAMANI,Lamani,61,die,guc3r canu,,
LAMANI-61-2,LAMANI,Lamani,61,die,khutnu,,
LAMANI-61-3,LAMANI,Lamani,61,die,marnu,,
LAMANI-61-4,LAMANI,Lamani,61,die,s3ma canu,,
LAMANI-66-1,LAMANI,Lamani,66,come,anu,,
LAMANI-66-2,LAMANI,Lamani,66,come,a,,
LAMANI-72-1,LAMANI,Lamani,72,sun,dado,,
LAMANI-72-2,LAMANI,Lamani,72,sun,surjya,,
LAMANI-72-3,LAMANI,Lamani,72,sun,t3dko,,
LAMANI-74-1,LAMANI,Lamani,74,star,tara,,
LAMANI-75-1,LAMANI,Lamani,75,water,cal,,
LAMANI-75-2,LAMANI,Lamani,75,water,pani,,
LAMANI-77-1,LAMANI,Lamani,77,stone,bhata,,
LAMANI-77-2,LAMANI,Lamani,77,stone,p3tt3r,,
LAMANI-82-1,LAMANI,Lamani,82,fire,3Ngar,,
LAMANI-85-1,LAMANI,Lamani,85,path,wat,,
LAMANI-86-1,LAMANI,Lamani,86,mountain,pad,,
LAMANI-92-1,LAMANI,Lamani,92,night,rat,,
LAMANI-95-1,LAMANI,Lamani,95,full,bharo,,
LAMANI-95-2,LAMANI,Lamani,95,full,bhari,,
LAMANI-96-1,LAMANI,Lamani,96,new,nawo,,
LAMANI-100-1,LAMANI,Lamani,100,name,nam,,
