ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
LANGUEDOCIEN-2-1,LANGUEDOCIEN,Languedocien,2,you,ti,,
LANGUEDOCIEN-3-1,LANGUEDOCIEN,Languedocien,3,we,nuzautres,,
LANGUEDOCIEN-11-1,LANGUEDOCIEN,Languedocien,11,one,i,,
LANGUEDOCIEN-12-1,LANGUEDOCIEN,Languedocien,12,two,dus,,
LANGUEDOCIEN-18-1,LANGUEDOCIEN,Languedocien,18,person,persuno,,
LANGUEDOCIEN-19-1,LANGUEDOCIEN,Languedocien,19,fish,peys,,
LANGUEDOCIEN-21-1,LANGUEDOCIEN,Languedocien,21,dog,ka,,
LANGUEDOCIEN-21-2,LANGUEDOCIEN,Languedocien,21,dog,gus,,
LANGUEDOCIEN-22-1,LANGUEDOCIEN,Languedocien,22,louse,pezul,,
LANGUEDOCIEN-23-1,LANGUEDOCIEN,Languedocien,23,tree,arbre,,
LANGUEDOCIEN-25-1,LANGUEDOCIEN,Languedocien,25,leaf,fiElo,,
LANGUEDOCIEN-28-1,LANGUEDOCIEN,Languedocien,28,skin,pel,,
LANGUEDOCIEN-30-1,LANGUEDOCIEN,Languedocien,30,blood,saN,,
LANGUEDOCIEN-31-1,LANGUEDOCIEN,Languedocien,31,bone,os,,
LANGUEDOCIEN-34-1,LANGUEDOCIEN,Languedocien,34,horn,korno,,
LANGUEDOCIEN-39-1,LANGUEDOCIEN,Languedocien,39,ear,awreLo,,
LANGUEDOCIEN-40-1,LANGUEDOCIEN,Languedocien,40,eye,ieL,,
LANGUEDOCIEN-41-1,LANGUEDOCIEN,Languedocien,41,nose,nas,,
LANGUEDOCIEN-43-1,LANGUEDOCIEN,Languedocien,43,tooth,den,,
LANGUEDOCIEN-44-1,LANGUEDOCIEN,Languedocien,44,tongue,leNg~o,,
LANGUEDOCIEN-47-1,LANGUEDOCIEN,Languedocien,47,knee,jenul,,
LANGUEDOCIEN-48-1,LANGUEDOCIEN,Languedocien,48,hand,ma,,
LANGUEDOCIEN-51-1,LANGUEDOCIEN,Languedocien,51,breast,pupo,,
LANGUEDOCIEN-53-1,LANGUEDOCIEN,Languedocien,53,liver,feje,,
LANGUEDOCIEN-54-1,LANGUEDOCIEN,Languedocien,54,drink,bewre,,
LANGUEDOCIEN-57-1,LANGUEDOCIEN,Languedocien,57,see,beyre,,
LANGUEDOCIEN-58-1,LANGUEDOCIEN,Languedocien,58,hear,awzi,,
LANGUEDOCIEN-61-1,LANGUEDOCIEN,Languedocien,61,die,kreba,,
LANGUEDOCIEN-66-1,LANGUEDOCIEN,Languedocien,66,come,bEni,,
LANGUEDOCIEN-72-1,LANGUEDOCIEN,Languedocien,72,sun,sulel,,
LANGUEDOCIEN-74-1,LANGUEDOCIEN,Languedocien,74,star,estelo,,
LANGUEDOCIEN-75-1,LANGUEDOCIEN,Languedocien,75,water,aygo,,
LANGUEDOCIEN-77-1,LANGUEDOCIEN,Languedocien,77,stone,pEyro,,
LANGUEDOCIEN-82-1,LANGUEDOCIEN,Languedocien,82,fire,fiok,,
LANGUEDOCIEN-85-1,LANGUEDOCIEN,Languedocien,85,path,kami,,
LANGUEDOCIEN-86-1,LANGUEDOCIEN,Languedocien,86,mountain,munta5o,,
LANGUEDOCIEN-92-1,LANGUEDOCIEN,Languedocien,92,night,5oC,,
LANGUEDOCIEN-95-1,LANGUEDOCIEN,Languedocien,95,full,ple,,
LANGUEDOCIEN-96-1,LANGUEDOCIEN,Languedocien,96,new,naw,,
LANGUEDOCIEN-100-1,LANGUEDOCIEN,Languedocien,100,name,nun,,
