ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
LARRAKIA-1-1,LARRAKIA,Larrakia,1,I,Nana,,
LARRAKIA-2-1,LARRAKIA,Larrakia,2,you,iTana,,
LARRAKIA-3-1,LARRAKIA,Larrakia,3,we,NaraNara,,
LARRAKIA-11-1,LARRAKIA,Larrakia,11,one,galaguk,,
LARRAKIA-12-1,LARRAKIA,Larrakia,12,two,galiTilik,,
LARRAKIA-21-1,LARRAKIA,Larrakia,21,dog,biliNga,,
LARRAKIA-22-1,LARRAKIA,Larrakia,22,louse,dam3,,
LARRAKIA-23-1,LARRAKIA,Larrakia,23,tree,matb3r,,
LARRAKIA-25-1,LARRAKIA,Larrakia,25,leaf,gwoyur,,
LARRAKIA-28-1,LARRAKIA,Larrakia,28,skin,yal,,
LARRAKIA-30-1,LARRAKIA,Larrakia,30,blood,damiTa,,
LARRAKIA-31-1,LARRAKIA,Larrakia,31,bone,muya,,
LARRAKIA-39-1,LARRAKIA,Larrakia,39,ear,banatda,,
LARRAKIA-40-1,LARRAKIA,Larrakia,40,eye,dam3,,
LARRAKIA-41-1,LARRAKIA,Larrakia,41,nose,gwiyin,,
LARRAKIA-43-1,LARRAKIA,Larrakia,43,tooth,dinbergi,,
LARRAKIA-44-1,LARRAKIA,Larrakia,44,tongue,gweymala,,
LARRAKIA-47-1,LARRAKIA,Larrakia,47,knee,y3b3r,,
LARRAKIA-48-1,LARRAKIA,Larrakia,48,hand,gwoyar,,
LARRAKIA-51-1,LARRAKIA,Larrakia,51,breast,gweyminkapbu,,
LARRAKIA-53-1,LARRAKIA,Larrakia,53,liver,mamarni,,
LARRAKIA-72-1,LARRAKIA,Larrakia,72,sun,deli,,
LARRAKIA-74-1,LARRAKIA,Larrakia,74,star,mamili,,
LARRAKIA-75-1,LARRAKIA,Larrakia,75,water,kara,,
LARRAKIA-77-1,LARRAKIA,Larrakia,77,stone,belpbe,,
LARRAKIA-77-2,LARRAKIA,Larrakia,77,stone,darmin,,
LARRAKIA-82-1,LARRAKIA,Larrakia,82,fire,guyu,,
LARRAKIA-85-1,LARRAKIA,Larrakia,85,path,gweybar,,
LARRAKIA-86-1,LARRAKIA,Larrakia,86,mountain,gweymara,,
LARRAKIA-92-1,LARRAKIA,Larrakia,92,night,damuN,,
LARRAKIA-96-1,LARRAKIA,Larrakia,96,new,gulul,,
LARRAKIA-100-1,LARRAKIA,Larrakia,100,name,ya,,
