ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
LENCA_EL_SALVADOR-1-1,LENCA_EL_SALVADOR,Lenca El Salvador,1,I,uno,,
LENCA_EL_SALVADOR-2-1,LENCA_EL_SALVADOR,Lenca El Salvador,2,you,mano,,
LENCA_EL_SALVADOR-3-1,LENCA_EL_SALVADOR,Lenca El Salvador,3,we,pinani,,
LENCA_EL_SALVADOR-11-1,LENCA_EL_SALVADOR,Lenca El Salvador,11,one,pis,,
LENCA_EL_SALVADOR-11-2,LENCA_EL_SALVADOR,Lenca El Salvador,11,one,piS,,
LENCA_EL_SALVADOR-12-1,LENCA_EL_SALVADOR,Lenca El Salvador,12,two,pe,,
LENCA_EL_SALVADOR-12-2,LENCA_EL_SALVADOR,Lenca El Salvador,12,two,pE,,
LENCA_EL_SALVADOR-19-1,LENCA_EL_SALVADOR,Lenca El Salvador,19,fish,Sokin,,
LENCA_EL_SALVADOR-21-1,LENCA_EL_SALVADOR,Lenca El Salvador,21,dog,SuSu,,
LENCA_EL_SALVADOR-22-1,LENCA_EL_SALVADOR,Lenca El Salvador,22,louse,tEm,,
LENCA_EL_SALVADOR-23-1,LENCA_EL_SALVADOR,Lenca El Salvador,23,tree,ima,,
LENCA_EL_SALVADOR-23-2,LENCA_EL_SALVADOR,Lenca El Salvador,23,tree,sun,,
LENCA_EL_SALVADOR-25-1,LENCA_EL_SALVADOR,Lenca El Salvador,25,leaf,iyau,,
LENCA_EL_SALVADOR-28-1,LENCA_EL_SALVADOR,Lenca El Salvador,28,skin,icaca,,
LENCA_EL_SALVADOR-30-1,LENCA_EL_SALVADOR,Lenca El Salvador,30,blood,ala,,
LENCA_EL_SALVADOR-34-1,LENCA_EL_SALVADOR,Lenca El Salvador,34,horn,igaSu,,
LENCA_EL_SALVADOR-39-1,LENCA_EL_SALVADOR,Lenca El Salvador,39,ear,dogoro,,
LENCA_EL_SALVADOR-39-2,LENCA_EL_SALVADOR,Lenca El Salvador,39,ear,idsogoro,,
LENCA_EL_SALVADOR-40-1,LENCA_EL_SALVADOR,Lenca El Salvador,40,eye,zap,,
LENCA_EL_SALVADOR-40-2,LENCA_EL_SALVADOR,Lenca El Salvador,40,eye,cap,,
LENCA_EL_SALVADOR-41-1,LENCA_EL_SALVADOR,Lenca El Salvador,41,nose,nepkuru,,
LENCA_EL_SALVADOR-43-1,LENCA_EL_SALVADOR,Lenca El Salvador,43,tooth,ne,,
LENCA_EL_SALVADOR-43-2,LENCA_EL_SALVADOR,Lenca El Salvador,43,tooth,nes,,
LENCA_EL_SALVADOR-44-1,LENCA_EL_SALVADOR,Lenca El Salvador,44,tongue,"inc""ac""a",,
LENCA_EL_SALVADOR-48-1,LENCA_EL_SALVADOR,Lenca El Salvador,48,hand,goSaga,,
LENCA_EL_SALVADOR-48-2,LENCA_EL_SALVADOR,Lenca El Salvador,48,hand,koSaga,,
LENCA_EL_SALVADOR-54-1,LENCA_EL_SALVADOR,Lenca El Salvador,54,drink,talgin,,
LENCA_EL_SALVADOR-54-2,LENCA_EL_SALVADOR,Lenca El Salvador,54,drink,talikon,,
LENCA_EL_SALVADOR-57-1,LENCA_EL_SALVADOR,Lenca El Salvador,57,see,yotin,,
LENCA_EL_SALVADOR-61-1,LENCA_EL_SALVADOR,Lenca El Salvador,61,die,Silon,,
LENCA_EL_SALVADOR-66-1,LENCA_EL_SALVADOR,Lenca El Salvador,66,come,pokon,,
LENCA_EL_SALVADOR-72-1,LENCA_EL_SALVADOR,Lenca El Salvador,72,sun,yaSa,,
LENCA_EL_SALVADOR-74-1,LENCA_EL_SALVADOR,Lenca El Salvador,74,star,siri,,
LENCA_EL_SALVADOR-75-1,LENCA_EL_SALVADOR,Lenca El Salvador,75,water,wal,,
LENCA_EL_SALVADOR-75-2,LENCA_EL_SALVADOR,Lenca El Salvador,75,water,ual,,
LENCA_EL_SALVADOR-77-1,LENCA_EL_SALVADOR,Lenca El Salvador,77,stone,kE,,
LENCA_EL_SALVADOR-82-1,LENCA_EL_SALVADOR,Lenca El Salvador,82,fire,"ik""an",,
LENCA_EL_SALVADOR-86-1,LENCA_EL_SALVADOR,Lenca El Salvador,86,mountain,era,,
LENCA_EL_SALVADOR-92-1,LENCA_EL_SALVADOR,Lenca El Salvador,92,night,"k""us k""aSba",,
