ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
LERE_GANA-1-1,LERE_GANA,Lere Gana,1,I,mia,,
LERE_GANA-11-1,LERE_GANA,Lere Gana,11,one,uwande,,
LERE_GANA-12-1,LERE_GANA,Lere Gana,12,two,ure,,
LERE_GANA-18-1,LERE_GANA,Lere Gana,18,person,undu,,
LERE_GANA-21-1,LERE_GANA,Lere Gana,21,dog,udai,,
LERE_GANA-23-1,LERE_GANA,Lere Gana,23,tree,uti,,
LERE_GANA-25-1,LERE_GANA,Lere Gana,25,leaf,ubaba,,
LERE_GANA-28-1,LERE_GANA,Lere Gana,28,skin,ugb~a,,
LERE_GANA-30-1,LERE_GANA,Lere Gana,30,blood,ma5au,,
LERE_GANA-31-1,LERE_GANA,Lere Gana,31,bone,lu7ubu,,
LERE_GANA-34-1,LERE_GANA,Lere Gana,34,horn,uZame,,
LERE_GANA-39-1,LERE_GANA,Lere Gana,39,ear,utoN,,
LERE_GANA-40-1,LERE_GANA,Lere Gana,40,eye,eZi,,
LERE_GANA-41-1,LERE_GANA,Lere Gana,41,nose,ma5au,,
LERE_GANA-43-1,LERE_GANA,Lere Gana,43,tooth,ma5i,,
LERE_GANA-44-1,LERE_GANA,Lere Gana,44,tongue,uleleN,,
LERE_GANA-51-1,LERE_GANA,Lere Gana,51,breast,umene,,
LERE_GANA-54-1,LERE_GANA,Lere Gana,54,drink,suza,,
LERE_GANA-57-1,LERE_GANA,Lere Gana,57,see,andelu,,
LERE_GANA-58-1,LERE_GANA,Lere Gana,58,hear,kunda,,
LERE_GANA-61-1,LERE_GANA,Lere Gana,61,die,pi,,
LERE_GANA-66-1,LERE_GANA,Lere Gana,66,come,kp~ani,,
LERE_GANA-72-1,LERE_GANA,Lere Gana,72,sun,umi,,
LERE_GANA-75-1,LERE_GANA,Lere Gana,75,water,uNm3ni,,
LERE_GANA-77-1,LERE_GANA,Lere Gana,77,stone,uSali,,
LERE_GANA-82-1,LERE_GANA,Lere Gana,82,fire,ula,,
LERE_GANA-85-1,LERE_GANA,Lere Gana,85,path,uyuna,,
LERE_GANA-86-1,LERE_GANA,Lere Gana,86,mountain,uSali,,
LERE_GANA-92-1,LERE_GANA,Lere Gana,92,night,liye,,
LERE_GANA-100-1,LERE_GANA,Lere Gana,100,name,imy~el,,
