ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
LETINESE-1-1,LETINESE,Letinese,1,I,au,,
LETINESE-2-1,LETINESE,Letinese,2,you,o,,
LETINESE-3-1,LETINESE,Letinese,3,we,ita,,
LETINESE-11-1,LETINESE,Letinese,11,one,ida,,
LETINESE-12-1,LETINESE,Letinese,12,two,rua,,
LETINESE-18-1,LETINESE,Letinese,18,person,ria,,
LETINESE-19-1,LETINESE,Letinese,19,fish,ina,,
LETINESE-21-1,LETINESE,Letinese,21,dog,asu,,
LETINESE-22-1,LETINESE,Letinese,22,louse,utu,,
LETINESE-25-1,LETINESE,Letinese,25,leaf,tawi,,
LETINESE-28-1,LETINESE,Letinese,28,skin,ulti,,
LETINESE-30-1,LETINESE,Letinese,30,blood,rara,,
LETINESE-31-1,LETINESE,Letinese,31,bone,ruri,,
LETINESE-39-1,LETINESE,Letinese,39,ear,tnina,,
LETINESE-40-1,LETINESE,Letinese,40,eye,mata,,
LETINESE-41-1,LETINESE,Letinese,41,nose,irnu,,
LETINESE-43-1,LETINESE,Letinese,43,tooth,nisa,,
LETINESE-44-1,LETINESE,Letinese,44,tongue,nama,,
LETINESE-48-1,LETINESE,Letinese,48,hand,lima,,
LETINESE-51-1,LETINESE,Letinese,51,breast,susu,,
LETINESE-51-2,LETINESE,Letinese,51,breast,irsu,,
LETINESE-53-1,LETINESE,Letinese,53,liver,lanu,,
LETINESE-54-1,LETINESE,Letinese,54,drink,emnu,,
LETINESE-57-1,LETINESE,Letinese,57,see,dona,,
LETINESE-57-2,LETINESE,Letinese,57,see,toli,,
LETINESE-58-1,LETINESE,Letinese,58,hear,tali,,
LETINESE-61-1,LETINESE,Letinese,61,die,mati,,
LETINESE-66-1,LETINESE,Letinese,66,come,mai,,
LETINESE-74-1,LETINESE,Letinese,74,star,ptuna,,
LETINESE-75-1,LETINESE,Letinese,75,water,we*era,,
LETINESE-77-1,LETINESE,Letinese,77,stone,watu,,
LETINESE-82-1,LETINESE,Letinese,82,fire,we*ai,,
LETINESE-85-1,LETINESE,Letinese,85,path,tala,,
LETINESE-92-1,LETINESE,Letinese,92,night,kotma,,
LETINESE-92-2,LETINESE,Letinese,92,night,mela,,
LETINESE-96-1,LETINESE,Letinese,96,new,waru,,
LETINESE-100-1,LETINESE,Letinese,100,name,nana,,
