ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
LEVEI-1-1,LEVEI,Levei,1,I,yi,,
LEVEI-2-1,LEVEI,Levei,2,you,o,,
LEVEI-3-1,LEVEI,Levei,3,we,esu,,
LEVEI-11-1,LEVEI,Levei,11,one,eri,,
LEVEI-12-1,LEVEI,Levei,12,two,lueh,,
LEVEI-18-1,LEVEI,Levei,18,person,Tamok,,
LEVEI-19-1,LEVEI,Levei,19,fish,ni,,
LEVEI-19-2,LEVEI,Levei,19,fish,i,,
LEVEI-21-1,LEVEI,Levei,21,dog,mw~i,,
LEVEI-22-1,LEVEI,Levei,22,louse,kuh,,
LEVEI-25-1,LEVEI,Levei,25,leaf,lu7u,,
LEVEI-28-1,LEVEI,Levei,28,skin,ka7asu,,
LEVEI-30-1,LEVEI,Levei,30,blood,Ta,,
LEVEI-31-1,LEVEI,Levei,31,bone,Tui,,
LEVEI-39-1,LEVEI,Levei,39,ear,Tinu,,
LEVEI-40-1,LEVEI,Levei,40,eye,mw~ato,,
LEVEI-41-1,LEVEI,Levei,41,nose,no7o,,
LEVEI-43-1,LEVEI,Levei,43,tooth,lihi,,
LEVEI-44-1,LEVEI,Levei,44,tongue,keleme,,
LEVEI-48-1,LEVEI,Levei,48,hand,kue,,
LEVEI-51-1,LEVEI,Levei,51,breast,tapuh,,
LEVEI-53-1,LEVEI,Levei,53,liver,ete,,
LEVEI-54-1,LEVEI,Levei,54,drink,wu7,,
LEVEI-57-1,LEVEI,Levei,57,see,imeh,,
LEVEI-58-1,LEVEI,Levei,58,hear,huleN,,
LEVEI-61-1,LEVEI,Levei,61,die,mw~ek,,
LEVEI-66-1,LEVEI,Levei,66,come,me,,
LEVEI-66-2,LEVEI,Levei,66,come,kayek,,
LEVEI-74-1,LEVEI,Levei,74,star,de*ap,,
LEVEI-75-1,LEVEI,Levei,75,water,bo,,
LEVEI-77-1,LEVEI,Levei,77,stone,pok,,
LEVEI-82-1,LEVEI,Levei,82,fire,yih,,
LEVEI-85-1,LEVEI,Levei,85,path,soN,,
LEVEI-92-1,LEVEI,Levei,92,night,piN,,
LEVEI-96-1,LEVEI,Levei,96,new,nekepuN,,
LEVEI-100-1,LEVEI,Levei,100,name,soro,,
