ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
LIGURIAN_GENOESE-1-1,LIGURIAN_GENOESE,Ligurian Genoese,1,I,mi,,
LIGURIAN_GENOESE-2-1,LIGURIAN_GENOESE,Ligurian Genoese,2,you,ti,,
LIGURIAN_GENOESE-3-1,LIGURIAN_GENOESE,Ligurian Genoese,3,we,nuiatri,,
LIGURIAN_GENOESE-11-1,LIGURIAN_GENOESE,Ligurian Genoese,11,one,uN,,
LIGURIAN_GENOESE-12-1,LIGURIAN_GENOESE,Ligurian Genoese,12,two,dui,,
LIGURIAN_GENOESE-18-1,LIGURIAN_GENOESE,Ligurian Genoese,18,person,omu,,
LIGURIAN_GENOESE-19-1,LIGURIAN_GENOESE,Ligurian Genoese,19,fish,peSu,,
LIGURIAN_GENOESE-21-1,LIGURIAN_GENOESE,Ligurian Genoese,21,dog,kaN,,
LIGURIAN_GENOESE-22-1,LIGURIAN_GENOESE,Ligurian Genoese,22,louse,pigEju,,
LIGURIAN_GENOESE-23-1,LIGURIAN_GENOESE,Ligurian Genoese,23,tree,erbu,,
LIGURIAN_GENOESE-25-1,LIGURIAN_GENOESE,Ligurian Genoese,25,leaf,foya,,
LIGURIAN_GENOESE-28-1,LIGURIAN_GENOESE,Ligurian Genoese,28,skin,pele,,
LIGURIAN_GENOESE-30-1,LIGURIAN_GENOESE,Ligurian Genoese,30,blood,saNgwe,,
LIGURIAN_GENOESE-31-1,LIGURIAN_GENOESE,Ligurian Genoese,31,bone,Esu,,
LIGURIAN_GENOESE-34-1,LIGURIAN_GENOESE,Ligurian Genoese,34,horn,kornu,,
LIGURIAN_GENOESE-39-1,LIGURIAN_GENOESE,Ligurian Genoese,39,ear,wEja,,
LIGURIAN_GENOESE-40-1,LIGURIAN_GENOESE,Ligurian Genoese,40,eye,Eju,,
LIGURIAN_GENOESE-41-1,LIGURIAN_GENOESE,Ligurian Genoese,41,nose,nazu,,
LIGURIAN_GENOESE-43-1,LIGURIAN_GENOESE,Ligurian Genoese,43,tooth,dente,,
LIGURIAN_GENOESE-44-1,LIGURIAN_GENOESE,Ligurian Genoese,44,tongue,liNgwa,,
LIGURIAN_GENOESE-47-1,LIGURIAN_GENOESE,Ligurian Genoese,47,knee,Zenuju,,
LIGURIAN_GENOESE-48-1,LIGURIAN_GENOESE,Ligurian Genoese,48,hand,maN,,
LIGURIAN_GENOESE-51-1,LIGURIAN_GENOESE,Ligurian Genoese,51,breast,petu,,
LIGURIAN_GENOESE-53-1,LIGURIAN_GENOESE,Ligurian Genoese,53,liver,fegatu,,
LIGURIAN_GENOESE-54-1,LIGURIAN_GENOESE,Ligurian Genoese,54,drink,bEyve,,
LIGURIAN_GENOESE-57-1,LIGURIAN_GENOESE,Ligurian Genoese,57,see,vede,,
LIGURIAN_GENOESE-58-1,LIGURIAN_GENOESE,Ligurian Genoese,58,hear,seNti,,
LIGURIAN_GENOESE-61-1,LIGURIAN_GENOESE,Ligurian Genoese,61,die,mui,,
LIGURIAN_GENOESE-66-1,LIGURIAN_GENOESE,Ligurian Genoese,66,come,ve5i,,
LIGURIAN_GENOESE-72-1,LIGURIAN_GENOESE,Ligurian Genoese,72,sun,su,,
LIGURIAN_GENOESE-74-1,LIGURIAN_GENOESE,Ligurian Genoese,74,star,stela,,
LIGURIAN_GENOESE-75-1,LIGURIAN_GENOESE,Ligurian Genoese,75,water,egwa,,
LIGURIAN_GENOESE-77-1,LIGURIAN_GENOESE,Ligurian Genoese,77,stone,pria,,
LIGURIAN_GENOESE-82-1,LIGURIAN_GENOESE,Ligurian Genoese,82,fire,fEgu,,
LIGURIAN_GENOESE-85-1,LIGURIAN_GENOESE,Ligurian Genoese,85,path,strada,,
LIGURIAN_GENOESE-86-1,LIGURIAN_GENOESE,Ligurian Genoese,86,mountain,briku,,
LIGURIAN_GENOESE-92-1,LIGURIAN_GENOESE,Ligurian Genoese,92,night,nEte,,
LIGURIAN_GENOESE-95-1,LIGURIAN_GENOESE,Ligurian Genoese,95,full,piN,,
LIGURIAN_GENOESE-96-1,LIGURIAN_GENOESE,Ligurian Genoese,96,new,nEvu,,
LIGURIAN_GENOESE-100-1,LIGURIAN_GENOESE,Ligurian Genoese,100,name,nume,,
