ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
LOBALA_LILOKA-11-1,LOBALA_LILOKA,Lobala Liloka,11,one,moko,,
LOBALA_LILOKA-12-1,LOBALA_LILOKA,Lobala Liloka,12,two,bale,,
LOBALA_LILOKA-18-1,LOBALA_LILOKA,Lobala Liloka,18,person,to,,
LOBALA_LILOKA-19-1,LOBALA_LILOKA,Lobala Liloka,19,fish,fe,,
LOBALA_LILOKA-21-1,LOBALA_LILOKA,Lobala Liloka,21,dog,va,,
LOBALA_LILOKA-22-1,LOBALA_LILOKA,Lobala Liloka,22,louse,mbwa,,
LOBALA_LILOKA-23-1,LOBALA_LILOKA,Lobala Liloka,23,tree,ete,,
LOBALA_LILOKA-25-1,LOBALA_LILOKA,Lobala Liloka,25,leaf,kasi,,
LOBALA_LILOKA-28-1,LOBALA_LILOKA,Lobala Liloka,28,skin,pho,,
LOBALA_LILOKA-30-1,LOBALA_LILOKA,Lobala Liloka,30,blood,longo,,
LOBALA_LILOKA-31-1,LOBALA_LILOKA,Lobala Liloka,31,bone,kwa,,
LOBALA_LILOKA-34-1,LOBALA_LILOKA,Lobala Liloka,34,horn,embe,,
LOBALA_LILOKA-39-1,LOBALA_LILOKA,Lobala Liloka,39,ear,toi,,
LOBALA_LILOKA-40-1,LOBALA_LILOKA,Lobala Liloka,40,eye,oi,,
LOBALA_LILOKA-41-1,LOBALA_LILOKA,Lobala Liloka,41,nose,zomba,,
LOBALA_LILOKA-43-1,LOBALA_LILOKA,Lobala Liloka,43,tooth,ino,,
LOBALA_LILOKA-44-1,LOBALA_LILOKA,Lobala Liloka,44,tongue,lemu,,
LOBALA_LILOKA-47-1,LOBALA_LILOKA,Lobala Liloka,47,knee,bongo,,
LOBALA_LILOKA-51-1,LOBALA_LILOKA,Lobala Liloka,51,breast,bElE,,
LOBALA_LILOKA-53-1,LOBALA_LILOKA,Lobala Liloka,53,liver,phiko,,
LOBALA_LILOKA-54-1,LOBALA_LILOKA,Lobala Liloka,54,drink,Nwa,,
LOBALA_LILOKA-57-1,LOBALA_LILOKA,Lobala Liloka,57,see,yEnE,,
LOBALA_LILOKA-58-1,LOBALA_LILOKA,Lobala Liloka,58,hear,yoka,,
LOBALA_LILOKA-61-1,LOBALA_LILOKA,Lobala Liloka,61,die,wa,,
LOBALA_LILOKA-66-1,LOBALA_LILOKA,Lobala Liloka,66,come,ya,,
LOBALA_LILOKA-72-1,LOBALA_LILOKA,Lobala Liloka,72,sun,oi,,
LOBALA_LILOKA-74-1,LOBALA_LILOKA,Lobala Liloka,74,star,ngoto,,
LOBALA_LILOKA-75-1,LOBALA_LILOKA,Lobala Liloka,75,water,Ei,,
LOBALA_LILOKA-77-1,LOBALA_LILOKA,Lobala Liloka,77,stone,banga,,
LOBALA_LILOKA-82-1,LOBALA_LILOKA,Lobala Liloka,82,fire,wa,,
LOBALA_LILOKA-85-1,LOBALA_LILOKA,Lobala Liloka,85,path,zela,,
LOBALA_LILOKA-86-1,LOBALA_LILOKA,Lobala Liloka,86,mountain,gomba,,
LOBALA_LILOKA-92-1,LOBALA_LILOKA,Lobala Liloka,92,night,kolo,,
LOBALA_LILOKA-95-1,LOBALA_LILOKA,Lobala Liloka,95,full,tuma,,
LOBALA_LILOKA-96-1,LOBALA_LILOKA,Lobala Liloka,96,new,kune,,
LOBALA_LILOKA-100-1,LOBALA_LILOKA,Lobala Liloka,100,name,kombo,,
