ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
LOGOLI-11-1,LOGOLI,Logoli,11,one,la,,
LOGOLI-11-2,LOGOLI,Logoli,11,one,rara,,
LOGOLI-12-1,LOGOLI,Logoli,12,two,viri,,
LOGOLI-18-1,LOGOLI,Logoli,18,person,ndu,,
LOGOLI-19-1,LOGOLI,Logoli,19,fish,suzi,,
LOGOLI-21-1,LOGOLI,Logoli,21,dog,bwa,,
LOGOLI-22-1,LOGOLI,Logoli,22,louse,da,,
LOGOLI-23-1,LOGOLI,Logoli,23,tree,sara,,
LOGOLI-25-1,LOGOLI,Logoli,25,leaf,tu,,
LOGOLI-28-1,LOGOLI,Logoli,28,skin,godo,,
LOGOLI-30-1,LOGOLI,Logoli,30,blood,sahi,,
LOGOLI-31-1,LOGOLI,Logoli,31,bone,gumba,,
LOGOLI-34-1,LOGOLI,Logoli,34,horn,wiga,,
LOGOLI-39-1,LOGOLI,Logoli,39,ear,tuyi,,
LOGOLI-40-1,LOGOLI,Logoli,40,eye,oni,,
LOGOLI-41-1,LOGOLI,Logoli,41,nose,yuru,,
LOGOLI-43-1,LOGOLI,Logoli,43,tooth,inu,,
LOGOLI-44-1,LOGOLI,Logoli,44,tongue,limi,,
LOGOLI-47-1,LOGOLI,Logoli,47,knee,sigamo,,
LOGOLI-51-1,LOGOLI,Logoli,51,breast,vere,,
LOGOLI-53-1,LOGOLI,Logoli,53,liver,gudumani,,
LOGOLI-54-1,LOGOLI,Logoli,54,drink,5wa,,
LOGOLI-57-1,LOGOLI,Logoli,57,see,rora,,
LOGOLI-58-1,LOGOLI,Logoli,58,hear,hula,,
LOGOLI-61-1,LOGOLI,Logoli,61,die,kuza,,
LOGOLI-66-1,LOGOLI,Logoli,66,come,za,,
LOGOLI-72-1,LOGOLI,Logoli,72,sun,yuva,,
LOGOLI-74-1,LOGOLI,Logoli,74,star,gereNani,,
LOGOLI-75-1,LOGOLI,Logoli,75,water,azi,,
LOGOLI-77-1,LOGOLI,Logoli,77,stone,gina,,
LOGOLI-82-1,LOGOLI,Logoli,82,fire,ulu,,
LOGOLI-85-1,LOGOLI,Logoli,85,path,zira,,
LOGOLI-86-1,LOGOLI,Logoli,86,mountain,guru,,
LOGOLI-92-1,LOGOLI,Logoli,92,night,diku,,
LOGOLI-95-1,LOGOLI,Logoli,95,full,izura,,
LOGOLI-96-1,LOGOLI,Logoli,96,new,Twa,,
LOGOLI-100-1,LOGOLI,Logoli,100,name,yeta,,
