ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
LOKELE_ISANGI-11-1,LOKELE_ISANGI,Lokele Isangi,11,one,mito,,
LOKELE_ISANGI-12-1,LOKELE_ISANGI,Lokele Isangi,12,two,balde,,
LOKELE_ISANGI-12-2,LOKELE_ISANGI,Lokele Isangi,12,two,bade,,
LOKELE_ISANGI-18-1,LOKELE_ISANGI,Lokele Isangi,18,person,to,,
LOKELE_ISANGI-19-1,LOKELE_ISANGI,Lokele Isangi,19,fish,swi,,
LOKELE_ISANGI-19-2,LOKELE_ISANGI,Lokele Isangi,19,fish,sui,,
LOKELE_ISANGI-21-1,LOKELE_ISANGI,Lokele Isangi,21,dog,gba,,
LOKELE_ISANGI-21-2,LOKELE_ISANGI,Lokele Isangi,21,dog,bua,,
LOKELE_ISANGI-22-1,LOKELE_ISANGI,Lokele Isangi,22,louse,sili,,
LOKELE_ISANGI-22-2,LOKELE_ISANGI,Lokele Isangi,22,louse,sidi,,
LOKELE_ISANGI-23-1,LOKELE_ISANGI,Lokele Isangi,23,tree,tete,,
LOKELE_ISANGI-25-1,LOKELE_ISANGI,Lokele Isangi,25,leaf,kasi,,
LOKELE_ISANGI-28-1,LOKELE_ISANGI,Lokele Isangi,28,skin,mba,,
LOKELE_ISANGI-30-1,LOKELE_ISANGI,Lokele Isangi,30,blood,kila,,
LOKELE_ISANGI-30-2,LOKELE_ISANGI,Lokele Isangi,30,blood,kida,,
LOKELE_ISANGI-31-1,LOKELE_ISANGI,Lokele Isangi,31,bone,kpa,,
LOKELE_ISANGI-31-2,LOKELE_ISANGI,Lokele Isangi,31,bone,kua,,
LOKELE_ISANGI-34-1,LOKELE_ISANGI,Lokele Isangi,34,horn,seke,,
LOKELE_ISANGI-39-1,LOKELE_ISANGI,Lokele Isangi,39,ear,toi,,
LOKELE_ISANGI-39-2,LOKELE_ISANGI,Lokele Isangi,39,ear,toji,,
LOKELE_ISANGI-40-1,LOKELE_ISANGI,Lokele Isangi,40,eye,iso,,
LOKELE_ISANGI-41-1,LOKELE_ISANGI,Lokele Isangi,41,nose,wase,,
LOKELE_ISANGI-41-2,LOKELE_ISANGI,Lokele Isangi,41,nose,uase,,
LOKELE_ISANGI-43-1,LOKELE_ISANGI,Lokele Isangi,43,tooth,inyo,,
LOKELE_ISANGI-44-1,LOKELE_ISANGI,Lokele Isangi,44,tongue,ei,,
LOKELE_ISANGI-47-1,LOKELE_ISANGI,Lokele Isangi,47,knee,lwi,,
LOKELE_ISANGI-47-2,LOKELE_ISANGI,Lokele Isangi,47,knee,doi,,
LOKELE_ISANGI-51-1,LOKELE_ISANGI,Lokele Isangi,51,breast,ElE,,
LOKELE_ISANGI-51-2,LOKELE_ISANGI,Lokele Isangi,51,breast,bEdE,,
LOKELE_ISANGI-53-1,LOKELE_ISANGI,Lokele Isangi,53,liver,uko,,
LOKELE_ISANGI-54-1,LOKELE_ISANGI,Lokele Isangi,54,drink,mwa,,
LOKELE_ISANGI-54-2,LOKELE_ISANGI,Lokele Isangi,54,drink,mo,,
LOKELE_ISANGI-57-1,LOKELE_ISANGI,Lokele Isangi,57,see,wEnE,,
LOKELE_ISANGI-57-2,LOKELE_ISANGI,Lokele Isangi,57,see,EnEkE,,
LOKELE_ISANGI-57-3,LOKELE_ISANGI,Lokele Isangi,57,see,En,,
LOKELE_ISANGI-58-1,LOKELE_ISANGI,Lokele Isangi,58,hear,ok,,
LOKELE_ISANGI-61-1,LOKELE_ISANGI,Lokele Isangi,61,die,wa,,
LOKELE_ISANGI-61-2,LOKELE_ISANGI,Lokele Isangi,61,die,gu,,
LOKELE_ISANGI-66-1,LOKELE_ISANGI,Lokele Isangi,66,come,ya,,
LOKELE_ISANGI-66-2,LOKELE_ISANGI,Lokele Isangi,66,come,ij,,
LOKELE_ISANGI-74-1,LOKELE_ISANGI,Lokele Isangi,74,star,onge,,
LOKELE_ISANGI-75-1,LOKELE_ISANGI,Lokele Isangi,75,water,alia,,
LOKELE_ISANGI-75-2,LOKELE_ISANGI,Lokele Isangi,75,water,ba,,
LOKELE_ISANGI-77-1,LOKELE_ISANGI,Lokele Isangi,77,stone,nga,,
LOKELE_ISANGI-82-1,LOKELE_ISANGI,Lokele Isangi,82,fire,osa,,
LOKELE_ISANGI-85-1,LOKELE_ISANGI,Lokele Isangi,85,path,bok,,
LOKELE_ISANGI-85-2,LOKELE_ISANGI,Lokele Isangi,85,path,boka,,
LOKELE_ISANGI-86-1,LOKELE_ISANGI,Lokele Isangi,86,mountain,koli,,
LOKELE_ISANGI-86-2,LOKELE_ISANGI,Lokele Isangi,86,mountain,kodi,,
LOKELE_ISANGI-92-1,LOKELE_ISANGI,Lokele Isangi,92,night,ko,,
LOKELE_ISANGI-92-2,LOKELE_ISANGI,Lokele Isangi,92,night,tio,,
LOKELE_ISANGI-95-1,LOKELE_ISANGI,Lokele Isangi,95,full,tuma to,,
LOKELE_ISANGI-95-2,LOKELE_ISANGI,Lokele Isangi,95,full,tum to,,
LOKELE_ISANGI-96-1,LOKELE_ISANGI,Lokele Isangi,96,new,a kaikani,,
LOKELE_ISANGI-100-1,LOKELE_ISANGI,Lokele Isangi,100,name,ina,,
