ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
LOLODA-12-1,LOLODA,Loloda,12,two,sinoto,,
LOLODA-19-1,LOLODA,Loloda,19,fish,naoko,,
LOLODA-21-1,LOLODA,Loloda,21,dog,kaso,,
LOLODA-28-1,LOLODA,Loloda,28,skin,kai,,
LOLODA-30-1,LOLODA,Loloda,30,blood,aunu,,
LOLODA-39-1,LOLODA,Loloda,39,ear,Nauku,,
LOLODA-40-1,LOLODA,Loloda,40,eye,lako,,
LOLODA-41-1,LOLODA,Loloda,41,nose,NunuNu,,
LOLODA-48-1,LOLODA,Loloda,48,hand,giama,,
LOLODA-48-2,LOLODA,Loloda,48,hand,iNiri,,
LOLODA-53-1,LOLODA,Loloda,53,liver,gate,,
LOLODA-54-1,LOLODA,Loloda,54,drink,udomo,,
LOLODA-58-1,LOLODA,Loloda,58,hear,isene,,
LOLODA-61-1,LOLODA,Loloda,61,die,soneNe,,
LOLODA-66-1,LOLODA,Loloda,66,come,suwutu,,
LOLODA-74-1,LOLODA,Loloda,74,star,Noma,,
LOLODA-75-1,LOLODA,Loloda,75,water,akere,,
LOLODA-77-1,LOLODA,Loloda,77,stone,seleo,,
LOLODA-82-1,LOLODA,Loloda,82,fire,uku,,
LOLODA-85-1,LOLODA,Loloda,85,path,Nekomo,,
LOLODA-100-1,LOLODA,Loloda,100,name,romaNa,,
