ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
LONIU-1-1,LONIU,Loniu,1,I,yu,,
LONIU-2-1,LONIU,Loniu,2,you,wow,,
LONIU-3-1,LONIU,Loniu,3,we,Titu,,
LONIU-11-1,LONIU,Loniu,11,one,sih,,
LONIU-12-1,LONIU,Loniu,12,two,uoh,,
LONIU-18-1,LONIU,Loniu,18,person,amat,,
LONIU-19-1,LONIU,Loniu,19,fish,ni,,
LONIU-21-1,LONIU,Loniu,21,dog,mw~i,,
LONIU-22-1,LONIU,Loniu,22,louse,kut,,
LONIU-25-1,LONIU,Loniu,25,leaf,lo7o,,
LONIU-28-1,LONIU,Loniu,28,skin,ma7a,,
LONIU-30-1,LONIU,Loniu,30,blood,eye,,
LONIU-31-1,LONIU,Loniu,31,bone,piti7o,,
LONIU-39-1,LONIU,Loniu,39,ear,poteleNa,,
LONIU-40-1,LONIU,Loniu,40,eye,mata,,
LONIU-41-1,LONIU,Loniu,41,nose,po7oNo,,
LONIU-43-1,LONIU,Loniu,43,tooth,lehe,,
LONIU-44-1,LONIU,Loniu,44,tongue,palake7eme,,
LONIU-48-1,LONIU,Loniu,48,hand,nime,,
LONIU-51-1,LONIU,Loniu,51,breast,susu,,
LONIU-53-1,LONIU,Loniu,53,liver,pusasa,,
LONIU-54-1,LONIU,Loniu,54,drink,in,,
LONIU-57-1,LONIU,Loniu,57,see,ele7ey,,
LONIU-58-1,LONIU,Loniu,58,hear,aNey,,
LONIU-61-1,LONIU,Loniu,61,die,mat,,
LONIU-66-1,LONIU,Loniu,66,come,me,,
LONIU-74-1,LONIU,Loniu,74,star,piti,,
LONIU-75-1,LONIU,Loniu,75,water,an,,
LONIU-77-1,LONIU,Loniu,77,stone,pat,,
LONIU-82-1,LONIU,Loniu,82,fire,mw~an,,
LONIU-85-1,LONIU,Loniu,85,path,pw~ahaTan,,
LONIU-85-2,LONIU,Loniu,85,path,Tan,,
LONIU-92-1,LONIU,Loniu,92,night,peN,,
LONIU-92-2,LONIU,Loniu,92,night,lopeN,,
LONIU-96-1,LONIU,Loniu,96,new,mahun,,
LONIU-100-1,LONIU,Loniu,100,name,Na7a,,
