ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
LOU-1-1,LOU,Lou,1,I,Na,,
LOU-3-1,LOU,Lou,3,we,ta,,
LOU-4-1,LOU,Lou,4,this,tapo,,
LOU-6-1,LOU,Lou,6,who,sie,,
LOU-7-1,LOU,Lou,7,what,sa,,
LOU-8-1,LOU,Lou,8,not,puin,,
LOU-9-1,LOU,Lou,9,all,tamina,,
LOU-11-1,LOU,Lou,11,one,sip,,
LOU-12-1,LOU,Lou,12,two,ruep,,
LOU-13-1,LOU,Lou,13,big,meneNan,,
LOU-14-1,LOU,Lou,14,long,elewen,,
LOU-15-1,LOU,Lou,15,small,kapw~iri,,
LOU-15-2,LOU,Lou,15,small,kikirin,,
LOU-16-1,LOU,Lou,16,woman,pein,,
LOU-17-1,LOU,Lou,17,man,mw~en,,
LOU-18-1,LOU,Lou,18,person,ramat,,
LOU-19-1,LOU,Lou,19,fish,nik,,
LOU-20-1,LOU,Lou,20,bird,monmon,,
LOU-21-1,LOU,Lou,21,dog,mw~i,,
LOU-22-1,LOU,Lou,22,louse,kut,,
LOU-25-1,LOU,Lou,25,leaf,rein,,
LOU-26-1,LOU,Lou,26,root,akun,,
LOU-28-1,LOU,Lou,28,skin,kuna,,
LOU-29-1,LOU,Lou,29,flesh,kani,,
LOU-30-1,LOU,Lou,30,blood,turi,,
LOU-31-1,LOU,Lou,31,bone,peteri,,
LOU-32-1,LOU,Lou,32,grease,neneman,,
LOU-33-1,LOU,Lou,33,egg,roun,,
LOU-35-1,LOU,Lou,35,tail,penreu,,
LOU-36-1,LOU,Lou,36,feather,lumun,,
LOU-36-2,LOU,Lou,36,feather,monmon,,
LOU-37-1,LOU,Lou,37,hair,lumu,,
LOU-38-1,LOU,Lou,38,head,ara,,
LOU-39-1,LOU,Lou,39,ear,teliNa,,
LOU-40-1,LOU,Lou,40,eye,mara,,
LOU-41-1,LOU,Lou,41,nose,pursu,,
LOU-42-1,LOU,Lou,42,mouth,kolo,,
LOU-43-1,LOU,Lou,43,tooth,lia,,
LOU-44-1,LOU,Lou,44,tongue,karmi,,
LOU-46-1,LOU,Lou,46,foot,pw~eleki,,
LOU-48-1,LOU,Lou,48,hand,mina,,
LOU-49-1,LOU,Lou,49,belly,tia,,
LOU-50-1,LOU,Lou,50,neck,porNa,,
LOU-51-1,LOU,Lou,51,breast,susu,,
LOU-53-1,LOU,Lou,53,liver,kari,,
LOU-54-1,LOU,Lou,54,drink,im,,
LOU-55-1,LOU,Lou,55,eat,Nan,,
LOU-56-1,LOU,Lou,56,bite,arisap,,
LOU-57-1,LOU,Lou,57,see,niN,,
LOU-58-1,LOU,Lou,58,hear,roN,,
LOU-59-1,LOU,Lou,59,know,pasek,,
LOU-60-1,LOU,Lou,60,sleep,metir,,
LOU-61-1,LOU,Lou,61,die,mat,,
LOU-62-1,LOU,Lou,62,kill,op mat,,
LOU-63-1,LOU,Lou,63,swim,kea,,
LOU-64-1,LOU,Lou,64,fly,op,,
LOU-65-1,LOU,Lou,65,walk,wawa,,
LOU-66-1,LOU,Lou,66,come,me,,
LOU-67-1,LOU,Lou,67,lie,in,,
LOU-68-1,LOU,Lou,68,sit,tuk,,
LOU-69-1,LOU,Lou,69,stand,tolul,,
LOU-71-1,LOU,Lou,71,say,nesek,,
LOU-73-1,LOU,Lou,73,moon,pul,,
LOU-74-1,LOU,Lou,74,star,rere,,
LOU-75-1,LOU,Lou,75,water,wei,,
LOU-76-1,LOU,Lou,76,rain,paN,,
LOU-77-1,LOU,Lou,77,stone,rey,,
LOU-78-1,LOU,Lou,78,sand,kone,,
LOU-79-1,LOU,Lou,79,earth,pw~anat,,
LOU-81-1,LOU,Lou,81,smoke,kosu,,
LOU-82-1,LOU,Lou,82,fire,mon,,
LOU-83-1,LOU,Lou,83,ash,posuNop,,
LOU-84-1,LOU,Lou,84,burn,suli,,
LOU-85-1,LOU,Lou,85,path,sal,,
LOU-87-1,LOU,Lou,87,red,ramraman,,
LOU-88-1,LOU,Lou,88,green,arawin,,
LOU-89-1,LOU,Lou,89,yellow,monti,,
LOU-90-1,LOU,Lou,90,white,koroun,,
LOU-91-1,LOU,Lou,91,black,karan,,
LOU-92-1,LOU,Lou,92,night,kelipeN,,
LOU-93-1,LOU,Lou,93,hot,Naran,,
LOU-94-1,LOU,Lou,94,cold,roroun,,
LOU-96-1,LOU,Lou,96,new,papaeun,,
LOU-97-1,LOU,Lou,97,good,ian,,
LOU-99-1,LOU,Lou,99,dry,posa,,
LOU-100-1,LOU,Lou,100,name,Nara,,
