ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MADHI_MADHI-1-1,MADHI_MADHI,Madhi Madhi,1,I,yidi,,
MADHI_MADHI-2-1,MADHI_MADHI,Madhi Madhi,2,you,Nindi,,
MADHI_MADHI-11-1,MADHI_MADHI,Madhi Madhi,11,one,giyaga,,
MADHI_MADHI-12-1,MADHI_MADHI,Madhi Madhi,12,two,bule8a,,
MADHI_MADHI-21-1,MADHI_MADHI,Madhi Madhi,21,dog,gali,,
MADHI_MADHI-21-2,MADHI_MADHI,Madhi Madhi,21,dog,wiraNan,,
MADHI_MADHI-22-1,MADHI_MADHI,Madhi Madhi,22,louse,mu4uNi,,
MADHI_MADHI-22-2,MADHI_MADHI,Madhi Madhi,22,louse,8uni,,
MADHI_MADHI-23-1,MADHI_MADHI,Madhi Madhi,23,tree,biyali,,
MADHI_MADHI-25-1,MADHI_MADHI,Madhi Madhi,25,leaf,gurugu,,
MADHI_MADHI-25-2,MADHI_MADHI,Madhi Madhi,25,leaf,buNgi,,
MADHI_MADHI-28-1,MADHI_MADHI,Madhi Madhi,28,skin,mi8i,,
MADHI_MADHI-30-1,MADHI_MADHI,Madhi Madhi,30,blood,gurgu,,
MADHI_MADHI-30-2,MADHI_MADHI,Madhi Madhi,30,blood,gurgamur,,
MADHI_MADHI-39-1,MADHI_MADHI,Madhi Madhi,39,ear,wimbula,,
MADHI_MADHI-40-1,MADHI_MADHI,Madhi Madhi,40,eye,mir,,
MADHI_MADHI-40-2,MADHI_MADHI,Madhi Madhi,40,eye,mireNgel,,
MADHI_MADHI-41-1,MADHI_MADHI,Madhi Madhi,41,nose,8indi,,
MADHI_MADHI-43-1,MADHI_MADHI,Madhi Madhi,43,tooth,liyaNi,,
MADHI_MADHI-44-1,MADHI_MADHI,Madhi Madhi,44,tongue,8aliNi,,
MADHI_MADHI-47-1,MADHI_MADHI,Madhi Madhi,47,knee,pa8eNi,,
MADHI_MADHI-48-1,MADHI_MADHI,Madhi Madhi,48,hand,ma4a,,
MADHI_MADHI-53-1,MADHI_MADHI,Madhi Madhi,53,liver,bu8u,,
MADHI_MADHI-54-1,MADHI_MADHI,Madhi Madhi,54,drink,guba,,
MADHI_MADHI-54-2,MADHI_MADHI,Madhi Madhi,54,drink,guba8a,,
MADHI_MADHI-57-1,MADHI_MADHI,Madhi Madhi,57,see,4aga,,
MADHI_MADHI-57-2,MADHI_MADHI,Madhi Madhi,57,see,4aga8a,,
MADHI_MADHI-61-1,MADHI_MADHI,Madhi Madhi,61,die,wiga8a,,
MADHI_MADHI-66-1,MADHI_MADHI,Madhi Madhi,66,come,wada,,
MADHI_MADHI-66-2,MADHI_MADHI,Madhi Madhi,66,come,wada8a,,
MADHI_MADHI-72-1,MADHI_MADHI,Madhi Madhi,72,sun,4awiNi,,
MADHI_MADHI-74-1,MADHI_MADHI,Madhi Madhi,74,star,dudi,,
MADHI_MADHI-75-1,MADHI_MADHI,Madhi Madhi,75,water,ga8ini,,
MADHI_MADHI-82-1,MADHI_MADHI,Madhi Madhi,82,fire,wanabi,,
MADHI_MADHI-82-2,MADHI_MADHI,Madhi Madhi,82,fire,wiNgel,,
MADHI_MADHI-86-1,MADHI_MADHI,Madhi Madhi,86,mountain,burbi,,
MADHI_MADHI-92-1,MADHI_MADHI,Madhi Madhi,92,night,buyiNgi,,
