ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MAK-2-1,MAK,Mak,2,you,N,,
MAK-3-1,MAK,Mak,3,we,da,,
MAK-12-1,MAK,Mak,12,two,za,,
MAK-18-1,MAK,Mak,18,person,din,,
MAK-19-1,MAK,Mak,19,fish,mum,,
MAK-21-1,MAK,Mak,21,dog,ma,,
MAK-22-1,MAK,Mak,22,louse,nan,,
MAK-22-2,MAK,Mak,22,louse,tew,,
MAK-23-1,MAK,Mak,23,tree,may,,
MAK-25-1,MAK,Mak,25,leaf,va,,
MAK-28-1,MAK,Mak,28,skin,da,,
MAK-30-1,MAK,Mak,30,blood,ph~yat,,
MAK-31-1,MAK,Mak,31,bone,dok,,
MAK-34-1,MAK,Mak,34,horn,kaw,,
MAK-39-1,MAK,Mak,39,ear,th~a,,
MAK-40-1,MAK,Mak,40,eye,da,,
MAK-41-1,MAK,Mak,41,nose,naN,,
MAK-43-1,MAK,Mak,43,tooth,y3w,,
MAK-43-2,MAK,Mak,43,tooth,yen,,
MAK-44-1,MAK,Mak,44,tongue,ma,,
MAK-47-1,MAK,Mak,47,knee,kaw,,
MAK-48-1,MAK,Mak,48,hand,mi,,
MAK-51-1,MAK,Mak,51,breast,tak,,
MAK-53-1,MAK,Mak,53,liver,tap,,
MAK-61-1,MAK,Mak,61,die,tay,,
MAK-66-1,MAK,Mak,66,come,ma,,
MAK-74-1,MAK,Mak,74,star,daw,,
MAK-74-2,MAK,Mak,74,star,d3y,,
MAK-75-1,MAK,Mak,75,water,nam,,
MAK-77-1,MAK,Mak,77,stone,tuy,,
MAK-82-1,MAK,Mak,82,fire,v3y,,
MAK-85-1,MAK,Mak,85,path,kh~un,,
MAK-92-1,MAK,Mak,92,night,zan,,
MAK-95-1,MAK,Mak,95,full,tik,,
MAK-96-1,MAK,Mak,96,new,may,,
MAK-100-1,MAK,Mak,100,name,dan,,
