ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MAL-1-1,MAL,Mal,1,I,35,,
MAL-2-1,MAL,Mal,2,you,mah,,
MAL-3-1,MAL,Mal,3,we,7ih,,
MAL-11-1,MAL,Mal,11,one,moy,,
MAL-12-1,MAL,Mal,12,two,piar,,
MAL-18-1,MAL,Mal,18,person,kon,,
MAL-19-1,MAL,Mal,19,fish,kh~a,,
MAL-21-1,MAL,Mal,21,dog,sua7,,
MAL-22-1,MAL,Mal,22,louse,se7,,
MAL-23-1,MAL,Mal,23,tree,nt3l lam,,
MAL-25-1,MAL,Mal,25,leaf,nth~u,,
MAL-28-1,MAL,Mal,28,skin,th~uah,,
MAL-30-1,MAL,Mal,30,blood,miam,,
MAL-31-1,MAL,Mal,31,bone,iaN,,
MAL-34-1,MAL,Mal,34,horn,T3ndruN,,
MAL-39-1,MAL,Mal,39,ear,nth~or,,
MAL-40-1,MAL,Mal,40,eye,mat,,
MAL-41-1,MAL,Mal,41,nose,moh,,
MAL-43-1,MAL,Mal,43,tooth,siaN,,
MAL-44-1,MAL,Mal,44,tongue,nth~ak,,
MAL-47-1,MAL,Mal,47,knee,Nkyu7 NkyoN,,
MAL-48-1,MAL,Mal,48,hand,th~i,,
MAL-51-1,MAL,Mal,51,breast,3k,,
MAL-53-1,MAL,Mal,53,liver,tap,,
MAL-54-1,MAL,Mal,54,drink,nth~3l,,
MAL-57-1,MAL,Mal,57,see,m3T,,
MAL-58-1,MAL,Mal,58,hear,meT NeN,,
MAL-61-1,MAL,Mal,61,die,p3l,,
MAL-66-1,MAL,Mal,66,come,to7,,
MAL-72-1,MAL,Mal,72,sun,Ne7,,
MAL-74-1,MAL,Mal,74,star,ut,,
MAL-75-1,MAL,Mal,75,water,ph~uay,,
MAL-77-1,MAL,Mal,77,stone,Nul kiaN,,
MAL-82-1,MAL,Mal,82,fire,oyh,,
MAL-85-1,MAL,Mal,85,path,yoN,,
MAL-86-1,MAL,Mal,86,mountain,mploh,,
MAL-95-1,MAL,Mal,95,full,pi7,,
MAL-96-1,MAL,Mal,96,new,mE7,,
MAL-100-1,MAL,Mal,100,name,mph~3,,
