ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-1-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,1,I,iaho,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-2-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,2,you,anao,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-3-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,3,we,isikana,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-11-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,11,one,raiki,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-12-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,12,two,roe,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-18-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,18,person,olo,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-19-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,19,fish,laokandrano,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-21-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,21,dog,amboa,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-22-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,22,louse,hao,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-23-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,23,tree,hazo,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-25-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,25,leaf,raviNa,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-28-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,28,skin,hoditri,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-30-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,30,blood,ra,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-31-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,31,bone,talaNa,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-39-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,39,ear,tadiNi,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-40-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,40,eye,maso,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-41-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,41,nose,oroNa,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-43-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,43,tooth,nifi,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-44-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,44,tongue,lela,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-48-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,48,hand,taNa,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-53-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,53,liver,ati,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-54-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,54,drink,minoNa,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-57-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,57,see,mahita,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-58-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,58,hear,miteno,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-61-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,61,die,mati,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-66-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,66,come,avi,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-72-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,72,sun,masoandro,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-74-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,74,star,kitaNa,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-75-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,75,water,rano,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-77-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,77,stone,vato,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-82-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,82,fire,afo,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-86-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,86,mountain,vohitri,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-92-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,92,night,aliNa,,
MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA-96-1,MALAGASY_SOUTHERN_BETSIMISARAKA_ANTAIMORO_MANAKARA,Malagasy Southern Betsimisaraka Antaimoro Manakara,96,new,vao,,
