ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MALAGASY_TSIMIHETY_MANDRITSARA-1-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,1,I,zaho,,
MALAGASY_TSIMIHETY_MANDRITSARA-2-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,2,you,ana,,
MALAGASY_TSIMIHETY_MANDRITSARA-3-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,3,we,acika,,
MALAGASY_TSIMIHETY_MANDRITSARA-11-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,11,one,araiki,,
MALAGASY_TSIMIHETY_MANDRITSARA-12-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,12,two,aroa,,
MALAGASY_TSIMIHETY_MANDRITSARA-18-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,18,person,oloNo,,
MALAGASY_TSIMIHETY_MANDRITSARA-19-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,19,fish,lako,,
MALAGASY_TSIMIHETY_MANDRITSARA-21-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,21,dog,amboa,,
MALAGASY_TSIMIHETY_MANDRITSARA-22-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,22,louse,aha,,
MALAGASY_TSIMIHETY_MANDRITSARA-23-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,23,tree,kakazo,,
MALAGASY_TSIMIHETY_MANDRITSARA-25-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,25,leaf,ravini,,
MALAGASY_TSIMIHETY_MANDRITSARA-28-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,28,skin,hotidri,,
MALAGASY_TSIMIHETY_MANDRITSARA-30-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,30,blood,lio,,
MALAGASY_TSIMIHETY_MANDRITSARA-31-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,31,bone,taholaNa,,
MALAGASY_TSIMIHETY_MANDRITSARA-39-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,39,ear,sofiNi,,
MALAGASY_TSIMIHETY_MANDRITSARA-40-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,40,eye,maso,,
MALAGASY_TSIMIHETY_MANDRITSARA-41-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,41,nose,horoNo,,
MALAGASY_TSIMIHETY_MANDRITSARA-43-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,43,tooth,nifi,,
MALAGASY_TSIMIHETY_MANDRITSARA-44-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,44,tongue,laila,,
MALAGASY_TSIMIHETY_MANDRITSARA-48-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,48,hand,taNaNa,,
MALAGASY_TSIMIHETY_MANDRITSARA-53-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,53,liver,ato,,
MALAGASY_TSIMIHETY_MANDRITSARA-54-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,54,drink,magiaka,,
MALAGASY_TSIMIHETY_MANDRITSARA-57-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,57,see,mahita,,
MALAGASY_TSIMIHETY_MANDRITSARA-58-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,58,hear,mitandreNi,,
MALAGASY_TSIMIHETY_MANDRITSARA-61-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,61,die,mati,,
MALAGASY_TSIMIHETY_MANDRITSARA-66-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,66,come,havi,,
MALAGASY_TSIMIHETY_MANDRITSARA-72-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,72,sun,masova,,
MALAGASY_TSIMIHETY_MANDRITSARA-74-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,74,star,lakintaNa,,
MALAGASY_TSIMIHETY_MANDRITSARA-75-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,75,water,rano,,
MALAGASY_TSIMIHETY_MANDRITSARA-77-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,77,stone,vato,,
MALAGASY_TSIMIHETY_MANDRITSARA-82-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,82,fire,motro,,
MALAGASY_TSIMIHETY_MANDRITSARA-85-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,85,path,lalaNa,,
MALAGASY_TSIMIHETY_MANDRITSARA-86-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,86,mountain,taheti,,
MALAGASY_TSIMIHETY_MANDRITSARA-92-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,92,night,haliNi,,
MALAGASY_TSIMIHETY_MANDRITSARA-96-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,96,new,mb~alava,,
MALAGASY_TSIMIHETY_MANDRITSARA-100-1,MALAGASY_TSIMIHETY_MANDRITSARA,Malagasy Tsimihety Mandritsara,100,name,aNaraNa,,
