ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MALE_ETHIOPIA-1-1,MALE_ETHIOPIA,Male Ethiopia,1,I,tani,,
MALE_ETHIOPIA-2-1,MALE_ETHIOPIA,Male Ethiopia,2,you,bore,,
MALE_ETHIOPIA-3-1,MALE_ETHIOPIA,Male Ethiopia,3,we,nuni,,
MALE_ETHIOPIA-11-1,MALE_ETHIOPIA,Male Ethiopia,11,one,pEte,,
MALE_ETHIOPIA-12-1,MALE_ETHIOPIA,Male Ethiopia,12,two,lEm7~o,,
MALE_ETHIOPIA-18-1,MALE_ETHIOPIA,Male Ethiopia,18,person,asi,,
MALE_ETHIOPIA-19-1,MALE_ETHIOPIA,Male Ethiopia,19,fish,molo,,
MALE_ETHIOPIA-21-1,MALE_ETHIOPIA,Male Ethiopia,21,dog,kani,,
MALE_ETHIOPIA-22-1,MALE_ETHIOPIA,Male Ethiopia,22,louse,"C""ugiCi",,
MALE_ETHIOPIA-23-1,MALE_ETHIOPIA,Male Ethiopia,23,tree,mici,,
MALE_ETHIOPIA-25-1,MALE_ETHIOPIA,Male Ethiopia,25,leaf,bonCa,,
MALE_ETHIOPIA-28-1,MALE_ETHIOPIA,Male Ethiopia,28,skin,zETi,,
MALE_ETHIOPIA-30-1,MALE_ETHIOPIA,Male Ethiopia,30,blood,s3guci,,
MALE_ETHIOPIA-31-1,MALE_ETHIOPIA,Male Ethiopia,31,bone,miguci,,
MALE_ETHIOPIA-34-1,MALE_ETHIOPIA,Male Ethiopia,34,horn,rori,,
MALE_ETHIOPIA-39-1,MALE_ETHIOPIA,Male Ethiopia,39,ear,wozi,,
MALE_ETHIOPIA-40-1,MALE_ETHIOPIA,Male Ethiopia,40,eye,afi,,
MALE_ETHIOPIA-41-1,MALE_ETHIOPIA,Male Ethiopia,41,nose,s3di,,
MALE_ETHIOPIA-43-1,MALE_ETHIOPIA,Male Ethiopia,43,tooth,aCi,,
MALE_ETHIOPIA-44-1,MALE_ETHIOPIA,Male Ethiopia,44,tongue,ind~irsi,,
MALE_ETHIOPIA-47-1,MALE_ETHIOPIA,Male Ethiopia,47,knee,guSi,,
MALE_ETHIOPIA-48-1,MALE_ETHIOPIA,Male Ethiopia,48,hand,kuCi,,
MALE_ETHIOPIA-51-1,MALE_ETHIOPIA,Male Ethiopia,51,breast,Tanci,,
MALE_ETHIOPIA-53-1,MALE_ETHIOPIA,Male Ethiopia,53,liver,mazi,,
MALE_ETHIOPIA-54-1,MALE_ETHIOPIA,Male Ethiopia,54,drink,uSk,,
MALE_ETHIOPIA-57-1,MALE_ETHIOPIA,Male Ethiopia,57,see,z3g,,
MALE_ETHIOPIA-58-1,MALE_ETHIOPIA,Male Ethiopia,58,hear,waz,,
MALE_ETHIOPIA-61-1,MALE_ETHIOPIA,Male Ethiopia,61,die,"hak""",,
MALE_ETHIOPIA-66-1,MALE_ETHIOPIA,Male Ethiopia,66,come,hani ye,,
MALE_ETHIOPIA-72-1,MALE_ETHIOPIA,Male Ethiopia,72,sun,abi,,
MALE_ETHIOPIA-74-1,MALE_ETHIOPIA,Male Ethiopia,74,star,"wuC""o",,
MALE_ETHIOPIA-75-1,MALE_ETHIOPIA,Male Ethiopia,75,water,waci,,
MALE_ETHIOPIA-77-1,MALE_ETHIOPIA,Male Ethiopia,77,stone,SuCi,,
MALE_ETHIOPIA-82-1,MALE_ETHIOPIA,Male Ethiopia,82,fire,tami,,
MALE_ETHIOPIA-85-1,MALE_ETHIOPIA,Male Ethiopia,85,path,goci,,
MALE_ETHIOPIA-86-1,MALE_ETHIOPIA,Male Ethiopia,86,mountain,gEmeri,,
MALE_ETHIOPIA-92-1,MALE_ETHIOPIA,Male Ethiopia,92,night,Tumi,,
MALE_ETHIOPIA-96-1,MALE_ETHIOPIA,Male Ethiopia,96,new,aki,,
MALE_ETHIOPIA-100-1,MALE_ETHIOPIA,Male Ethiopia,100,name,sunci,,
