ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MAM_SAN_PEDRO_NECTA-1-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,1,I,qina,,
MAM_SAN_PEDRO_NECTA-1-2,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,1,I,enxay,,
MAM_SAN_PEDRO_NECTA-2-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,2,you,aya,,
MAM_SAN_PEDRO_NECTA-3-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,3,we,awqoye,,
MAM_SAN_PEDRO_NECTA-11-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,11,one,xun,,
MAM_SAN_PEDRO_NECTA-12-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,12,two,"kab""",,
MAM_SAN_PEDRO_NECTA-18-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,18,person,Sxal,,
MAM_SAN_PEDRO_NECTA-19-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,19,fish,ky~iS,,
MAM_SAN_PEDRO_NECTA-21-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,21,dog,"C""yan",,
MAM_SAN_PEDRO_NECTA-22-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,22,louse,"uk""",,
MAM_SAN_PEDRO_NECTA-23-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,23,tree,ce7,,
MAM_SAN_PEDRO_NECTA-25-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,25,leaf,Saq ce7,,
MAM_SAN_PEDRO_NECTA-28-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,28,skin,"qCib""xal",,
MAM_SAN_PEDRO_NECTA-30-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,30,blood,"Cik""",,
MAM_SAN_PEDRO_NECTA-31-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,31,bone,"qb""aqal",,
MAM_SAN_PEDRO_NECTA-39-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,39,ear,qSky~in,,
MAM_SAN_PEDRO_NECTA-40-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,40,eye,"tb""aq"" wic",,
MAM_SAN_PEDRO_NECTA-41-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,41,nose,qCan,,
MAM_SAN_PEDRO_NECTA-43-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,43,tooth,twic qe,,
MAM_SAN_PEDRO_NECTA-44-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,44,tongue,"q""aq""",,
MAM_SAN_PEDRO_NECTA-47-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,47,knee,"qC""eky~",,
MAM_SAN_PEDRO_NECTA-48-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,48,hand,"qq""ob""",,
MAM_SAN_PEDRO_NECTA-51-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,51,breast,imx,,
MAM_SAN_PEDRO_NECTA-53-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,53,liver,sason,,
MAM_SAN_PEDRO_NECTA-54-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,54,drink,"k""an",,
MAM_SAN_PEDRO_NECTA-57-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,57,see,til,,
MAM_SAN_PEDRO_NECTA-58-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,58,hear,"b""i",,
MAM_SAN_PEDRO_NECTA-61-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,61,die,Cim,,
MAM_SAN_PEDRO_NECTA-66-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,66,come,"c""ul",,
MAM_SAN_PEDRO_NECTA-72-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,72,sun,"q""ix",,
MAM_SAN_PEDRO_NECTA-74-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,74,star,Cew,,
MAM_SAN_PEDRO_NECTA-75-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,75,water,a7,,
MAM_SAN_PEDRO_NECTA-77-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,77,stone,Saq,,
MAM_SAN_PEDRO_NECTA-82-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,82,fire,"q""a7",,
MAM_SAN_PEDRO_NECTA-85-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,85,path,"b""e",,
MAM_SAN_PEDRO_NECTA-86-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,86,mountain,wic,,
MAM_SAN_PEDRO_NECTA-92-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,92,night,"qonik""y~an",,
MAM_SAN_PEDRO_NECTA-95-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,95,full,nox,,
MAM_SAN_PEDRO_NECTA-96-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,96,new,"ak""ax",,
MAM_SAN_PEDRO_NECTA-100-1,MAM_SAN_PEDRO_NECTA,Mam San Pedro Necta,100,name,"b""iyb""ax",,
