ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MANADONESE-1-1,MANADONESE,Manadonese,1,I,kita,,
MANADONESE-2-1,MANADONESE,Manadonese,2,you,Nana,,
MANADONESE-3-1,MANADONESE,Manadonese,3,we,toraN,,
MANADONESE-11-1,MANADONESE,Manadonese,11,one,satu,,
MANADONESE-12-1,MANADONESE,Manadonese,12,two,dua,,
MANADONESE-18-1,MANADONESE,Manadonese,18,person,oraN,,
MANADONESE-19-1,MANADONESE,Manadonese,19,fish,ikaN,,
MANADONESE-21-1,MANADONESE,Manadonese,21,dog,anj~iN,,
MANADONESE-22-1,MANADONESE,Manadonese,22,louse,kutu,,
MANADONESE-23-1,MANADONESE,Manadonese,23,tree,pohoN,,
MANADONESE-25-1,MANADONESE,Manadonese,25,leaf,daoN,,
MANADONESE-28-1,MANADONESE,Manadonese,28,skin,kuli,,
MANADONESE-30-1,MANADONESE,Manadonese,30,blood,dara,,
MANADONESE-31-1,MANADONESE,Manadonese,31,bone,tulaN,,
MANADONESE-39-1,MANADONESE,Manadonese,39,ear,taliNa,,
MANADONESE-40-1,MANADONESE,Manadonese,40,eye,mata,,
MANADONESE-41-1,MANADONESE,Manadonese,41,nose,idoN,,
MANADONESE-43-1,MANADONESE,Manadonese,43,tooth,gigi,,
MANADONESE-44-1,MANADONESE,Manadonese,44,tongue,lida,,
MANADONESE-47-1,MANADONESE,Manadonese,47,knee,lutut,,
MANADONESE-48-1,MANADONESE,Manadonese,48,hand,taNaN,,
MANADONESE-51-1,MANADONESE,Manadonese,51,breast,toto,,
MANADONESE-53-1,MANADONESE,Manadonese,53,liver,hati,,
MANADONESE-57-1,MANADONESE,Manadonese,57,see,lia,,
MANADONESE-72-1,MANADONESE,Manadonese,72,sun,matahari,,
MANADONESE-74-1,MANADONESE,Manadonese,74,star,bint~aN,,
MANADONESE-75-1,MANADONESE,Manadonese,75,water,aer,,
MANADONESE-77-1,MANADONESE,Manadonese,77,stone,batu,,
MANADONESE-82-1,MANADONESE,Manadonese,82,fire,api,,
MANADONESE-85-1,MANADONESE,Manadonese,85,path,jalaN,,
MANADONESE-86-1,MANADONESE,Manadonese,86,mountain,gunuN,,
MANADONESE-92-1,MANADONESE,Manadonese,92,night,malam,,
MANADONESE-96-1,MANADONESE,Manadonese,96,new,baru,,
MANADONESE-100-1,MANADONESE,Manadonese,100,name,nama,,
