ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MANAM-1-1,MANAM,Manam,1,I,Nau,,
MANAM-2-1,MANAM,Manam,2,you,kaiko,,
MANAM-3-1,MANAM,Manam,3,we,ita,,
MANAM-11-1,MANAM,Manam,11,one,te7e,,
MANAM-12-1,MANAM,Manam,12,two,rua,,
MANAM-18-1,MANAM,Manam,18,person,tamw~ata,,
MANAM-19-1,MANAM,Manam,19,fish,i7a,,
MANAM-21-1,MANAM,Manam,21,dog,eu,,
MANAM-22-1,MANAM,Manam,22,louse,utu,,
MANAM-25-1,MANAM,Manam,25,leaf,dau,,
MANAM-28-1,MANAM,Manam,28,skin,usi,,
MANAM-30-1,MANAM,Manam,30,blood,dara,,
MANAM-31-1,MANAM,Manam,31,bone,tapou,,
MANAM-39-1,MANAM,Manam,39,ear,uNi,,
MANAM-40-1,MANAM,Manam,40,eye,mata,,
MANAM-41-1,MANAM,Manam,41,nose,mw~agaru,,
MANAM-43-1,MANAM,Manam,43,tooth,ile,,
MANAM-44-1,MANAM,Manam,44,tongue,meme,,
MANAM-48-1,MANAM,Manam,48,hand,debu,,
MANAM-51-1,MANAM,Manam,51,breast,ruru,,
MANAM-53-1,MANAM,Manam,53,liver,mw~age,,
MANAM-54-1,MANAM,Manam,54,drink,siN,,
MANAM-57-1,MANAM,Manam,57,see,tea,,
MANAM-58-1,MANAM,Manam,58,hear,loNo,,
MANAM-61-1,MANAM,Manam,61,die,mate,,
MANAM-66-1,MANAM,Manam,66,come,mai,,
MANAM-74-1,MANAM,Manam,74,star,goai,,
MANAM-75-1,MANAM,Manam,75,water,daN,,
MANAM-77-1,MANAM,Manam,77,stone,patu,,
MANAM-82-1,MANAM,Manam,82,fire,ewa,,
MANAM-85-1,MANAM,Manam,85,path,jala,,
MANAM-85-2,MANAM,Manam,85,path,Tala,,
MANAM-92-1,MANAM,Manam,92,night,wabubu,,
MANAM-96-1,MANAM,Manam,96,new,wawau,,
MANAM-100-1,MANAM,Manam,100,name,ara,,
