ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MANGA-1-1,MANGA,Manga,1,I,sa,,
MANGA-2-1,MANGA,Manga,2,you,xoN,,
MANGA-3-1,MANGA,Manga,3,we,xey,,
MANGA-11-1,MANGA,Manga,11,one,ti,,
MANGA-12-1,MANGA,Manga,12,two,yuh,,
MANGA-18-1,MANGA,Manga,18,person,mow,,
MANGA-21-1,MANGA,Manga,21,dog,bow,,
MANGA-22-1,MANGA,Manga,22,louse,ponaN,,
MANGA-23-1,MANGA,Manga,23,tree,xax,,
MANGA-25-1,MANGA,Manga,25,leaf,ris,,
MANGA-28-1,MANGA,Manga,28,skin,nabi,,
MANGA-30-1,MANGA,Manga,30,blood,nixes,,
MANGA-31-1,MANGA,Manga,31,bone,kok,,
MANGA-39-1,MANGA,Manga,39,ear,na5e,,
MANGA-40-1,MANGA,Manga,40,eye,me,,
MANGA-41-1,MANGA,Manga,41,nose,naru,,
MANGA-43-1,MANGA,Manga,43,tooth,nabu,,
MANGA-44-1,MANGA,Manga,44,tongue,ndaran,,
MANGA-47-1,MANGA,Manga,47,knee,baxa katu,,
MANGA-48-1,MANGA,Manga,48,hand,nama,,
MANGA-51-1,MANGA,Manga,51,breast,narusum,,
MANGA-53-1,MANGA,Manga,53,liver,te,,
MANGA-54-1,MANGA,Manga,54,drink,nanum,,
MANGA-57-1,MANGA,Manga,57,see,nayi,,
MANGA-58-1,MANGA,Manga,58,hear,xaNo,,
MANGA-61-1,MANGA,Manga,61,die,yimp,,
MANGA-66-1,MANGA,Manga,66,come,naram,,
MANGA-72-1,MANGA,Manga,72,sun,takume,,
MANGA-74-1,MANGA,Manga,74,star,matam,,
MANGA-75-1,MANGA,Manga,75,water,mber,,
MANGA-77-1,MANGA,Manga,77,stone,tatuh,,
MANGA-82-1,MANGA,Manga,82,fire,kin,,
MANGA-85-1,MANGA,Manga,85,path,mop,,
MANGA-86-1,MANGA,Manga,86,mountain,kandu,,
MANGA-92-1,MANGA,Manga,92,night,mbusin,,
MANGA-95-1,MANGA,Manga,95,full,pup,,
MANGA-96-1,MANGA,Manga,96,new,mos,,
MANGA-100-1,MANGA,Manga,100,name,xare,,
