ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MANJACA_CHURO-1-1,MANJACA_CHURO,Manjaca Churo,1,I,i*ji,,
MANJACA_CHURO-2-1,MANJACA_CHURO,Manjaca Churo,2,you,ui,,
MANJACA_CHURO-3-1,MANJACA_CHURO,Manjaca Churo,3,we,ja,,
MANJACA_CHURO-11-1,MANJACA_CHURO,Manjaca Churo,11,one,lolo*,,
MANJACA_CHURO-12-1,MANJACA_CHURO,Manjaca Churo,12,two,tab,,
MANJACA_CHURO-18-1,MANJACA_CHURO,Manjaca Churo,18,person,ne*t,,
MANJACA_CHURO-19-1,MANJACA_CHURO,Manjaca Churo,19,fish,utab,,
MANJACA_CHURO-23-1,MANJACA_CHURO,Manjaca Churo,23,tree,bumul,,
MANJACA_CHURO-25-1,MANJACA_CHURO,Manjaca Churo,25,leaf,kato bumul,,
MANJACA_CHURO-28-1,MANJACA_CHURO,Manjaca Churo,28,skin,katel,,
MANJACA_CHURO-30-1,MANJACA_CHURO,Manjaca Churo,30,blood,ka5ak,,
MANJACA_CHURO-31-1,MANJACA_CHURO,Manjaca Churo,31,bone,kamo,,
MANJACA_CHURO-34-1,MANJACA_CHURO,Manjaca Churo,34,horn,pe*ti*,,
MANJACA_CHURO-34-2,MANJACA_CHURO,Manjaca Churo,34,horn,pe*te*,,
MANJACA_CHURO-40-1,MANJACA_CHURO,Manjaca Churo,40,eye,pekeC,,
MANJACA_CHURO-41-1,MANJACA_CHURO,Manjaca Churo,41,nose,biC,,
MANJACA_CHURO-43-1,MANJACA_CHURO,Manjaca Churo,43,tooth,perume,,
MANJACA_CHURO-43-2,MANJACA_CHURO,Manjaca Churo,43,tooth,pe5i*,,
MANJACA_CHURO-44-1,MANJACA_CHURO,Manjaca Churo,44,tongue,peremi*t,,
MANJACA_CHURO-47-1,MANJACA_CHURO,Manjaca Churo,47,knee,pejul,,
MANJACA_CHURO-48-1,MANJACA_CHURO,Manjaca Churo,48,hand,ka5e*,,
MANJACA_CHURO-51-1,MANJACA_CHURO,Manjaca Churo,51,breast,pil,,
MANJACA_CHURO-53-1,MANJACA_CHURO,Manjaca Churo,53,liver,urrEb,,
MANJACA_CHURO-54-1,MANJACA_CHURO,Manjaca Churo,54,drink,ra,,
MANJACA_CHURO-57-1,MANJACA_CHURO,Manjaca Churo,57,see,tene,,
MANJACA_CHURO-58-1,MANJACA_CHURO,Manjaca Churo,58,hear,te,,
MANJACA_CHURO-61-1,MANJACA_CHURO,Manjaca Churo,61,die,kE,,
MANJACA_CHURO-66-1,MANJACA_CHURO,Manjaca Churo,66,come,bi,,
MANJACA_CHURO-72-1,MANJACA_CHURO,Manjaca Churo,72,sun,unu,,
MANJACA_CHURO-74-1,MANJACA_CHURO,Manjaca Churo,74,star,upeCaje,,
MANJACA_CHURO-75-1,MANJACA_CHURO,Manjaca Churo,75,water,melik,,
MANJACA_CHURO-77-1,MANJACA_CHURO,Manjaca Churo,77,stone,pelak,,
MANJACA_CHURO-85-1,MANJACA_CHURO,Manjaca Churo,85,path,bega,,
MANJACA_CHURO-86-1,MANJACA_CHURO,Manjaca Churo,86,mountain,bejuk,,
MANJACA_CHURO-92-1,MANJACA_CHURO,Manjaca Churo,92,night,berEme,,
MANJACA_CHURO-95-1,MANJACA_CHURO,Manjaca Churo,95,full,atxume,,
MANJACA_CHURO-96-1,MANJACA_CHURO,Manjaca Churo,96,new,ualu,,
MANJACA_CHURO-100-1,MANJACA_CHURO,Manjaca Churo,100,name,katimo,,
