ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MANOBO_SARANGANI-1-1,MANOBO_SARANGANI,Manobo Sarangani,1,I,si7ak,,
MANOBO_SARANGANI-2-1,MANOBO_SARANGANI,Manobo Sarangani,2,you,sikona,,
MANOBO_SARANGANI-3-1,MANOBO_SARANGANI,Manobo Sarangani,3,we,sikitadon,,
MANOBO_SARANGANI-11-1,MANOBO_SARANGANI,Manobo Sarangani,11,one,sobad,,
MANOBO_SARANGANI-12-1,MANOBO_SARANGANI,Manobo Sarangani,12,two,dowa,,
MANOBO_SARANGANI-18-1,MANOBO_SARANGANI,Manobo Sarangani,18,person,otaw,,
MANOBO_SARANGANI-19-1,MANOBO_SARANGANI,Manobo Sarangani,19,fish,ikan,,
MANOBO_SARANGANI-21-1,MANOBO_SARANGANI,Manobo Sarangani,21,dog,toyaN,,
MANOBO_SARANGANI-22-1,MANOBO_SARANGANI,Manobo Sarangani,22,louse,koto,,
MANOBO_SARANGANI-23-1,MANOBO_SARANGANI,Manobo Sarangani,23,tree,kayo,,
MANOBO_SARANGANI-25-1,MANOBO_SARANGANI,Manobo Sarangani,25,leaf,dawon,,
MANOBO_SARANGANI-28-1,MANOBO_SARANGANI,Manobo Sarangani,28,skin,kindal,,
MANOBO_SARANGANI-30-1,MANOBO_SARANGANI,Manobo Sarangani,30,blood,dipanog,,
MANOBO_SARANGANI-31-1,MANOBO_SARANGANI,Manobo Sarangani,31,bone,to7lan,,
MANOBO_SARANGANI-39-1,MANOBO_SARANGANI,Manobo Sarangani,39,ear,toliNa,,
MANOBO_SARANGANI-40-1,MANOBO_SARANGANI,Manobo Sarangani,40,eye,mata,,
MANOBO_SARANGANI-41-1,MANOBO_SARANGANI,Manobo Sarangani,41,nose,idoN,,
MANOBO_SARANGANI-43-1,MANOBO_SARANGANI,Manobo Sarangani,43,tooth,Nipon,,
MANOBO_SARANGANI-44-1,MANOBO_SARANGANI,Manobo Sarangani,44,tongue,dila7,,
MANOBO_SARANGANI-47-1,MANOBO_SARANGANI,Manobo Sarangani,47,knee,bo7ol,,
MANOBO_SARANGANI-48-1,MANOBO_SARANGANI,Manobo Sarangani,48,hand,bolad,,
MANOBO_SARANGANI-51-1,MANOBO_SARANGANI,Manobo Sarangani,51,breast,soso,,
MANOBO_SARANGANI-53-1,MANOBO_SARANGANI,Manobo Sarangani,53,liver,atay,,
MANOBO_SARANGANI-54-1,MANOBO_SARANGANI,Manobo Sarangani,54,drink,inom,,
MANOBO_SARANGANI-57-1,MANOBO_SARANGANI,Manobo Sarangani,57,see,kita7,,
MANOBO_SARANGANI-58-1,MANOBO_SARANGANI,Manobo Sarangani,58,hear,dinog,,
MANOBO_SARANGANI-74-1,MANOBO_SARANGANI,Manobo Sarangani,74,star,bito7on,,
MANOBO_SARANGANI-75-1,MANOBO_SARANGANI,Manobo Sarangani,75,water,wayog,,
MANOBO_SARANGANI-77-1,MANOBO_SARANGANI,Manobo Sarangani,77,stone,bato,,
MANOBO_SARANGANI-82-1,MANOBO_SARANGANI,Manobo Sarangani,82,fire,apoy,,
MANOBO_SARANGANI-85-1,MANOBO_SARANGANI,Manobo Sarangani,85,path,dalan,,
MANOBO_SARANGANI-86-1,MANOBO_SARANGANI,Manobo Sarangani,86,mountain,bontod,,
MANOBO_SARANGANI-92-1,MANOBO_SARANGANI,Manobo Sarangani,92,night,dolom,,
MANOBO_SARANGANI-95-1,MANOBO_SARANGANI,Manobo Sarangani,95,full,pono7,,
MANOBO_SARANGANI-96-1,MANOBO_SARANGANI,Manobo Sarangani,96,new,kaliN,,
MANOBO_SARANGANI-100-1,MANOBO_SARANGANI,Manobo Sarangani,100,name,Nadan,,
