ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MARAU-1-1,MARAU,Marau,1,I,nau,,
MARAU-3-1,MARAU,Marau,3,we,ikoru,,
MARAU-11-1,MARAU,Marau,11,one,eta,,
MARAU-12-1,MARAU,Marau,12,two,rua,,
MARAU-18-1,MARAU,Marau,18,person,inoni,,
MARAU-19-1,MARAU,Marau,19,fish,i7a,,
MARAU-21-1,MARAU,Marau,21,dog,kui,,
MARAU-25-1,MARAU,Marau,25,leaf,7apa7apana7ai,,
MARAU-28-1,MARAU,Marau,28,skin,rape,,
MARAU-30-1,MARAU,Marau,30,blood,apu,,
MARAU-31-1,MARAU,Marau,31,bone,susuri,,
MARAU-39-1,MARAU,Marau,39,ear,arina,,
MARAU-40-1,MARAU,Marau,40,eye,ma,,
MARAU-41-1,MARAU,Marau,41,nose,pano,,
MARAU-43-1,MARAU,Marau,43,tooth,niho,,
MARAU-44-1,MARAU,Marau,44,tongue,mea,,
MARAU-48-1,MARAU,Marau,48,hand,kaika7ina,,
MARAU-51-1,MARAU,Marau,51,breast,susu,,
MARAU-53-1,MARAU,Marau,53,liver,raenusu,,
MARAU-54-1,MARAU,Marau,54,drink,ko7uko7u,,
MARAU-57-1,MARAU,Marau,57,see,resia,,
MARAU-58-1,MARAU,Marau,58,hear,noroa,,
MARAU-61-1,MARAU,Marau,61,die,mae,,
MARAU-66-1,MARAU,Marau,66,come,ramai,,
MARAU-74-1,MARAU,Marau,74,star,purupuru,,
MARAU-75-1,MARAU,Marau,75,water,wai,,
MARAU-77-1,MARAU,Marau,77,stone,hau,,
MARAU-82-1,MARAU,Marau,82,fire,suna,,
MARAU-85-1,MARAU,Marau,85,path,tara,,
MARAU-92-1,MARAU,Marau,92,night,me7etani,,
MARAU-96-1,MARAU,Marau,96,new,haoru,,
MARAU-100-1,MARAU,Marau,100,name,ratana,,
