ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MARESHK_KHORASANI-1-1,MARESHK_KHORASANI,Mareshk Khorasani,1,I,mEn,,
MARESHK_KHORASANI-1-2,MARESHK_KHORASANI,Mareshk Khorasani,1,I,min,,
MARESHK_KHORASANI-2-1,MARESHK_KHORASANI,Mareshk Khorasani,2,you,sin,,
MARESHK_KHORASANI-3-1,MARESHK_KHORASANI,Mareshk Khorasani,3,we,biz,,
MARESHK_KHORASANI-11-1,MARESHK_KHORASANI,Mareshk Khorasani,11,one,bir,,
MARESHK_KHORASANI-11-2,MARESHK_KHORASANI,Mareshk Khorasani,11,one,yEk,,
MARESHK_KHORASANI-12-1,MARESHK_KHORASANI,Mareshk Khorasani,12,two,iki,,
MARESHK_KHORASANI-18-1,MARESHK_KHORASANI,Mareshk Khorasani,18,person,kiSi,,
MARESHK_KHORASANI-18-2,MARESHK_KHORASANI,Mareshk Khorasani,18,person,mErd,,
MARESHK_KHORASANI-21-1,MARESHK_KHORASANI,Mareshk Khorasani,21,dog,it,,
MARESHK_KHORASANI-22-1,MARESHK_KHORASANI,Mareshk Khorasani,22,louse,bit,,
MARESHK_KHORASANI-23-1,MARESHK_KHORASANI,Mareshk Khorasani,23,tree,dErat,,
MARESHK_KHORASANI-25-1,MARESHK_KHORASANI,Mareshk Khorasani,25,leaf,balik,,
MARESHK_KHORASANI-28-1,MARESHK_KHORASANI,Mareshk Khorasani,28,skin,deri,,
MARESHK_KHORASANI-30-1,MARESHK_KHORASANI,Mareshk Khorasani,30,blood,xun,,
MARESHK_KHORASANI-30-2,MARESHK_KHORASANI,Mareshk Khorasani,30,blood,Gon,,
MARESHK_KHORASANI-39-1,MARESHK_KHORASANI,Mareshk Khorasani,39,ear,Golox,,
MARESHK_KHORASANI-40-1,MARESHK_KHORASANI,Mareshk Khorasani,40,eye,gez,,
MARESHK_KHORASANI-41-1,MARESHK_KHORASANI,Mareshk Khorasani,41,nose,burn,,
MARESHK_KHORASANI-41-2,MARESHK_KHORASANI,Mareshk Khorasani,41,nose,bur,,
MARESHK_KHORASANI-43-1,MARESHK_KHORASANI,Mareshk Khorasani,43,tooth,diS,,
MARESHK_KHORASANI-44-1,MARESHK_KHORASANI,Mareshk Khorasani,44,tongue,dil,,
MARESHK_KHORASANI-47-1,MARESHK_KHORASANI,Mareshk Khorasani,47,knee,diz,,
MARESHK_KHORASANI-48-1,MARESHK_KHORASANI,Mareshk Khorasani,48,hand,el,,
MARESHK_KHORASANI-51-1,MARESHK_KHORASANI,Mareshk Khorasani,51,breast,emjEk,,
MARESHK_KHORASANI-51-2,MARESHK_KHORASANI,Mareshk Khorasani,51,breast,emjE,,
MARESHK_KHORASANI-53-1,MARESHK_KHORASANI,Mareshk Khorasani,53,liver,irEk,,
MARESHK_KHORASANI-53-2,MARESHK_KHORASANI,Mareshk Khorasani,53,liver,jigEr,,
MARESHK_KHORASANI-54-1,MARESHK_KHORASANI,Mareshk Khorasani,54,drink,iC,,
MARESHK_KHORASANI-57-1,MARESHK_KHORASANI,Mareshk Khorasani,57,see,ger,,
MARESHK_KHORASANI-58-1,MARESHK_KHORASANI,Mareshk Khorasani,58,hear,eSit,,
MARESHK_KHORASANI-61-1,MARESHK_KHORASANI,Mareshk Khorasani,61,die,el,,
MARESHK_KHORASANI-66-1,MARESHK_KHORASANI,Mareshk Khorasani,66,come,gel,,
MARESHK_KHORASANI-72-1,MARESHK_KHORASANI,Mareshk Khorasani,72,sun,gin,,
MARESHK_KHORASANI-74-1,MARESHK_KHORASANI,Mareshk Khorasani,74,star,yulduz,,
MARESHK_KHORASANI-75-1,MARESHK_KHORASANI,Mareshk Khorasani,75,water,su,,
MARESHK_KHORASANI-77-1,MARESHK_KHORASANI,Mareshk Khorasani,77,stone,taS,,
MARESHK_KHORASANI-77-2,MARESHK_KHORASANI,Mareshk Khorasani,77,stone,toS,,
MARESHK_KHORASANI-82-1,MARESHK_KHORASANI,Mareshk Khorasani,82,fire,ot,,
MARESHK_KHORASANI-85-1,MARESHK_KHORASANI,Mareshk Khorasani,85,path,yol,,
MARESHK_KHORASANI-86-1,MARESHK_KHORASANI,Mareshk Khorasani,86,mountain,dox,,
MARESHK_KHORASANI-92-1,MARESHK_KHORASANI,Mareshk Khorasani,92,night,oSam,,
MARESHK_KHORASANI-92-2,MARESHK_KHORASANI,Mareshk Khorasani,92,night,gejE,,
MARESHK_KHORASANI-95-1,MARESHK_KHORASANI,Mareshk Khorasani,95,full,dolu,,
MARESHK_KHORASANI-96-1,MARESHK_KHORASANI,Mareshk Khorasani,96,new,toza,,
