ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MARITHIEL-1-1,MARITHIEL,Marithiel,1,I,yikin,,
MARITHIEL-2-1,MARITHIEL,Marithiel,2,you,na5,,
MARITHIEL-3-1,MARITHIEL,Marithiel,3,we,NaNkinim,,
MARITHIEL-11-1,MARITHIEL,Marithiel,11,one,Ninty~i,,
MARITHIEL-12-1,MARITHIEL,Marithiel,12,two,ty~ity~ukuni,,
MARITHIEL-21-1,MARITHIEL,Marithiel,21,dog,waty~an,,
MARITHIEL-23-1,MARITHIEL,Marithiel,23,tree,tawur,,
MARITHIEL-25-1,MARITHIEL,Marithiel,25,leaf,muliNi,,
MARITHIEL-28-1,MARITHIEL,Marithiel,28,skin,teripiri,,
MARITHIEL-30-1,MARITHIEL,Marithiel,30,blood,wulkirim,,
MARITHIEL-31-1,MARITHIEL,Marithiel,31,bone,muwa,,
MARITHIEL-39-1,MARITHIEL,Marithiel,39,ear,ty~aNi,,
MARITHIEL-40-1,MARITHIEL,Marithiel,40,eye,miri,,
MARITHIEL-41-1,MARITHIEL,Marithiel,41,nose,yen,,
MARITHIEL-43-1,MARITHIEL,Marithiel,43,tooth,tiyer,,
MARITHIEL-44-1,MARITHIEL,Marithiel,44,tongue,Naltiritiri,,
MARITHIEL-47-1,MARITHIEL,Marithiel,47,knee,peNki,,
MARITHIEL-48-1,MARITHIEL,Marithiel,48,hand,punti,,
MARITHIEL-51-1,MARITHIEL,Marithiel,51,breast,yeNi,,
MARITHIEL-53-1,MARITHIEL,Marithiel,53,liver,puritli,,
MARITHIEL-72-1,MARITHIEL,Marithiel,72,sun,panti,,
MARITHIEL-74-1,MARITHIEL,Marithiel,74,star,witli,,
MARITHIEL-75-1,MARITHIEL,Marithiel,75,water,wuti,,
MARITHIEL-77-1,MARITHIEL,Marithiel,77,stone,karitla,,
MARITHIEL-82-1,MARITHIEL,Marithiel,82,fire,ty~enty~i,,
MARITHIEL-92-1,MARITHIEL,Marithiel,92,night,nity~i,,
MARITHIEL-96-1,MARITHIEL,Marithiel,96,new,yaNi,,
MARITHIEL-100-1,MARITHIEL,Marithiel,100,name,puma,,
