ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MARTUTHUNIRA-1-1,MARTUTHUNIRA,Martuthunira,1,I,Nayu,,
MARTUTHUNIRA-2-1,MARTUTHUNIRA,Martuthunira,2,you,katu,,
MARTUTHUNIRA-3-1,MARTUTHUNIRA,Martuthunira,3,we,Naliwa,,
MARTUTHUNIRA-11-1,MARTUTHUNIRA,Martuthunira,11,one,kalika,,
MARTUTHUNIRA-12-1,MARTUTHUNIRA,Martuthunira,12,two,kayara,,
MARTUTHUNIRA-18-1,MARTUTHUNIRA,Martuthunira,18,person,na5ara,,
MARTUTHUNIRA-19-1,MARTUTHUNIRA,Martuthunira,19,fish,kuLamp~a,,
MARTUTHUNIRA-21-1,MARTUTHUNIRA,Martuthunira,21,dog,muyi,,
MARTUTHUNIRA-23-1,MARTUTHUNIRA,Martuthunira,23,tree,kaLaran,,
MARTUTHUNIRA-25-1,MARTUTHUNIRA,Martuthunira,25,leaf,wuruLwa,,
MARTUTHUNIRA-30-1,MARTUTHUNIRA,Martuthunira,30,blood,yuNkata5u,,
MARTUTHUNIRA-31-1,MARTUTHUNIRA,Martuthunira,31,bone,kata,,
MARTUTHUNIRA-34-1,MARTUTHUNIRA,Martuthunira,34,horn,patarara,,
MARTUTHUNIRA-39-1,MARTUTHUNIRA,Martuthunira,39,ear,kuliya,,
MARTUTHUNIRA-40-1,MARTUTHUNIRA,Martuthunira,40,eye,paniya,,
MARTUTHUNIRA-41-1,MARTUTHUNIRA,Martuthunira,41,nose,muLa,,
MARTUTHUNIRA-43-1,MARTUTHUNIRA,Martuthunira,43,tooth,Nant~ari,,
MARTUTHUNIRA-44-1,MARTUTHUNIRA,Martuthunira,44,tongue,yaLuru,,
MARTUTHUNIRA-47-1,MARTUTHUNIRA,Martuthunira,47,knee,manpur,,
MARTUTHUNIRA-48-1,MARTUTHUNIRA,Martuthunira,48,hand,mara,,
MARTUTHUNIRA-51-1,MARTUTHUNIRA,Martuthunira,51,breast,piwi,,
MARTUTHUNIRA-53-1,MARTUTHUNIRA,Martuthunira,53,liver,Namari,,
MARTUTHUNIRA-54-1,MARTUTHUNIRA,Martuthunira,54,drink,paya,,
MARTUTHUNIRA-57-1,MARTUTHUNIRA,Martuthunira,57,see,pura5i,,
MARTUTHUNIRA-58-1,MARTUTHUNIRA,Martuthunira,58,hear,kuliya,,
MARTUTHUNIRA-61-1,MARTUTHUNIRA,Martuthunira,61,die,4unt~inpa,,
MARTUTHUNIRA-66-1,MARTUTHUNIRA,Martuthunira,66,come,kanari,,
MARTUTHUNIRA-72-1,MARTUTHUNIRA,Martuthunira,72,sun,yakaraNu,,
MARTUTHUNIRA-75-1,MARTUTHUNIRA,Martuthunira,75,water,kayulu,,
MARTUTHUNIRA-77-1,MARTUTHUNIRA,Martuthunira,77,stone,paLa,,
MARTUTHUNIRA-82-1,MARTUTHUNIRA,Martuthunira,82,fire,kaLa,,
MARTUTHUNIRA-85-1,MARTUTHUNIRA,Martuthunira,85,path,maLara,,
MARTUTHUNIRA-86-1,MARTUTHUNIRA,Martuthunira,86,mountain,paLa,,
MARTUTHUNIRA-92-1,MARTUTHUNIRA,Martuthunira,92,night,wayala,,
MARTUTHUNIRA-95-1,MARTUTHUNIRA,Martuthunira,95,full,wi5a,,
MARTUTHUNIRA-96-1,MARTUTHUNIRA,Martuthunira,96,new,kuwarira,,
MARTUTHUNIRA-100-1,MARTUTHUNIRA,Martuthunira,100,name,yini,,
