ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MASHI_NIGERIA-11-1,MASHI_NIGERIA,Mashi Nigeria,11,one,mu,,
MASHI_NIGERIA-12-1,MASHI_NIGERIA,Mashi Nigeria,12,two,bif3,,
MASHI_NIGERIA-18-1,MASHI_NIGERIA,Mashi Nigeria,18,person,3,,
MASHI_NIGERIA-19-1,MASHI_NIGERIA,Mashi Nigeria,19,fish,bi3,,
MASHI_NIGERIA-21-1,MASHI_NIGERIA,Mashi Nigeria,21,dog,bw~E,,
MASHI_NIGERIA-22-1,MASHI_NIGERIA,Mashi Nigeria,22,louse,fiNk~aNba,,
MASHI_NIGERIA-23-1,MASHI_NIGERIA,Mashi Nigeria,23,tree,ti,,
MASHI_NIGERIA-25-1,MASHI_NIGERIA,Mashi Nigeria,25,leaf,Ti,,
MASHI_NIGERIA-28-1,MASHI_NIGERIA,Mashi Nigeria,28,skin,gor,,
MASHI_NIGERIA-30-1,MASHI_NIGERIA,Mashi Nigeria,30,blood,Ng~um,,
MASHI_NIGERIA-31-1,MASHI_NIGERIA,Mashi Nigeria,31,bone,3nk~Env~a,,
MASHI_NIGERIA-34-1,MASHI_NIGERIA,Mashi Nigeria,34,horn,th~u,,
MASHI_NIGERIA-39-1,MASHI_NIGERIA,Mashi Nigeria,39,ear,th~u,,
MASHI_NIGERIA-40-1,MASHI_NIGERIA,Mashi Nigeria,40,eye,TEr,,
MASHI_NIGERIA-41-1,MASHI_NIGERIA,Mashi Nigeria,41,nose,ju,,
MASHI_NIGERIA-43-1,MASHI_NIGERIA,Mashi Nigeria,43,tooth,gira,,
MASHI_NIGERIA-44-1,MASHI_NIGERIA,Mashi Nigeria,44,tongue,li,,
MASHI_NIGERIA-48-1,MASHI_NIGERIA,Mashi Nigeria,48,hand,ban,,
MASHI_NIGERIA-51-1,MASHI_NIGERIA,Mashi Nigeria,51,breast,bEn,,
MASHI_NIGERIA-54-1,MASHI_NIGERIA,Mashi Nigeria,54,drink,mu,,
MASHI_NIGERIA-57-1,MASHI_NIGERIA,Mashi Nigeria,57,see,mE,,
MASHI_NIGERIA-58-1,MASHI_NIGERIA,Mashi Nigeria,58,hear,Tok,,
MASHI_NIGERIA-61-1,MASHI_NIGERIA,Mashi Nigeria,61,die,gb~E,,
MASHI_NIGERIA-66-1,MASHI_NIGERIA,Mashi Nigeria,66,come,b3,,
MASHI_NIGERIA-72-1,MASHI_NIGERIA,Mashi Nigeria,72,sun,To,,
MASHI_NIGERIA-75-1,MASHI_NIGERIA,Mashi Nigeria,75,water,gw~o,,
MASHI_NIGERIA-82-1,MASHI_NIGERIA,Mashi Nigeria,82,fire,bo,,
MASHI_NIGERIA-85-1,MASHI_NIGERIA,Mashi Nigeria,85,path,jE,,
MASHI_NIGERIA-92-1,MASHI_NIGERIA,Mashi Nigeria,92,night,Co,,
MASHI_NIGERIA-100-1,MASHI_NIGERIA,Mashi Nigeria,100,name,TE,,
