ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MATBAT-1-1,MATBAT,Matbat,1,I,yak,,
MATBAT-1-2,MATBAT,Matbat,1,I,yaka,,
MATBAT-2-1,MATBAT,Matbat,2,you,yaw,,
MATBAT-2-2,MATBAT,Matbat,2,you,yawa,,
MATBAT-3-1,MATBAT,Matbat,3,we,yat,,
MATBAT-11-1,MATBAT,Matbat,11,one,tem,,
MATBAT-12-1,MATBAT,Matbat,12,two,lu,,
MATBAT-18-1,MATBAT,Matbat,18,person,mat,,
MATBAT-19-1,MATBAT,Matbat,19,fish,yin,,
MATBAT-21-1,MATBAT,Matbat,21,dog,yem,,
MATBAT-22-1,MATBAT,Matbat,22,louse,wut,,
MATBAT-23-1,MATBAT,Matbat,23,tree,hay,,
MATBAT-25-1,MATBAT,Matbat,25,leaf,dan,,
MATBAT-28-1,MATBAT,Matbat,28,skin,may,,
MATBAT-30-1,MATBAT,Matbat,30,blood,pew,,
MATBAT-31-1,MATBAT,Matbat,31,bone,bom,,
MATBAT-34-1,MATBAT,Matbat,34,horn,sop,,
MATBAT-39-1,MATBAT,Matbat,39,ear,Nabin,,
MATBAT-40-1,MATBAT,Matbat,40,eye,mana,,
MATBAT-41-1,MATBAT,Matbat,41,nose,mabay,,
MATBAT-43-1,MATBAT,Matbat,43,tooth,pata,,
MATBAT-44-1,MATBAT,Matbat,44,tongue,para,,
MATBAT-47-1,MATBAT,Matbat,47,knee,wetapuk,,
MATBAT-48-1,MATBAT,Matbat,48,hand,mata,,
MATBAT-51-1,MATBAT,Matbat,51,breast,su,,
MATBAT-53-1,MATBAT,Matbat,53,liver,tay,,
MATBAT-54-1,MATBAT,Matbat,54,drink,nanim,,
MATBAT-57-1,MATBAT,Matbat,57,see,neN,,
MATBAT-57-2,MATBAT,Matbat,57,see,naw,,
MATBAT-58-1,MATBAT,Matbat,58,hear,noN,,
MATBAT-61-1,MATBAT,Matbat,61,die,mat,,
MATBAT-66-1,MATBAT,Matbat,66,come,bot,,
MATBAT-72-1,MATBAT,Matbat,72,sun,la,,
MATBAT-74-1,MATBAT,Matbat,74,star,na,,
MATBAT-75-1,MATBAT,Matbat,75,water,yi,,
MATBAT-77-1,MATBAT,Matbat,77,stone,pat,,
MATBAT-82-1,MATBAT,Matbat,82,fire,yap,,
MATBAT-85-1,MATBAT,Matbat,85,path,ma,,
MATBAT-86-1,MATBAT,Matbat,86,mountain,hel,,
MATBAT-92-1,MATBAT,Matbat,92,night,kam,,
MATBAT-95-1,MATBAT,Matbat,95,full,fon,,
MATBAT-96-1,MATBAT,Matbat,96,new,waw,,
MATBAT-100-1,MATBAT,Matbat,100,name,nan,,
