ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MAZAHUA-1-1,MAZAHUA,Mazahua,1,I,nucko,,
MAZAHUA-1-2,MAZAHUA,Mazahua,1,I,nuzgo,,
MAZAHUA-2-1,MAZAHUA,Mazahua,2,you,"nuck""e",,
MAZAHUA-3-1,MAZAHUA,Mazahua,3,we,nuckojme,,
MAZAHUA-3-2,MAZAHUA,Mazahua,3,we,"nuc""koji",,
MAZAHUA-11-1,MAZAHUA,Mazahua,11,one,naja,,
MAZAHUA-11-2,MAZAHUA,Mazahua,11,one,"d""a",,
MAZAHUA-11-3,MAZAHUA,Mazahua,11,one,"d""aja",,
MAZAHUA-11-4,MAZAHUA,Mazahua,11,one,na,,
MAZAHUA-12-1,MAZAHUA,Mazahua,12,two,yeje,,
MAZAHUA-19-1,MAZAHUA,Mazahua,19,fish,jmo,,
MAZAHUA-19-2,MAZAHUA,Mazahua,19,fish,jmo7o,,
MAZAHUA-21-1,MAZAHUA,Mazahua,21,dog,dyo7o,,
MAZAHUA-21-2,MAZAHUA,Mazahua,21,dog,dyo,,
MAZAHUA-22-1,MAZAHUA,Mazahua,22,louse,"C""o",,
MAZAHUA-22-2,MAZAHUA,Mazahua,22,louse,"tr""o",,
MAZAHUA-23-1,MAZAHUA,Mazahua,23,tree,xiza,,
MAZAHUA-23-2,MAZAHUA,Mazahua,23,tree,za7a,,
MAZAHUA-25-1,MAZAHUA,Mazahua,25,leaf,xi,,
MAZAHUA-30-1,MAZAHUA,Mazahua,30,blood,kji,,
MAZAHUA-31-1,MAZAHUA,Mazahua,31,bone,nrrodye,,
MAZAHUA-31-2,MAZAHUA,Mazahua,31,bone,"tr""odye",,
MAZAHUA-39-1,MAZAHUA,Mazahua,39,ear,nzo,,
MAZAHUA-40-1,MAZAHUA,Mazahua,40,eye,Co,,
MAZAHUA-40-2,MAZAHUA,Mazahua,40,eye,nzho,,
MAZAHUA-41-1,MAZAHUA,Mazahua,41,nose,"b""oxu",,
MAZAHUA-43-1,MAZAHUA,Mazahua,43,tooth,"s""ib""i",,
MAZAHUA-44-1,MAZAHUA,Mazahua,44,tongue,"k""ij5i",,
MAZAHUA-47-1,MAZAHUA,Mazahua,47,knee,5ijmo,,
MAZAHUA-51-1,MAZAHUA,Mazahua,51,breast,Cijmi,,
MAZAHUA-51-2,MAZAHUA,Mazahua,51,breast,tijmi,,
MAZAHUA-53-1,MAZAHUA,Mazahua,53,liver,kjurga,,
MAZAHUA-57-1,MAZAHUA,Mazahua,57,see,jandu,,
MAZAHUA-57-2,MAZAHUA,Mazahua,57,see,janrra,,
MAZAHUA-57-3,MAZAHUA,Mazahua,57,see,"5""esto",,
MAZAHUA-57-4,MAZAHUA,Mazahua,57,see,5esto,,
MAZAHUA-57-5,MAZAHUA,Mazahua,57,see,trjanrra,,
MAZAHUA-58-1,MAZAHUA,Mazahua,58,hear,ara,,
MAZAHUA-58-2,MAZAHUA,Mazahua,58,hear,dyara,,
MAZAHUA-61-1,MAZAHUA,Mazahua,61,die,Cu7u,,
MAZAHUA-61-2,MAZAHUA,Mazahua,61,die,ndu7u,,
MAZAHUA-61-3,MAZAHUA,Mazahua,61,die,tu,,
MAZAHUA-61-4,MAZAHUA,Mazahua,61,die,nru,,
