ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MBAELELEA-1-1,MBAELELEA,Mbaelelea,1,I,nau,,
MBAELELEA-2-1,MBAELELEA,Mbaelelea,2,you,oe,,
MBAELELEA-3-1,MBAELELEA,Mbaelelea,3,we,kolu,,
MBAELELEA-11-1,MBAELELEA,Mbaelelea,11,one,Eta,,
MBAELELEA-12-1,MBAELELEA,Mbaelelea,12,two,rua,,
MBAELELEA-18-1,MBAELELEA,Mbaelelea,18,person,imole,,
MBAELELEA-19-1,MBAELELEA,Mbaelelea,19,fish,wakwari,,
MBAELELEA-19-2,MBAELELEA,Mbaelelea,19,fish,ia,,
MBAELELEA-21-1,MBAELELEA,Mbaelelea,21,dog,koito,,
MBAELELEA-22-1,MBAELELEA,Mbaelelea,22,louse,u,,
MBAELELEA-25-1,MBAELELEA,Mbaelelea,25,leaf,amba,,
MBAELELEA-28-1,MBAELELEA,Mbaelelea,28,skin,uNa,,
MBAELELEA-30-1,MBAELELEA,Mbaelelea,30,blood,ambu,,
MBAELELEA-31-1,MBAELELEA,Mbaelelea,31,bone,oki,,
MBAELELEA-39-1,MBAELELEA,Mbaelelea,39,ear,aliNa,,
MBAELELEA-40-1,MBAELELEA,Mbaelelea,40,eye,ma,,
MBAELELEA-41-1,MBAELELEA,Mbaelelea,41,nose,noNora,,
MBAELELEA-43-1,MBAELELEA,Mbaelelea,43,tooth,lifo,,
MBAELELEA-44-1,MBAELELEA,Mbaelelea,44,tongue,mea,,
MBAELELEA-48-1,MBAELELEA,Mbaelelea,48,hand,aba,,
MBAELELEA-51-1,MBAELELEA,Mbaelelea,51,breast,susu,,
MBAELELEA-53-1,MBAELELEA,Mbaelelea,53,liver,waefau,,
MBAELELEA-54-1,MBAELELEA,Mbaelelea,54,drink,ku,,
MBAELELEA-57-1,MBAELELEA,Mbaelelea,57,see,rikia,,
MBAELELEA-58-1,MBAELELEA,Mbaelelea,58,hear,roNoa,,
MBAELELEA-61-1,MBAELELEA,Mbaelelea,61,die,mae,,
MBAELELEA-66-1,MBAELELEA,Mbaelelea,66,come,lea mai,,
MBAELELEA-74-1,MBAELELEA,Mbaelelea,74,star,mbumbulu,,
MBAELELEA-75-1,MBAELELEA,Mbaelelea,75,water,8aNgatai,,
MBAELELEA-77-1,MBAELELEA,Mbaelelea,77,stone,fau,,
MBAELELEA-82-1,MBAELELEA,Mbaelelea,82,fire,re,,
MBAELELEA-85-1,MBAELELEA,Mbaelelea,85,path,tala,,
MBAELELEA-92-1,MBAELELEA,Mbaelelea,92,night,rondo,,
MBAELELEA-96-1,MBAELELEA,Mbaelelea,96,new,falu,,
MBAELELEA-100-1,MBAELELEA,Mbaelelea,100,name,8ata,,
