ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MER-1-1,MER,Mer,1,I,omo,,
MER-2-1,MER,Mer,2,you,kene,,
MER-3-1,MER,Mer,3,we,edumaga,,
MER-11-1,MER,Mer,11,one,nawaze,,
MER-12-1,MER,Mer,12,two,amoi,,
MER-18-1,MER,Mer,18,person,kaniau,,
MER-19-1,MER,Mer,19,fish,waiNgi,,
MER-21-1,MER,Mer,21,dog,anzi,,
MER-22-1,MER,Mer,22,louse,kumai,,
MER-23-1,MER,Mer,23,tree,u,,
MER-25-1,MER,Mer,25,leaf,kare,,
MER-28-1,MER,Mer,28,skin,tamba,,
MER-30-1,MER,Mer,30,blood,isere,,
MER-31-1,MER,Mer,31,bone,siNgu,,
MER-39-1,MER,Mer,39,ear,nevira,,
MER-40-1,MER,Mer,40,eye,nembiatu,,
MER-41-1,MER,Mer,41,nose,musmusuru,,
MER-43-1,MER,Mer,43,tooth,nerasi,,
MER-44-1,MER,Mer,44,tongue,nesavi,,
MER-48-1,MER,Mer,48,hand,nevaga,,
MER-51-1,MER,Mer,51,breast,jogu,,
MER-53-1,MER,Mer,53,liver,nanambi,,
MER-54-1,MER,Mer,54,drink,kai nambagara,,
MER-57-1,MER,Mer,57,see,daviomo,,
MER-58-1,MER,Mer,58,hear,iveme,,
MER-61-1,MER,Mer,61,die,ui,,
MER-66-1,MER,Mer,66,come,namboruara,,
MER-72-1,MER,Mer,72,sun,uNguru,,
MER-74-1,MER,Mer,74,star,umbiri,,
MER-75-1,MER,Mer,75,water,kai,,
MER-82-1,MER,Mer,82,fire,ivoro,,
MER-85-1,MER,Mer,85,path,kae,,
MER-86-1,MER,Mer,86,mountain,mundu,,
MER-92-1,MER,Mer,92,night,wei,,
MER-95-1,MER,Mer,95,full,eiyei,,
MER-96-1,MER,Mer,96,new,eNgaze,,
