ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MEYMAI-1-1,MEYMAI,Meymai,1,I,mon,,
MEYMAI-1-2,MEYMAI,Meymai,1,I,ma*,,
MEYMAI-2-1,MEYMAI,Meymai,2,you,to,,
MEYMAI-3-1,MEYMAI,Meymai,3,we,hama,,
MEYMAI-3-2,MEYMAI,Meymai,3,we,ho*mo*,,
MEYMAI-11-1,MEYMAI,Meymai,11,one,yak,,
MEYMAI-11-2,MEYMAI,Meymai,11,one,yE,,
MEYMAI-12-1,MEYMAI,Meymai,12,two,do,,
MEYMAI-18-1,MEYMAI,Meymai,18,person,axe,,
MEYMAI-21-1,MEYMAI,Meymai,21,dog,kuE,,
MEYMAI-21-2,MEYMAI,Meymai,21,dog,kuwa,,
MEYMAI-22-1,MEYMAI,Meymai,22,louse,eSpeS,,
MEYMAI-25-1,MEYMAI,Meymai,25,leaf,valk,,
MEYMAI-25-2,MEYMAI,Meymai,25,leaf,varg,,
MEYMAI-30-1,MEYMAI,Meymai,30,blood,xun,,
MEYMAI-30-2,MEYMAI,Meymai,30,blood,xin,,
MEYMAI-40-1,MEYMAI,Meymai,40,eye,Cam,,
MEYMAI-41-1,MEYMAI,Meymai,41,nose,domaq,,
MEYMAI-44-1,MEYMAI,Meymai,44,tongue,ozon,,
MEYMAI-44-2,MEYMAI,Meymai,44,tongue,zubun,,
MEYMAI-47-1,MEYMAI,Meymai,47,knee,zani,,
MEYMAI-57-1,MEYMAI,Meymai,57,see,vin,,
MEYMAI-57-2,MEYMAI,Meymai,57,see,di,,
MEYMAI-61-1,MEYMAI,Meymai,61,die,mir,,
MEYMAI-61-2,MEYMAI,Meymai,61,die,mard,,
MEYMAI-66-1,MEYMAI,Meymai,66,come,ema,,
MEYMAI-66-2,MEYMAI,Meymai,66,come,Eme,,
MEYMAI-72-1,MEYMAI,Meymai,72,sun,afto,,
MEYMAI-72-2,MEYMAI,Meymai,72,sun,oftow,,
MEYMAI-74-1,MEYMAI,Meymai,74,star,Estare,,
MEYMAI-74-2,MEYMAI,Meymai,74,star,estera,,
MEYMAI-75-1,MEYMAI,Meymai,75,water,o,,
MEYMAI-75-2,MEYMAI,Meymai,75,water,ov,,
MEYMAI-85-1,MEYMAI,Meymai,85,path,jade,,
MEYMAI-92-1,MEYMAI,Meymai,92,night,Se,,
MEYMAI-92-2,MEYMAI,Meymai,92,night,Sew,,
MEYMAI-96-1,MEYMAI,Meymai,96,new,no,,
