ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MIXTEC_NORTHERN_TLAXIACO-11-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,11,one,in,,
MIXTEC_NORTHERN_TLAXIACO-12-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,12,two,u,,
MIXTEC_NORTHERN_TLAXIACO-19-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,19,fish,Ciaka,,
MIXTEC_NORTHERN_TLAXIACO-22-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,22,louse,Ciuku,,
MIXTEC_NORTHERN_TLAXIACO-23-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,23,tree,xutnu,,
MIXTEC_NORTHERN_TLAXIACO-28-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,28,skin,5i,,
MIXTEC_NORTHERN_TLAXIACO-30-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,30,blood,ni5i,,
MIXTEC_NORTHERN_TLAXIACO-31-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,31,bone,xiki,,
MIXTEC_NORTHERN_TLAXIACO-34-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,34,horn,nd~iki,,
MIXTEC_NORTHERN_TLAXIACO-39-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,39,ear,so,,
MIXTEC_NORTHERN_TLAXIACO-40-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,40,eye,nu,,
MIXTEC_NORTHERN_TLAXIACO-41-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,41,nose,xtni,,
MIXTEC_NORTHERN_TLAXIACO-43-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,43,tooth,nu,,
MIXTEC_NORTHERN_TLAXIACO-44-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,44,tongue,xa,,
MIXTEC_NORTHERN_TLAXIACO-47-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,47,knee,kond~o,,
MIXTEC_NORTHERN_TLAXIACO-48-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,48,hand,nd~a,,
MIXTEC_NORTHERN_TLAXIACO-54-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,54,drink,ko,,
MIXTEC_NORTHERN_TLAXIACO-57-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,57,see,nd~ia,,
MIXTEC_NORTHERN_TLAXIACO-61-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,61,die,ku,,
MIXTEC_NORTHERN_TLAXIACO-66-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,66,come,ki,,
MIXTEC_NORTHERN_TLAXIACO-72-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,72,sun,5u7un,,
MIXTEC_NORTHERN_TLAXIACO-74-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,74,star,kimi,,
MIXTEC_NORTHERN_TLAXIACO-75-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,75,water,nd~ute,,
MIXTEC_NORTHERN_TLAXIACO-77-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,77,stone,xu,,
MIXTEC_NORTHERN_TLAXIACO-82-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,82,fire,5u,,
MIXTEC_NORTHERN_TLAXIACO-85-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,85,path,iCi,,
MIXTEC_NORTHERN_TLAXIACO-92-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,92,night,xakwa,,
MIXTEC_NORTHERN_TLAXIACO-96-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,96,new,xa,,
MIXTEC_NORTHERN_TLAXIACO-100-1,MIXTEC_NORTHERN_TLAXIACO,Mixtec Northern Tlaxiaco,100,name,sivi,,
