ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MLAP-1-1,MLAP,Mlap,1,I,Nam,,
MLAP-2-1,MLAP,Mlap,2,you,kom,,
MLAP-3-1,MLAP,Mlap,3,we,io,,
MLAP-11-1,MLAP,Mlap,11,one,tendu,,
MLAP-12-1,MLAP,Mlap,12,two,namoN,,
MLAP-21-1,MLAP,Mlap,21,dog,undo,,
MLAP-22-1,MLAP,Mlap,22,louse,s3na,,
MLAP-23-1,MLAP,Mlap,23,tree,di,,
MLAP-28-1,MLAP,Mlap,28,skin,sup,,
MLAP-30-1,MLAP,Mlap,30,blood,kiN,,
MLAP-31-1,MLAP,Mlap,31,bone,dowN,,
MLAP-40-1,MLAP,Mlap,40,eye,nuNgroN,,
MLAP-43-1,MLAP,Mlap,43,tooth,s3riNdown,,
MLAP-48-1,MLAP,Mlap,48,hand,kit,,
MLAP-57-1,MLAP,Mlap,57,see,poN,,
MLAP-66-1,MLAP,Mlap,66,come,puNsa,,
MLAP-72-1,MLAP,Mlap,72,sun,woy,,
MLAP-75-1,MLAP,Mlap,75,water,bu,,
MLAP-77-1,MLAP,Mlap,77,stone,d3mu,,
MLAP-82-1,MLAP,Mlap,82,fire,kip,,
MLAP-92-1,MLAP,Mlap,92,night,dwenti,,
MLAP-100-1,MLAP,Mlap,100,name,su,,
