ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MODO-1-1,MODO,Modo,1,I,ma,,
MODO-2-1,MODO,Modo,2,you,ni,,
MODO-2-2,MODO,Modo,2,you,yi,,
MODO-3-1,MODO,Modo,3,we,ze,,
MODO-3-2,MODO,Modo,3,we,d,,
MODO-11-1,MODO,Modo,11,one,koto,,
MODO-12-1,MODO,Modo,12,two,riye,,
MODO-18-1,MODO,Modo,18,person,bilaka,,
MODO-18-2,MODO,Modo,18,person,bo,,
MODO-19-1,MODO,Modo,19,fish,kenze,,
MODO-21-1,MODO,Modo,21,dog,bi,,
MODO-23-1,MODO,Modo,23,tree,Ng~3ri,,
MODO-25-1,MODO,Modo,25,leaf,mbili,,
MODO-28-1,MODO,Modo,28,skin,bana,,
MODO-30-1,MODO,Modo,30,blood,roma,,
MODO-31-1,MODO,Modo,31,bone,kiliNba,,
MODO-34-1,MODO,Modo,34,horn,kazo,,
MODO-34-2,MODO,Modo,34,horn,wude,,
MODO-39-1,MODO,Modo,39,ear,mbili,,
MODO-40-1,MODO,Modo,40,eye,komo,,
MODO-41-1,MODO,Modo,41,nose,kano,,
MODO-43-1,MODO,Modo,43,tooth,kiliNba kpa,,
MODO-44-1,MODO,Modo,44,tongue,dondede,,
MODO-47-1,MODO,Modo,47,knee,dekirigeme,,
MODO-48-1,MODO,Modo,48,hand,kezi,,
MODO-51-1,MODO,Modo,51,breast,mba,,
MODO-53-1,MODO,Modo,53,liver,luru,,
MODO-54-1,MODO,Modo,54,drink,uw3,,
MODO-57-1,MODO,Modo,57,see,oTa,,
MODO-58-1,MODO,Modo,58,hear,uwe,,
MODO-61-1,MODO,Modo,61,die,el3,,
MODO-66-1,MODO,Modo,66,come,ako,,
MODO-72-1,MODO,Modo,72,sun,kada,,
MODO-74-1,MODO,Modo,74,star,k3lu,,
MODO-75-1,MODO,Modo,75,water,mini,,
MODO-77-1,MODO,Modo,77,stone,kulugbi,,
MODO-77-2,MODO,Modo,77,stone,kulugbi deku,,
MODO-82-1,MODO,Modo,82,fire,pado,,
MODO-85-1,MODO,Modo,85,path,kori,,
MODO-86-1,MODO,Modo,86,mountain,deku,,
MODO-92-1,MODO,Modo,92,night,korondo,,
MODO-95-1,MODO,Modo,95,full,lo,,
MODO-95-2,MODO,Modo,95,full,oso,,
MODO-96-1,MODO,Modo,96,new,laTa,,
MODO-96-2,MODO,Modo,96,new,lewelewe,,
MODO-100-1,MODO,Modo,100,name,meyi,,
