ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MOLIMA-1-1,MOLIMA,Molima,1,I,ya7a,,
MOLIMA-2-1,MOLIMA,Molima,2,you,o7a,,
MOLIMA-2-2,MOLIMA,Molima,2,you,omi7a,,
MOLIMA-3-1,MOLIMA,Molima,3,we,ita7a,,
MOLIMA-11-1,MOLIMA,Molima,11,one,aidega,,
MOLIMA-11-2,MOLIMA,Molima,11,one,aigeda,,
MOLIMA-12-1,MOLIMA,Molima,12,two,lua,,
MOLIMA-12-2,MOLIMA,Molima,12,two,magilafu,,
MOLIMA-18-1,MOLIMA,Molima,18,person,tomotau,,
MOLIMA-19-1,MOLIMA,Molima,19,fish,ixana,,
MOLIMA-21-1,MOLIMA,Molima,21,dog,kedewa,,
MOLIMA-22-1,MOLIMA,Molima,22,louse,utu,,
MOLIMA-23-1,MOLIMA,Molima,23,tree,aiwe,,
MOLIMA-25-1,MOLIMA,Molima,25,leaf,waena,,
MOLIMA-28-1,MOLIMA,Molima,28,skin,wafi,,
MOLIMA-30-1,MOLIMA,Molima,30,blood,sulala,,
MOLIMA-30-2,MOLIMA,Molima,30,blood,sulali,,
MOLIMA-31-1,MOLIMA,Molima,31,bone,lulu,,
MOLIMA-34-1,MOLIMA,Molima,34,horn,dona,,
MOLIMA-39-1,MOLIMA,Molima,39,ear,tenixa,,
MOLIMA-40-1,MOLIMA,Molima,40,eye,mata,,
MOLIMA-41-1,MOLIMA,Molima,41,nose,gabo,,
MOLIMA-41-2,MOLIMA,Molima,41,nose,budo,,
MOLIMA-43-1,MOLIMA,Molima,43,tooth,ala,,
MOLIMA-44-1,MOLIMA,Molima,44,tongue,mea,,
MOLIMA-47-1,MOLIMA,Molima,47,knee,tuxatuxa,,
MOLIMA-48-1,MOLIMA,Molima,48,hand,nima,,
MOLIMA-51-1,MOLIMA,Molima,51,breast,susu,,
MOLIMA-53-1,MOLIMA,Molima,53,liver,giwali busobuso,,
MOLIMA-54-1,MOLIMA,Molima,54,drink,numa,,
MOLIMA-57-1,MOLIMA,Molima,57,see,ita,,
MOLIMA-57-2,MOLIMA,Molima,57,see,vekova,,
MOLIMA-58-1,MOLIMA,Molima,58,hear,noxola,,
MOLIMA-58-2,MOLIMA,Molima,58,hear,vinenexa,,
MOLIMA-61-1,MOLIMA,Molima,61,die,aliga,,
MOLIMA-66-1,MOLIMA,Molima,66,come,mai,,
MOLIMA-72-1,MOLIMA,Molima,72,sun,baba7au,,
MOLIMA-72-2,MOLIMA,Molima,72,sun,vala,,
MOLIMA-74-1,MOLIMA,Molima,74,star,wadima,,
MOLIMA-75-1,MOLIMA,Molima,75,water,go7ila,,
MOLIMA-77-1,MOLIMA,Molima,77,stone,dabo,,
MOLIMA-82-1,MOLIMA,Molima,82,fire,aiwe,,
MOLIMA-85-1,MOLIMA,Molima,85,path,eda,,
MOLIMA-86-1,MOLIMA,Molima,86,mountain,oya,,
MOLIMA-86-2,MOLIMA,Molima,86,mountain,bw~anaga,,
MOLIMA-92-1,MOLIMA,Molima,92,night,velovelovana,,
MOLIMA-95-1,MOLIMA,Molima,95,full,agtatuna7i,,
MOLIMA-95-2,MOLIMA,Molima,95,full,kulafu,,
MOLIMA-96-1,MOLIMA,Molima,96,new,vauvau,,
MOLIMA-100-1,MOLIMA,Molima,100,name,wawa,,
