ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MOPAN_SAN_LUIS_PETEN-1-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,1,I,innen,,
MOPAN_SAN_LUIS_PETEN-2-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,2,you,inCeC,,
MOPAN_SAN_LUIS_PETEN-3-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,3,we,inno7on,,
MOPAN_SAN_LUIS_PETEN-4-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,4,this,"le7ek ad""a7a",,
MOPAN_SAN_LUIS_PETEN-5-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,5,that,"lee7ek ad""o7o",,
MOPAN_SAN_LUIS_PETEN-6-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,6,who,maki,,
MOPAN_SAN_LUIS_PETEN-7-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,7,what,"k""u7i",,
MOPAN_SAN_LUIS_PETEN-8-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,8,not,ma7,,
MOPAN_SAN_LUIS_PETEN-9-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,9,all,tulakal,,
MOPAN_SAN_LUIS_PETEN-10-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,10,many,"xab""",,
MOPAN_SAN_LUIS_PETEN-11-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,11,one,xuntul,,
MOPAN_SAN_LUIS_PETEN-12-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,12,two,katul,,
MOPAN_SAN_LUIS_PETEN-13-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,13,big,noC,,
MOPAN_SAN_LUIS_PETEN-14-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,14,long,Cawak,,
MOPAN_SAN_LUIS_PETEN-15-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,15,small,nene7,,
MOPAN_SAN_LUIS_PETEN-16-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,16,woman,iSCup,,
MOPAN_SAN_LUIS_PETEN-17-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,17,man,winik,,
MOPAN_SAN_LUIS_PETEN-18-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,18,person,kristy~anox,,
MOPAN_SAN_LUIS_PETEN-19-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,19,fish,"C""ilam",,
MOPAN_SAN_LUIS_PETEN-20-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,20,bird,"c""iC""",,
MOPAN_SAN_LUIS_PETEN-21-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,21,dog,"pek""",,
MOPAN_SAN_LUIS_PETEN-22-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,22,louse,"uk""",,
MOPAN_SAN_LUIS_PETEN-23-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,23,tree,Ce7,,
MOPAN_SAN_LUIS_PETEN-24-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,24,seed,semiya,,
MOPAN_SAN_LUIS_PETEN-25-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,25,leaf,le7 Ce7,,
MOPAN_SAN_LUIS_PETEN-26-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,26,root,kan Ce7,,
MOPAN_SAN_LUIS_PETEN-27-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,27,bark,paC Ce7,,
MOPAN_SAN_LUIS_PETEN-28-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,28,skin,"k""ewel",,
MOPAN_SAN_LUIS_PETEN-29-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,29,flesh,"b""ak""",,
MOPAN_SAN_LUIS_PETEN-30-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,30,blood,"k""ik""",,
MOPAN_SAN_LUIS_PETEN-31-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,31,bone,"b""aq",,
MOPAN_SAN_LUIS_PETEN-32-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,32,grease,manteka,,
MOPAN_SAN_LUIS_PETEN-33-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,33,egg,xe7,,
MOPAN_SAN_LUIS_PETEN-34-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,34,horn,"Sulub""",,
MOPAN_SAN_LUIS_PETEN-35-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,35,tail,nex,,
MOPAN_SAN_LUIS_PETEN-36-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,36,feather,co7oc,,
MOPAN_SAN_LUIS_PETEN-37-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,37,hair,co7oc,,
MOPAN_SAN_LUIS_PETEN-38-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,38,head,pol,,
MOPAN_SAN_LUIS_PETEN-39-1,MOPAN_SAN_LUIS_PETEN,Mopan San Luis Peten,39,ear,Sikin,,
