ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MULONGA_2-1-1,MULONGA_2,Mulonga 2,1,I,ume,,
MULONGA_2-2-1,MULONGA_2,Mulonga 2,2,you,uwe,,
MULONGA_2-3-1,MULONGA_2,Mulonga 2,3,we,aitw~e,,
MULONGA_2-18-1,MULONGA_2,Mulonga 2,18,person,nu,,
MULONGA_2-19-1,MULONGA_2,Mulonga 2,19,fish,sw~i,,
MULONGA_2-21-1,MULONGA_2,Mulonga 2,21,dog,bw~a,,
MULONGA_2-22-1,MULONGA_2,Mulonga 2,22,louse,na,,
MULONGA_2-23-1,MULONGA_2,Mulonga 2,23,tree,tond~o,,
MULONGA_2-25-1,MULONGA_2,Mulonga 2,25,leaf,baba,,
MULONGA_2-30-1,MULONGA_2,Mulonga 2,30,blood,5iNg~a,,
MULONGA_2-31-1,MULONGA_2,Mulonga 2,31,bone,fuba,,
MULONGA_2-34-1,MULONGA_2,Mulonga 2,34,horn,naka,,
MULONGA_2-39-1,MULONGA_2,Mulonga 2,39,ear,tw~i,,
MULONGA_2-40-1,MULONGA_2,Mulonga 2,40,eye,zio,,
MULONGA_2-41-1,MULONGA_2,Mulonga 2,41,nose,yulu,,
MULONGA_2-43-1,MULONGA_2,Mulonga 2,43,tooth,eo,,
MULONGA_2-44-1,MULONGA_2,Mulonga 2,44,tongue,limi,,
MULONGA_2-47-1,MULONGA_2,Mulonga 2,47,knee,nw~i,,
MULONGA_2-48-1,MULONGA_2,Mulonga 2,48,hand,ka,,
MULONGA_2-51-1,MULONGA_2,Mulonga 2,51,breast,ele,,
MULONGA_2-53-1,MULONGA_2,Mulonga 2,53,liver,uli,,
MULONGA_2-54-1,MULONGA_2,Mulonga 2,54,drink,nw~a,,
MULONGA_2-57-1,MULONGA_2,Mulonga 2,57,see,mona,,
MULONGA_2-58-1,MULONGA_2,Mulonga 2,58,hear,yuba,,
MULONGA_2-61-1,MULONGA_2,Mulonga 2,61,die,fa,,
MULONGA_2-66-1,MULONGA_2,Mulonga 2,66,come,iya,,
MULONGA_2-72-1,MULONGA_2,Mulonga 2,72,sun,iwa,,
MULONGA_2-74-1,MULONGA_2,Mulonga 2,74,star,tuNgw$ezi,,
MULONGA_2-75-1,MULONGA_2,Mulonga 2,75,water,eyu,,
MULONGA_2-77-1,MULONGA_2,Mulonga 2,77,stone,Cw~e,,
MULONGA_2-82-1,MULONGA_2,Mulonga 2,82,fire,lilo,,
MULONGA_2-85-1,MULONGA_2,Mulonga 2,85,path,zila,,
MULONGA_2-100-1,MULONGA_2,Mulonga 2,100,name,zina,,
