ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
MUSGU_O-1-1,MUSGU_O,Musgu O,1,I,mu,,
MUSGU_O-1-2,MUSGU_O,Musgu O,1,I,ma,,
MUSGU_O-11-1,MUSGU_O,Musgu O,11,one,kete,,
MUSGU_O-12-1,MUSGU_O,Musgu O,12,two,tSulo,,
MUSGU_O-18-1,MUSGU_O,Musgu O,18,person,wus,,
MUSGU_O-19-1,MUSGU_O,Musgu O,19,fish,hilif,,
MUSGU_O-21-1,MUSGU_O,Musgu O,21,dog,hirge,,
MUSGU_O-23-1,MUSGU_O,Musgu O,23,tree,luN,,
MUSGU_O-28-1,MUSGU_O,Musgu O,28,skin,suksa,,
MUSGU_O-30-1,MUSGU_O,Musgu O,30,blood,fel,,
MUSGU_O-31-1,MUSGU_O,Musgu O,31,bone,kiske,,
MUSGU_O-39-1,MUSGU_O,Musgu O,39,ear,simme,,
MUSGU_O-40-1,MUSGU_O,Musgu O,40,eye,arai,,
MUSGU_O-41-1,MUSGU_O,Musgu O,41,nose,Cunge,,
MUSGU_O-43-1,MUSGU_O,Musgu O,43,tooth,SiN,,
MUSGU_O-44-1,MUSGU_O,Musgu O,44,tongue,alasi,,
MUSGU_O-48-1,MUSGU_O,Musgu O,48,hand,ta,,
MUSGU_O-51-1,MUSGU_O,Musgu O,51,breast,didiga,,
MUSGU_O-54-1,MUSGU_O,Musgu O,54,drink,sando,,
MUSGU_O-66-1,MUSGU_O,Musgu O,66,come,gsa,,
MUSGU_O-66-2,MUSGU_O,Musgu O,66,come,alasi,,
MUSGU_O-74-1,MUSGU_O,Musgu O,74,star,daNgai,,
MUSGU_O-75-1,MUSGU_O,Musgu O,75,water,yem,,
MUSGU_O-82-1,MUSGU_O,Musgu O,82,fire,afu,,
MUSGU_O-85-1,MUSGU_O,Musgu O,85,path,fitti,,
MUSGU_O-86-1,MUSGU_O,Musgu O,86,mountain,fune,,
MUSGU_O-92-1,MUSGU_O,Musgu O,92,night,difir,,
