ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
NAHUATL_AXOCHIAPAN-1-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,1,I,newa7,,
NAHUATL_AXOCHIAPAN-2-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,2,you,tewa7,,
NAHUATL_AXOCHIAPAN-18-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,18,person,Laka,,
NAHUATL_AXOCHIAPAN-19-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,19,fish,miC,,
NAHUATL_AXOCHIAPAN-21-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,21,dog,CiCi,,
NAHUATL_AXOCHIAPAN-21-2,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,21,dog,tskw~i,,
NAHUATL_AXOCHIAPAN-22-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,22,louse,atem,,
NAHUATL_AXOCHIAPAN-23-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,23,tree,kw~aw,,
NAHUATL_AXOCHIAPAN-25-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,25,leaf,Sih,,
NAHUATL_AXOCHIAPAN-28-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,28,skin,okw~ero,,
NAHUATL_AXOCHIAPAN-30-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,30,blood,yes,,
NAHUATL_AXOCHIAPAN-31-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,31,bone,omite,,
NAHUATL_AXOCHIAPAN-34-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,34,horn,kw~akw~ahomi,,
NAHUATL_AXOCHIAPAN-39-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,39,ear,nakas,,
NAHUATL_AXOCHIAPAN-40-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,40,eye,Stelolo,,
NAHUATL_AXOCHIAPAN-41-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,41,nose,yekatsol,,
NAHUATL_AXOCHIAPAN-43-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,43,tooth,lankoC,,
NAHUATL_AXOCHIAPAN-44-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,44,tongue,nenepil,,
NAHUATL_AXOCHIAPAN-47-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,47,knee,tetepo,,
NAHUATL_AXOCHIAPAN-48-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,48,hand,mapilwa,,
NAHUATL_AXOCHIAPAN-51-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,51,breast,CiCi,,
NAHUATL_AXOCHIAPAN-53-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,53,liver,igado,,
NAHUATL_AXOCHIAPAN-61-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,61,die,mik,,
NAHUATL_AXOCHIAPAN-72-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,72,sun,tonal,,
NAHUATL_AXOCHIAPAN-74-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,74,star,silal,,
NAHUATL_AXOCHIAPAN-75-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,75,water,a,,
NAHUATL_AXOCHIAPAN-82-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,82,fire,Le,,
NAHUATL_AXOCHIAPAN-85-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,85,path,oh,,
NAHUATL_AXOCHIAPAN-86-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,86,mountain,tepe,,
NAHUATL_AXOCHIAPAN-96-1,NAHUATL_AXOCHIAPAN,Nahuatl Axochiapan,96,new,yankw~ik,,
