ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
NAHUATL_POMARO_AQUILA-1-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,1,I,newal,,
NAHUATL_POMARO_AQUILA-2-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,2,you,tewal,,
NAHUATL_POMARO_AQUILA-2-2,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,2,you,amoantin,,
NAHUATL_POMARO_AQUILA-3-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,3,we,tewantin,,
NAHUATL_POMARO_AQUILA-18-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,18,person,laka,,
NAHUATL_POMARO_AQUILA-19-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,19,fish,miC,,
NAHUATL_POMARO_AQUILA-21-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,21,dog,pelo,,
NAHUATL_POMARO_AQUILA-22-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,22,louse,atem,,
NAHUATL_POMARO_AQUILA-23-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,23,tree,kw~aw,,
NAHUATL_POMARO_AQUILA-25-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,25,leaf,sakayol,,
NAHUATL_POMARO_AQUILA-28-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,28,skin,kw~ilaS,,
NAHUATL_POMARO_AQUILA-30-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,30,blood,es,,
NAHUATL_POMARO_AQUILA-31-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,31,bone,ume,,
NAHUATL_POMARO_AQUILA-34-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,34,horn,kw~akw~a,,
NAHUATL_POMARO_AQUILA-39-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,39,ear,nakas,,
NAHUATL_POMARO_AQUILA-40-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,40,eye,Stololon,,
NAHUATL_POMARO_AQUILA-41-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,41,nose,yakacol,,
NAHUATL_POMARO_AQUILA-43-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,43,tooth,lan,,
NAHUATL_POMARO_AQUILA-44-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,44,tongue,leNgw~a,,
NAHUATL_POMARO_AQUILA-47-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,47,knee,lankw~a,,
NAHUATL_POMARO_AQUILA-48-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,48,hand,mama,,
NAHUATL_POMARO_AQUILA-51-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,51,breast,peCo,,
NAHUATL_POMARO_AQUILA-54-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,54,drink,kune,,
NAHUATL_POMARO_AQUILA-61-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,61,die,mikik,,
NAHUATL_POMARO_AQUILA-72-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,72,sun,tonal,,
NAHUATL_POMARO_AQUILA-74-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,74,star,silal,,
NAHUATL_POMARO_AQUILA-75-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,75,water,a,,
NAHUATL_POMARO_AQUILA-82-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,82,fire,teSuS,,
NAHUATL_POMARO_AQUILA-85-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,85,path,oh,,
NAHUATL_POMARO_AQUILA-86-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,86,mountain,tepe,,
NAHUATL_POMARO_AQUILA-96-1,NAHUATL_POMARO_AQUILA,Nahuatl Pomaro Aquila,96,new,yankw~ik,,
