ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO-1-1,NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO,Nahuatl San Bernardino Teotitlan Del Camino,1,I,ne,,
NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO-2-1,NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO,Nahuatl San Bernardino Teotitlan Del Camino,2,you,te,,
NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO-3-1,NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO,Nahuatl San Bernardino Teotitlan Del Camino,3,we,tewa,,
NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO-18-1,NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO,Nahuatl San Bernardino Teotitlan Del Camino,18,person,Laka,,
NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO-19-1,NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO,Nahuatl San Bernardino Teotitlan Del Camino,19,fish,miC,,
NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO-21-1,NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO,Nahuatl San Bernardino Teotitlan Del Camino,21,dog,CiCCi,,
NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO-21-2,NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO,Nahuatl San Bernardino Teotitlan Del Camino,21,dog,tskw~i,,
NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO-22-1,NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO,Nahuatl San Bernardino Teotitlan Del Camino,22,louse,pioCi,,
NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO-23-1,NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO,Nahuatl San Bernardino Teotitlan Del Camino,23,tree,kw~aw,,
NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO-25-1,NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO,Nahuatl San Bernardino Teotitlan Del Camino,25,leaf,Siwiyo,,
NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO-28-1,NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO,Nahuatl San Bernardino Teotitlan Del Camino,28,skin,ewayo7,,
NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO-30-1,NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO,Nahuatl San Bernardino Teotitlan Del Camino,30,blood,es,,
NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO-31-1,NAHUATL_SAN_BERNARDINO_TEOTITLAN_DEL_CAMINO,Nahuatl San Bernardino Teotitlan Del Camino,31,bone,omi,,
