ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
NAHUATL_ZITLALA-1-1,NAHUATL_ZITLALA,Nahuatl Zitlala,1,I,newa7,,
NAHUATL_ZITLALA-2-1,NAHUATL_ZITLALA,Nahuatl Zitlala,2,you,tewa7,,
NAHUATL_ZITLALA-2-2,NAHUATL_ZITLALA,Nahuatl Zitlala,2,you,namewame7,,
NAHUATL_ZITLALA-3-1,NAHUATL_ZITLALA,Nahuatl Zitlala,3,we,tewame7,,
NAHUATL_ZITLALA-18-1,NAHUATL_ZITLALA,Nahuatl Zitlala,18,person,Laka,,
NAHUATL_ZITLALA-19-1,NAHUATL_ZITLALA,Nahuatl Zitlala,19,fish,miC,,
NAHUATL_ZITLALA-21-1,NAHUATL_ZITLALA,Nahuatl Zitlala,21,dog,CiCi7,,
NAHUATL_ZITLALA-21-2,NAHUATL_ZITLALA,Nahuatl Zitlala,21,dog,kw~in,,
NAHUATL_ZITLALA-22-1,NAHUATL_ZITLALA,Nahuatl Zitlala,22,louse,atin,,
NAHUATL_ZITLALA-23-1,NAHUATL_ZITLALA,Nahuatl Zitlala,23,tree,kw~aw,,
NAHUATL_ZITLALA-25-1,NAHUATL_ZITLALA,Nahuatl Zitlala,25,leaf,Suyo,,
NAHUATL_ZITLALA-28-1,NAHUATL_ZITLALA,Nahuatl Zitlala,28,skin,kw~ero,,
NAHUATL_ZITLALA-30-1,NAHUATL_ZITLALA,Nahuatl Zitlala,30,blood,es,,
NAHUATL_ZITLALA-30-2,NAHUATL_ZITLALA,Nahuatl Zitlala,30,blood,esi,,
NAHUATL_ZITLALA-31-1,NAHUATL_ZITLALA,Nahuatl Zitlala,31,bone,itew,,
NAHUATL_ZITLALA-34-1,NAHUATL_ZITLALA,Nahuatl Zitlala,34,horn,kw~ako,,
NAHUATL_ZITLALA-39-1,NAHUATL_ZITLALA,Nahuatl Zitlala,39,ear,nakas,,
NAHUATL_ZITLALA-40-1,NAHUATL_ZITLALA,Nahuatl Zitlala,40,eye,iStololo,,
NAHUATL_ZITLALA-41-1,NAHUATL_ZITLALA,Nahuatl Zitlala,41,nose,yekacol,,
NAHUATL_ZITLALA-43-1,NAHUATL_ZITLALA,Nahuatl Zitlala,43,tooth,Lan,,
NAHUATL_ZITLALA-44-1,NAHUATL_ZITLALA,Nahuatl Zitlala,44,tongue,nenepi,,
NAHUATL_ZITLALA-47-1,NAHUATL_ZITLALA,Nahuatl Zitlala,47,knee,tetepon,,
NAHUATL_ZITLALA-48-1,NAHUATL_ZITLALA,Nahuatl Zitlala,48,hand,ma,,
NAHUATL_ZITLALA-51-1,NAHUATL_ZITLALA,Nahuatl Zitlala,51,breast,CiCiwali7,,
NAHUATL_ZITLALA-53-1,NAHUATL_ZITLALA,Nahuatl Zitlala,53,liver,eStepoC,,
NAHUATL_ZITLALA-54-1,NAHUATL_ZITLALA,Nahuatl Zitlala,54,drink,Skoni7,,
NAHUATL_ZITLALA-61-1,NAHUATL_ZITLALA,Nahuatl Zitlala,61,die,mik,,
NAHUATL_ZITLALA-72-1,NAHUATL_ZITLALA,Nahuatl Zitlala,72,sun,tonali7,,
NAHUATL_ZITLALA-74-1,NAHUATL_ZITLALA,Nahuatl Zitlala,74,star,siLalin,,
NAHUATL_ZITLALA-75-1,NAHUATL_ZITLALA,Nahuatl Zitlala,75,water,a,,
NAHUATL_ZITLALA-82-1,NAHUATL_ZITLALA,Nahuatl Zitlala,82,fire,Li,,
NAHUATL_ZITLALA-85-1,NAHUATL_ZITLALA,Nahuatl Zitlala,85,path,o,,
NAHUATL_ZITLALA-86-1,NAHUATL_ZITLALA,Nahuatl Zitlala,86,mountain,tepe,,
NAHUATL_ZITLALA-96-1,NAHUATL_ZITLALA,Nahuatl Zitlala,96,new,yankw~ik,,
