ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
NAMAKURA_MATASO-1-1,NAMAKURA_MATASO,Namakura Mataso,1,I,ke7ina,,
NAMAKURA_MATASO-2-1,NAMAKURA_MATASO,Namakura Mataso,2,you,kaiN,,
NAMAKURA_MATASO-3-1,NAMAKURA_MATASO,Namakura Mataso,3,we,ke7iNg~itemaN,,
NAMAKURA_MATASO-11-1,NAMAKURA_MATASO,Namakura Mataso,11,one,sikitek,,
NAMAKURA_MATASO-12-1,NAMAKURA_MATASO,Namakura Mataso,12,two,ru,,
NAMAKURA_MATASO-19-1,NAMAKURA_MATASO,Namakura Mataso,19,fish,ik,,
NAMAKURA_MATASO-21-1,NAMAKURA_MATASO,Namakura Mataso,21,dog,kiri,,
NAMAKURA_MATASO-22-1,NAMAKURA_MATASO,Namakura Mataso,22,louse,kit,,
NAMAKURA_MATASO-23-1,NAMAKURA_MATASO,Namakura Mataso,23,tree,kah,,
NAMAKURA_MATASO-25-1,NAMAKURA_MATASO,Namakura Mataso,25,leaf,rikit,,
NAMAKURA_MATASO-28-1,NAMAKURA_MATASO,Namakura Mataso,28,skin,kili,,
NAMAKURA_MATASO-30-1,NAMAKURA_MATASO,Namakura Mataso,30,blood,nd~a7,,
NAMAKURA_MATASO-31-1,NAMAKURA_MATASO,Namakura Mataso,31,bone,siu,,
NAMAKURA_MATASO-39-1,NAMAKURA_MATASO,Namakura Mataso,39,ear,tiliNa,,
NAMAKURA_MATASO-40-1,NAMAKURA_MATASO,Namakura Mataso,40,eye,mata,,
NAMAKURA_MATASO-41-1,NAMAKURA_MATASO,Namakura Mataso,41,nose,kinihi,,
NAMAKURA_MATASO-43-1,NAMAKURA_MATASO,Namakura Mataso,43,tooth,mb~ati,,
NAMAKURA_MATASO-44-1,NAMAKURA_MATASO,Namakura Mataso,44,tongue,mena,,
NAMAKURA_MATASO-48-1,NAMAKURA_MATASO,Namakura Mataso,48,hand,lima,,
NAMAKURA_MATASO-53-1,NAMAKURA_MATASO,Namakura Mataso,53,liver,nekam,,
NAMAKURA_MATASO-54-1,NAMAKURA_MATASO,Namakura Mataso,54,drink,munum,,
NAMAKURA_MATASO-57-1,NAMAKURA_MATASO,Namakura Mataso,57,see,lo7oh,,
NAMAKURA_MATASO-58-1,NAMAKURA_MATASO,Namakura Mataso,58,hear,roN,,
NAMAKURA_MATASO-61-1,NAMAKURA_MATASO,Namakura Mataso,61,die,mat,,
NAMAKURA_MATASO-66-1,NAMAKURA_MATASO,Namakura Mataso,66,come,rah,,
NAMAKURA_MATASO-72-1,NAMAKURA_MATASO,Namakura Mataso,72,sun,al,,
NAMAKURA_MATASO-74-1,NAMAKURA_MATASO,Namakura Mataso,74,star,mw~aho,,
NAMAKURA_MATASO-75-1,NAMAKURA_MATASO,Namakura Mataso,75,water,ran,,
NAMAKURA_MATASO-77-1,NAMAKURA_MATASO,Namakura Mataso,77,stone,bat,,
NAMAKURA_MATASO-82-1,NAMAKURA_MATASO,Namakura Mataso,82,fire,kam,,
NAMAKURA_MATASO-85-1,NAMAKURA_MATASO,Namakura Mataso,85,path,hal,,
NAMAKURA_MATASO-86-1,NAMAKURA_MATASO,Namakura Mataso,86,mountain,tabi,,
NAMAKURA_MATASO-92-1,NAMAKURA_MATASO,Namakura Mataso,92,night,emb~oN,,
NAMAKURA_MATASO-96-1,NAMAKURA_MATASO,Namakura Mataso,96,new,mb~a7a,,
NAMAKURA_MATASO-100-1,NAMAKURA_MATASO,Namakura Mataso,100,name,kiha,,
