ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
NAMA_2-1-1,NAMA_2,Nama 2,1,I,ta,,
NAMA_2-1-2,NAMA_2,Nama 2,1,I,tita,,
NAMA_2-2-1,NAMA_2,Nama 2,2,you,sac,,
NAMA_2-2-2,NAMA_2,Nama 2,2,you,c,,
NAMA_2-2-3,NAMA_2,Nama 2,2,you,sas,,
NAMA_2-2-4,NAMA_2,Nama 2,2,you,s,,
NAMA_2-3-1,NAMA_2,Nama 2,3,we,sagye,,
NAMA_2-3-2,NAMA_2,Nama 2,3,we,sase,,
NAMA_2-3-3,NAMA_2,Nama 2,3,we,sada,,
NAMA_2-11-1,NAMA_2,Nama 2,11,one,!gui,,
NAMA_2-12-1,NAMA_2,Nama 2,12,two,!gam,,
NAMA_2-18-1,NAMA_2,Nama 2,18,person,khoii,,
NAMA_2-21-1,NAMA_2,Nama 2,21,dog,arib,,
NAMA_2-22-1,NAMA_2,Nama 2,22,louse,coa,,
NAMA_2-23-1,NAMA_2,Nama 2,23,tree,heib,,
NAMA_2-25-1,NAMA_2,Nama 2,25,leaf,!gais,,
NAMA_2-28-1,NAMA_2,Nama 2,28,skin,khob,,
NAMA_2-30-1,NAMA_2,Nama 2,30,blood,!aub,,
NAMA_2-31-1,NAMA_2,Nama 2,31,bone,!kob,,
NAMA_2-34-1,NAMA_2,Nama 2,34,horn,!nab,,
NAMA_2-39-1,NAMA_2,Nama 2,39,ear,!gais,,
NAMA_2-40-1,NAMA_2,Nama 2,40,eye,mu*s,,
NAMA_2-41-1,NAMA_2,Nama 2,41,nose,!guis,,
NAMA_2-43-1,NAMA_2,Nama 2,43,tooth,!gu*b,,
NAMA_2-44-1,NAMA_2,Nama 2,44,tongue,nami,,
NAMA_2-47-1,NAMA_2,Nama 2,47,knee,!goab,,
NAMA_2-48-1,NAMA_2,Nama 2,48,hand,!omi,,
NAMA_2-51-1,NAMA_2,Nama 2,51,breast,sams,,
NAMA_2-53-1,NAMA_2,Nama 2,53,liver,a*i*b,,
NAMA_2-53-2,NAMA_2,Nama 2,53,liver,no*ab,,
NAMA_2-54-1,NAMA_2,Nama 2,54,drink,a,,
NAMA_2-57-1,NAMA_2,Nama 2,57,see,mu*,,
NAMA_2-57-2,NAMA_2,Nama 2,57,see,ge,,
NAMA_2-57-3,NAMA_2,Nama 2,57,see,go,,
NAMA_2-57-4,NAMA_2,Nama 2,57,see,!hou,,
NAMA_2-58-1,NAMA_2,Nama 2,58,hear,saro,,
NAMA_2-58-2,NAMA_2,Nama 2,58,hear,!nou*,,
NAMA_2-61-1,NAMA_2,Nama 2,61,die,!o,,
NAMA_2-61-2,NAMA_2,Nama 2,61,die,!kei !heire,,
NAMA_2-61-3,NAMA_2,Nama 2,61,die,!kawi,,
NAMA_2-66-1,NAMA_2,Nama 2,66,come,si,,
NAMA_2-66-2,NAMA_2,Nama 2,66,come,ha,,
NAMA_2-66-3,NAMA_2,Nama 2,66,come,!nuwu,,
NAMA_2-72-1,NAMA_2,Nama 2,72,sun,sores,,
NAMA_2-72-2,NAMA_2,Nama 2,72,sun,!kanis,,
NAMA_2-74-1,NAMA_2,Nama 2,74,star,!gamiros,,
NAMA_2-74-2,NAMA_2,Nama 2,74,star,!kani,,
NAMA_2-75-1,NAMA_2,Nama 2,75,water,!gami,,
NAMA_2-77-1,NAMA_2,Nama 2,77,stone,!nos,,
NAMA_2-77-2,NAMA_2,Nama 2,77,stone,!uis,,
NAMA_2-82-1,NAMA_2,Nama 2,82,fire,!ais,,
NAMA_2-85-1,NAMA_2,Nama 2,85,path,daob,,
NAMA_2-86-1,NAMA_2,Nama 2,86,mountain,!homi,,
NAMA_2-86-2,NAMA_2,Nama 2,86,mountain,!uib,,
NAMA_2-92-1,NAMA_2,Nama 2,92,night,cuxub,,
NAMA_2-95-1,NAMA_2,Nama 2,95,full,!a*,,
NAMA_2-95-2,NAMA_2,Nama 2,95,full,!oa,,
NAMA_2-95-3,NAMA_2,Nama 2,95,full,!khouni,,
NAMA_2-96-1,NAMA_2,Nama 2,96,new,!asa,,
NAMA_2-100-1,NAMA_2,Nama 2,100,name,!ons,,
