ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
NANJIANG-1-1,NANJIANG,Nanjiang,1,I,No,,
NANJIANG-11-1,NANJIANG,Nanjiang,11,one,Ch~3,,
NANJIANG-18-1,NANJIANG,Nanjiang,18,person,ch~u,,
NANJIANG-21-1,NANJIANG,Nanjiang,21,dog,akh~3,,
NANJIANG-22-1,NANJIANG,Nanjiang,22,louse,si,,
NANJIANG-23-1,NANJIANG,Nanjiang,23,tree,s3c37,,
NANJIANG-25-1,NANJIANG,Nanjiang,25,leaf,s3ph~i7,,
NANJIANG-28-1,NANJIANG,Nanjiang,28,skin,d3Cu,,
NANJIANG-30-1,NANJIANG,Nanjiang,30,blood,s3,,
NANJIANG-31-1,NANJIANG,Nanjiang,31,bone,uda,,
NANJIANG-34-1,NANJIANG,Nanjiang,34,horn,kh~u,,
NANJIANG-39-1,NANJIANG,Nanjiang,39,ear,napu,,
NANJIANG-40-1,NANJIANG,Nanjiang,40,eye,mise,,
NANJIANG-41-1,NANJIANG,Nanjiang,41,nose,nokh~u,,
NANJIANG-43-1,NANJIANG,Nanjiang,43,tooth,sy,,
NANJIANG-44-1,NANJIANG,Nanjiang,44,tongue,la,,
NANJIANG-48-1,NANJIANG,Nanjiang,48,hand,liph~i7,,
NANJIANG-53-1,NANJIANG,Nanjiang,53,liver,c3s3,,
NANJIANG-54-1,NANJIANG,Nanjiang,54,drink,du,,
NANJIANG-58-1,NANJIANG,Nanjiang,58,hear,ne,,
NANJIANG-61-1,NANJIANG,Nanjiang,61,die,x3,,
NANJIANG-66-1,NANJIANG,Nanjiang,66,come,la,,
NANJIANG-72-1,NANJIANG,Nanjiang,72,sun,amux3,,
NANJIANG-74-1,NANJIANG,Nanjiang,74,star,ce,,
NANJIANG-75-1,NANJIANG,Nanjiang,75,water,x3,,
NANJIANG-77-1,NANJIANG,Nanjiang,77,stone,kalo,,
NANJIANG-82-1,NANJIANG,Nanjiang,82,fire,ato,,
NANJIANG-85-1,NANJIANG,Nanjiang,85,path,goma,,
NANJIANG-86-1,NANJIANG,Nanjiang,86,mountain,kh~uj3,,
NANJIANG-92-1,NANJIANG,Nanjiang,92,night,mikh~3si,,
NANJIANG-95-1,NANJIANG,Nanjiang,95,full,c3,,
NANJIANG-96-1,NANJIANG,Nanjiang,96,new,x37,,
NANJIANG-100-1,NANJIANG,Nanjiang,100,name,mi*c3,,
