ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
NANKINA-1-1,NANKINA,Nankina,1,I,no,,
NANKINA-2-1,NANKINA,Nankina,2,you,go,,
NANKINA-3-1,NANKINA,Nankina,3,we,nin,,
NANKINA-11-1,NANKINA,Nankina,11,one,de,,
NANKINA-12-1,NANKINA,Nankina,12,two,yat,,
NANKINA-18-1,NANKINA,Nankina,18,person,omin,,
NANKINA-21-1,NANKINA,Nankina,21,dog,komin,,
NANKINA-21-2,NANKINA,Nankina,21,dog,komon,,
NANKINA-22-1,NANKINA,Nankina,22,louse,ayEt,,
NANKINA-23-1,NANKINA,Nankina,23,tree,kondop,,
NANKINA-25-1,NANKINA,Nankina,25,leaf,tEm,,
NANKINA-25-2,NANKINA,Nankina,25,leaf,tom,,
NANKINA-28-1,NANKINA,Nankina,28,skin,gop,,
NANKINA-30-1,NANKINA,Nankina,30,blood,duwok,,
NANKINA-31-1,NANKINA,Nankina,31,bone,karat,,
NANKINA-40-1,NANKINA,Nankina,40,eye,dawin,,
NANKINA-40-2,NANKINA,Nankina,40,eye,dabin,,
NANKINA-41-1,NANKINA,Nankina,41,nose,taman,,
NANKINA-47-1,NANKINA,Nankina,47,knee,mok,,
NANKINA-48-1,NANKINA,Nankina,48,hand,kit,,
NANKINA-51-1,NANKINA,Nankina,51,breast,mum,,
NANKINA-53-1,NANKINA,Nankina,53,liver,bu,,
NANKINA-57-1,NANKINA,Nankina,57,see,ka,,
NANKINA-58-1,NANKINA,Nankina,58,hear,nando,,
NANKINA-61-1,NANKINA,Nankina,61,die,kamat,,
NANKINA-61-2,NANKINA,Nankina,61,die,kama,,
NANKINA-66-1,NANKINA,Nankina,66,come,awu,,
NANKINA-66-2,NANKINA,Nankina,66,come,owu,,
NANKINA-66-3,NANKINA,Nankina,66,come,opu,,
NANKINA-66-4,NANKINA,Nankina,66,come,apu,,
NANKINA-66-5,NANKINA,Nankina,66,come,avu,,
NANKINA-72-1,NANKINA,Nankina,72,sun,gEt,,
NANKINA-75-1,NANKINA,Nankina,75,water,komu,,
NANKINA-77-1,NANKINA,Nankina,77,stone,tip,,
NANKINA-82-1,NANKINA,Nankina,82,fire,kondop,,
NANKINA-85-1,NANKINA,Nankina,85,path,tovo,,
NANKINA-85-2,NANKINA,Nankina,85,path,towo,,
NANKINA-86-1,NANKINA,Nankina,86,mountain,tawan,,
NANKINA-92-1,NANKINA,Nankina,92,night,kotnom,,
NANKINA-96-1,NANKINA,Nankina,96,new,kwindoknu,,
NANKINA-100-1,NANKINA,Nankina,100,name,man,,
