ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
NAYKHIN_NANAI-1-1,NAYKHIN_NANAI,Naykhin Nanai,1,I,mi,,
NAYKHIN_NANAI-2-1,NAYKHIN_NANAI,Naykhin Nanai,2,you,Si,,
NAYKHIN_NANAI-3-1,NAYKHIN_NANAI,Naykhin Nanai,3,we,bw~3,,
NAYKHIN_NANAI-11-1,NAYKHIN_NANAI,Naykhin Nanai,11,one,3m,,
NAYKHIN_NANAI-11-2,NAYKHIN_NANAI,Naykhin Nanai,11,one,3mu*,,
NAYKHIN_NANAI-12-1,NAYKHIN_NANAI,Naykhin Nanai,12,two,jw~3r,,
NAYKHIN_NANAI-18-1,NAYKHIN_NANAI,Naykhin Nanai,18,person,nai,,
NAYKHIN_NANAI-19-1,NAYKHIN_NANAI,Naykhin Nanai,19,fish,soGdata,,
NAYKHIN_NANAI-21-1,NAYKHIN_NANAI,Naykhin Nanai,21,dog,end~a,,
NAYKHIN_NANAI-22-1,NAYKHIN_NANAI,Naykhin Nanai,22,louse,Cikt3,,
NAYKHIN_NANAI-23-1,NAYKHIN_NANAI,Naykhin Nanai,23,tree,mo,,
NAYKHIN_NANAI-25-1,NAYKHIN_NANAI,Naykhin Nanai,25,leaf,Xabdata,,
NAYKHIN_NANAI-28-1,NAYKHIN_NANAI,Naykhin Nanai,28,skin,x3r3kt3,,
NAYKHIN_NANAI-30-1,NAYKHIN_NANAI,Naykhin Nanai,30,blood,s3ks3,,
NAYKHIN_NANAI-31-1,NAYKHIN_NANAI,Naykhin Nanai,31,bone,Germaqsa,,
NAYKHIN_NANAI-34-1,NAYKHIN_NANAI,Naykhin Nanai,34,horn,xuy3,,
NAYKHIN_NANAI-39-1,NAYKHIN_NANAI,Naykhin Nanai,39,ear,Sy~a*,,
NAYKHIN_NANAI-40-1,NAYKHIN_NANAI,Naykhin Nanai,40,eye,nasal,,
NAYKHIN_NANAI-41-1,NAYKHIN_NANAI,Naykhin Nanai,41,nose,oporo,,
NAYKHIN_NANAI-43-1,NAYKHIN_NANAI,Naykhin Nanai,43,tooth,xukt3,,
NAYKHIN_NANAI-44-1,NAYKHIN_NANAI,Naykhin Nanai,44,tongue,SiNmu,,
NAYKHIN_NANAI-47-1,NAYKHIN_NANAI,Naykhin Nanai,47,knee,p3iN3*,,
NAYKHIN_NANAI-48-1,NAYKHIN_NANAI,Naykhin Nanai,48,hand,Nala,,
NAYKHIN_NANAI-51-1,NAYKHIN_NANAI,Naykhin Nanai,51,breast,ku*,,
NAYKHIN_NANAI-51-2,NAYKHIN_NANAI,Naykhin Nanai,51,breast,tuNg~3*,,
NAYKHIN_NANAI-53-1,NAYKHIN_NANAI,Naykhin Nanai,53,liver,pa,,
NAYKHIN_NANAI-54-1,NAYKHIN_NANAI,Naykhin Nanai,54,drink,omy~ori,,
NAYKHIN_NANAI-57-1,NAYKHIN_NANAI,Naykhin Nanai,57,see,iC3uri,,
NAYKHIN_NANAI-58-1,NAYKHIN_NANAI,Naykhin Nanai,58,hear,doljori,,
NAYKHIN_NANAI-61-1,NAYKHIN_NANAI,Naykhin Nanai,61,die,burburi,,
NAYKHIN_NANAI-66-1,NAYKHIN_NANAI,Naykhin Nanai,66,come,pulSy~uri,,
NAYKHIN_NANAI-72-1,NAYKHIN_NANAI,Naykhin Nanai,72,sun,Sy~u*,,
NAYKHIN_NANAI-74-1,NAYKHIN_NANAI,Naykhin Nanai,74,star,XoSeqta,,
NAYKHIN_NANAI-75-1,NAYKHIN_NANAI,Naykhin Nanai,75,water,mw~3,,
NAYKHIN_NANAI-77-1,NAYKHIN_NANAI,Naykhin Nanai,77,stone,jolo,,
NAYKHIN_NANAI-82-1,NAYKHIN_NANAI,Naykhin Nanai,82,fire,j3gd3,,
NAYKHIN_NANAI-82-2,NAYKHIN_NANAI,Naykhin Nanai,82,fire,tava,,
NAYKHIN_NANAI-85-1,NAYKHIN_NANAI,Naykhin Nanai,85,path,poqto,,
NAYKHIN_NANAI-86-1,NAYKHIN_NANAI,Naykhin Nanai,86,mountain,xur3*,,
NAYKHIN_NANAI-92-1,NAYKHIN_NANAI,Naykhin Nanai,92,night,dolbo,,
NAYKHIN_NANAI-95-1,NAYKHIN_NANAI,Naykhin Nanai,95,full,3l3Ci,,
NAYKHIN_NANAI-96-1,NAYKHIN_NANAI,Naykhin Nanai,96,new,Siku*,,
NAYKHIN_NANAI-100-1,NAYKHIN_NANAI,Naykhin Nanai,100,name,g3rbu,,
NAYKHIN_NANAI-100-2,NAYKHIN_NANAI,Naykhin Nanai,100,name,Xala,,
