ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
NGALOOMA-1-1,NGALOOMA,Ngalooma,1,I,Nai,,
NGALOOMA-2-1,NGALOOMA,Ngalooma,2,you,niNu,,
NGALOOMA-3-1,NGALOOMA,Ngalooma,3,we,Nali,,
NGALOOMA-11-1,NGALOOMA,Ngalooma,11,one,kunT~iri,,
NGALOOMA-12-1,NGALOOMA,Ngalooma,12,two,ku8ara,,
NGALOOMA-18-1,NGALOOMA,Ngalooma,18,person,maiaga,,
NGALOOMA-19-1,NGALOOMA,Ngalooma,19,fish,pi,,
NGALOOMA-19-2,NGALOOMA,Ngalooma,19,fish,wagari,,
NGALOOMA-21-1,NGALOOMA,Ngalooma,21,dog,wanT~a,,
NGALOOMA-21-2,NGALOOMA,Ngalooma,21,dog,yoguru,,
NGALOOMA-22-1,NGALOOMA,Ngalooma,22,louse,kulu,,
NGALOOMA-25-1,NGALOOMA,Ngalooma,25,leaf,parr~ga,,
NGALOOMA-28-1,NGALOOMA,Ngalooma,28,skin,kabun,,
NGALOOMA-30-1,NGALOOMA,Ngalooma,30,blood,mard~a,,
NGALOOMA-31-1,NGALOOMA,Ngalooma,31,bone,kuTi,,
NGALOOMA-34-1,NGALOOMA,Ngalooma,34,horn,panagari,,
NGALOOMA-39-1,NGALOOMA,Ngalooma,39,ear,kulga,,
NGALOOMA-40-1,NGALOOMA,Ngalooma,40,eye,8ola,,
NGALOOMA-43-1,NGALOOMA,Ngalooma,43,tooth,yira,,
NGALOOMA-44-1,NGALOOMA,Ngalooma,44,tongue,yalura,,
NGALOOMA-44-2,NGALOOMA,Ngalooma,44,tongue,8ali,,
NGALOOMA-48-1,NGALOOMA,Ngalooma,48,hand,mara,,
NGALOOMA-53-1,NGALOOMA,Ngalooma,53,liver,Namarr~i,,
NGALOOMA-54-1,NGALOOMA,Ngalooma,54,drink,pinT~a,,
NGALOOMA-57-1,NGALOOMA,Ngalooma,57,see,nagu,,
NGALOOMA-58-1,NGALOOMA,Ngalooma,58,hear,wanabari,,
NGALOOMA-66-1,NGALOOMA,Ngalooma,66,come,kugai,,
NGALOOMA-72-1,NGALOOMA,Ngalooma,72,sun,yarnd~a,,
NGALOOMA-72-2,NGALOOMA,Ngalooma,72,sun,yura,,
NGALOOMA-74-1,NGALOOMA,Ngalooma,74,star,pirnd$iri,,
NGALOOMA-75-1,NGALOOMA,Ngalooma,75,water,paba,,
NGALOOMA-77-1,NGALOOMA,Ngalooma,77,stone,marnd$a,,
NGALOOMA-82-1,NGALOOMA,Ngalooma,82,fire,kala,,
NGALOOMA-85-1,NGALOOMA,Ngalooma,85,path,yird~ia,,
NGALOOMA-92-1,NGALOOMA,Ngalooma,92,night,8un8~u,,
NGALOOMA-95-1,NGALOOMA,Ngalooma,95,full,wi5a,,
NGALOOMA-96-1,NGALOOMA,Ngalooma,96,new,yiTaNu,,
NGALOOMA-100-1,NGALOOMA,Ngalooma,100,name,yini,,
