ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
NGALUM_2-19-1,NGALUM_2,Ngalum 2,19,fish,aniN,,
NGALUM_2-21-1,NGALUM_2,Ngalum 2,21,dog,man,,
NGALUM_2-23-1,NGALUM_2,Ngalum 2,23,tree,ais,,
NGALUM_2-25-1,NGALUM_2,Ngalum 2,25,leaf,ais kon,,
NGALUM_2-28-1,NGALUM_2,Ngalum 2,28,skin,kar,,
NGALUM_2-30-1,NGALUM_2,Ngalum 2,30,blood,kaim,,
NGALUM_2-31-1,NGALUM_2,Ngalum 2,31,bone,kun,,
NGALUM_2-39-1,NGALUM_2,Ngalum 2,39,ear,karun kar,,
NGALUM_2-40-1,NGALUM_2,Ngalum 2,40,eye,kin,,
NGALUM_2-43-1,NGALUM_2,Ngalum 2,43,tooth,kair,,
NGALUM_2-44-1,NGALUM_2,Ngalum 2,44,tongue,faroN,,
NGALUM_2-47-1,NGALUM_2,Ngalum 2,47,knee,katin,,
NGALUM_2-48-1,NGALUM_2,Ngalum 2,48,hand,taiN,,
NGALUM_2-51-1,NGALUM_2,Ngalum 2,51,breast,muk,,
NGALUM_2-72-1,NGALUM_2,Ngalum 2,72,sun,atan,,
NGALUM_2-75-1,NGALUM_2,Ngalum 2,75,water,wok,,
NGALUM_2-77-1,NGALUM_2,Ngalum 2,77,stone,tum,,
NGALUM_2-82-1,NGALUM_2,Ngalum 2,82,fire,ais,,
NGALUM_2-85-1,NGALUM_2,Ngalum 2,85,path,reib,,
NGALUM_2-86-1,NGALUM_2,Ngalum 2,86,mountain,amu,,
