ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
NGAMO-11-1,NGAMO,Ngamo,11,one,modi,,
NGAMO-12-1,NGAMO,Ngamo,12,two,bolo,,
NGAMO-18-1,NGAMO,Ngamo,18,person,Ng~o,,
NGAMO-19-1,NGAMO,Ngamo,19,fish,k3ruwo,,
NGAMO-21-1,NGAMO,Ngamo,21,dog,ada,,
NGAMO-22-1,NGAMO,Ngamo,22,louse,jaNk~ar,,
NGAMO-23-1,NGAMO,Ngamo,23,tree,gale,,
NGAMO-25-1,NGAMO,Ngamo,25,leaf,dafo,,
NGAMO-28-1,NGAMO,Ngamo,28,skin,diSi,,
NGAMO-30-1,NGAMO,Ngamo,30,blood,dom,,
NGAMO-31-1,NGAMO,Ngamo,31,bone,woso,,
NGAMO-34-1,NGAMO,Ngamo,34,horn,baluhu,,
NGAMO-39-1,NGAMO,Ngamo,39,ear,kuma,,
NGAMO-40-1,NGAMO,Ngamo,40,eye,ida,,
NGAMO-41-1,NGAMO,Ngamo,41,nose,wunt~i,,
NGAMO-43-1,NGAMO,Ngamo,43,tooth,wudo,,
NGAMO-44-1,NGAMO,Ngamo,44,tongue,lins~o,,
NGAMO-47-1,NGAMO,Ngamo,47,knee,buru,,
NGAMO-51-1,NGAMO,Ngamo,51,breast,yEdi,,
NGAMO-53-1,NGAMO,Ngamo,53,liver,fupso,,
NGAMO-54-1,NGAMO,Ngamo,54,drink,sat,,
NGAMO-57-1,NGAMO,Ngamo,57,see,moy,,
NGAMO-58-1,NGAMO,Ngamo,58,hear,kw~3l,,
NGAMO-61-1,NGAMO,Ngamo,61,die,matin,,
NGAMO-66-1,NGAMO,Ngamo,66,come,nd~in,,
NGAMO-72-1,NGAMO,Ngamo,72,sun,foti,,
NGAMO-74-1,NGAMO,Ngamo,74,star,j3nj~a,,
NGAMO-75-1,NGAMO,Ngamo,75,water,ham,,
NGAMO-77-1,NGAMO,Ngamo,77,stone,goSo,,
NGAMO-82-1,NGAMO,Ngamo,82,fire,yEsi,,
NGAMO-85-1,NGAMO,Ngamo,85,path,bila,,
NGAMO-85-2,NGAMO,Ngamo,85,path,d3be,,
NGAMO-86-1,NGAMO,Ngamo,86,mountain,goSo,,
NGAMO-92-1,NGAMO,Ngamo,92,night,bEdi,,
NGAMO-96-1,NGAMO,Ngamo,96,new,foyo,,
NGAMO-100-1,NGAMO,Ngamo,100,name,sun,,
