ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
NGAWUN-1-1,NGAWUN,Ngawun,1,I,Nayu,,
NGAWUN-2-1,NGAWUN,Ngawun,2,you,yund~u,,
NGAWUN-3-1,NGAWUN,Ngawun,3,we,Nana,,
NGAWUN-11-1,NGAWUN,Ngawun,11,one,waNg~a,,
NGAWUN-12-1,NGAWUN,Ngawun,12,two,pulakara,,
NGAWUN-18-1,NGAWUN,Ngawun,18,person,pa5dy$il,,
NGAWUN-18-2,NGAWUN,Ngawun,18,person,yalmir,,
NGAWUN-19-1,NGAWUN,Ngawun,19,fish,palpi,,
NGAWUN-21-1,NGAWUN,Ngawun,21,dog,yamb~i,,
NGAWUN-23-1,NGAWUN,Ngawun,23,tree,tini,,
NGAWUN-28-1,NGAWUN,Ngawun,28,skin,kataLu,,
NGAWUN-30-1,NGAWUN,Ngawun,30,blood,kapul,,
NGAWUN-30-2,NGAWUN,Ngawun,30,blood,kapuL,,
NGAWUN-31-1,NGAWUN,Ngawun,31,bone,timul,,
NGAWUN-39-1,NGAWUN,Ngawun,39,ear,maNa5maNa5,,
NGAWUN-40-1,NGAWUN,Ngawun,40,eye,mili,,
NGAWUN-41-1,NGAWUN,Ngawun,41,nose,ku5in,,
NGAWUN-43-1,NGAWUN,Ngawun,43,tooth,yar,,
NGAWUN-44-1,NGAWUN,Ngawun,44,tongue,Nulan,,
NGAWUN-47-1,NGAWUN,Ngawun,47,knee,puNk~ul,,
NGAWUN-48-1,NGAWUN,Ngawun,48,hand,maL,,
NGAWUN-51-1,NGAWUN,Ngawun,51,breast,tamb~utamb~u,,
NGAWUN-51-2,NGAWUN,Ngawun,51,breast,mimi,,
NGAWUN-53-1,NGAWUN,Ngawun,53,liver,maty~ir,,
NGAWUN-54-1,NGAWUN,Ngawun,54,drink,ma4d~a,,
NGAWUN-54-2,NGAWUN,Ngawun,54,drink,pata,,
NGAWUN-57-1,NGAWUN,Ngawun,57,see,4ama,,
NGAWUN-58-1,NGAWUN,Ngawun,58,hear,NaNg~a,,
NGAWUN-61-1,NGAWUN,Ngawun,61,die,muty~a,,
NGAWUN-66-1,NGAWUN,Ngawun,66,come,wapa,,
NGAWUN-66-2,NGAWUN,Ngawun,66,come,kura,,
NGAWUN-72-1,NGAWUN,Ngawun,72,sun,ma4d~ara,,
NGAWUN-74-1,NGAWUN,Ngawun,74,star,kuti,,
NGAWUN-75-1,NGAWUN,Ngawun,75,water,kamu,,
NGAWUN-77-1,NGAWUN,Ngawun,77,stone,mind~i,,
NGAWUN-82-1,NGAWUN,Ngawun,82,fire,yakan,,
NGAWUN-92-1,NGAWUN,Ngawun,92,night,karpu,,
