ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
NGUNGWEL-2-1,NGUNGWEL,Ngungwel,2,you,nge,,
NGUNGWEL-11-1,NGUNGWEL,Ngungwel,11,one,mo,,
NGUNGWEL-19-1,NGUNGWEL,Ngungwel,19,fish,cwi,,
NGUNGWEL-21-1,NGUNGWEL,Ngungwel,21,dog,va,,
NGUNGWEL-22-1,NGUNGWEL,Ngungwel,22,louse,ncana,,
NGUNGWEL-23-1,NGUNGWEL,Ngungwel,23,tree,ti,,
NGUNGWEL-25-1,NGUNGWEL,Ngungwel,25,leaf,cwiyi,,
NGUNGWEL-28-1,NGUNGWEL,Ngungwel,28,skin,bana,,
NGUNGWEL-28-2,NGUNGWEL,Ngungwel,28,skin,bu,,
NGUNGWEL-30-1,NGUNGWEL,Ngungwel,30,blood,kel,,
NGUNGWEL-31-1,NGUNGWEL,Ngungwel,31,bone,yuwey,,
NGUNGWEL-34-1,NGUNGWEL,Ngungwel,34,horn,shi,,
NGUNGWEL-41-1,NGUNGWEL,Ngungwel,41,nose,yuwel,,
NGUNGWEL-44-1,NGUNGWEL,Ngungwel,44,tongue,lela*,,
NGUNGWEL-51-1,NGUNGWEL,Ngungwel,51,breast,bya,,
NGUNGWEL-54-1,NGUNGWEL,Ngungwel,54,drink,ngwao,,
NGUNGWEL-57-1,NGUNGWEL,Ngungwel,57,see,muni,,
NGUNGWEL-57-2,NGUNGWEL,Ngungwel,57,see,tala,,
NGUNGWEL-61-1,NGUNGWEL,Ngungwel,61,die,kwa,,
NGUNGWEL-66-1,NGUNGWEL,Ngungwel,66,come,ya,,
NGUNGWEL-72-1,NGUNGWEL,Ngungwel,72,sun,tala,,
NGUNGWEL-75-1,NGUNGWEL,Ngungwel,75,water,aca,,
NGUNGWEL-77-1,NGUNGWEL,Ngungwel,77,stone,kono,,
NGUNGWEL-82-1,NGUNGWEL,Ngungwel,82,fire,ba,,
NGUNGWEL-86-1,NGUNGWEL,Ngungwel,86,mountain,kyu,,
NGUNGWEL-92-1,NGUNGWEL,Ngungwel,92,night,mpere,,
NGUNGWEL-95-1,NGUNGWEL,Ngungwel,95,full,luli,,
NGUNGWEL-95-2,NGUNGWEL,Ngungwel,95,full,to,,
NGUNGWEL-96-1,NGUNGWEL,Ngungwel,96,new,nyonu,,
NGUNGWEL-96-2,NGUNGWEL,Ngungwel,96,new,nyoru,,
