ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
NINKA-1-1,NINKA,Ninka,1,I,Ng~a,,
NINKA-2-1,NINKA,Ninka,2,you,wa,,
NINKA-3-1,NINKA,Ninka,3,we,kw~ara,,
NINKA-11-1,NINKA,Ninka,11,one,gy~3n,,
NINKA-12-1,NINKA,Ninka,12,two,ywa,,
NINKA-18-1,NINKA,Ninka,18,person,nd~iSir,,
NINKA-19-1,NINKA,Ninka,19,fish,amb~E,,
NINKA-21-1,NINKA,Ninka,21,dog,gugu,,
NINKA-22-1,NINKA,Ninka,22,louse,Nant~u,,
NINKA-23-1,NINKA,Ninka,23,tree,kunk~un,,
NINKA-25-1,NINKA,Ninka,25,leaf,mgb$aN,,
NINKA-28-1,NINKA,Ninka,28,skin,kp~a,,
NINKA-30-1,NINKA,Ninka,30,blood,agi,,
NINKA-31-1,NINKA,Ninka,31,bone,kuku,,
NINKA-34-1,NINKA,Ninka,34,horn,nz~om,,
NINKA-39-1,NINKA,Ninka,39,ear,ton,,
NINKA-40-1,NINKA,Ninka,40,eye,ki,,
NINKA-41-1,NINKA,Ninka,41,nose,mv~3r,,
NINKA-43-1,NINKA,Ninka,43,tooth,5in,,
NINKA-44-1,NINKA,Ninka,44,tongue,r3ryEn,,
NINKA-47-1,NINKA,Ninka,47,knee,gb~arum,,
NINKA-48-1,NINKA,Ninka,48,hand,ko,,
NINKA-51-1,NINKA,Ninka,51,breast,ke,,
NINKA-53-1,NINKA,Ninka,53,liver,asusun,,
NINKA-54-1,NINKA,Ninka,54,drink,so,,
NINKA-57-1,NINKA,Ninka,57,see,yik,,
NINKA-58-1,NINKA,Ninka,58,hear,wo,,
NINKA-61-1,NINKA,Ninka,61,die,ku,,
NINKA-66-1,NINKA,Ninka,66,come,5in,,
NINKA-72-1,NINKA,Ninka,72,sun,ari,,
NINKA-74-1,NINKA,Ninka,74,star,and~is,,
NINKA-75-1,NINKA,Ninka,75,water,am3sh~ir,,
NINKA-77-1,NINKA,Ninka,77,stone,mkp$an,,
NINKA-82-1,NINKA,Ninka,82,fire,wur,,
NINKA-85-1,NINKA,Ninka,85,path,aNg~awc3r,,
NINKA-86-1,NINKA,Ninka,86,mountain,ank~um,,
NINKA-92-1,NINKA,Ninka,92,night,bu,,
NINKA-96-1,NINKA,Ninka,96,new,wuwas,,
NINKA-100-1,NINKA,Ninka,100,name,sa,,
