ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
NKHONDE-11-1,NKHONDE,Nkhonde,11,one,ThomoThene,,
NKHONDE-12-1,NKHONDE,Nkhonde,12,two,bili,,
NKHONDE-18-1,NKHONDE,Nkhonde,18,person,nthu,,
NKHONDE-19-1,NKHONDE,Nkhonde,19,fish,swi,,
NKHONDE-21-1,NKHONDE,Nkhonde,21,dog,mbwa,,
NKHONDE-22-1,NKHONDE,Nkhonde,22,louse,ngolo,,
NKHONDE-23-1,NKHONDE,Nkhonde,23,tree,piki,,
NKHONDE-25-1,NKHONDE,Nkhonde,25,leaf,ani,,
NKHONDE-28-1,NKHONDE,Nkhonde,28,skin,biri,,
NKHONDE-30-1,NKHONDE,Nkhonde,30,blood,lopa,,
NKHONDE-31-1,NKHONDE,Nkhonde,31,bone,fupa,,
NKHONDE-34-1,NKHONDE,Nkhonde,34,horn,pembe,,
NKHONDE-39-1,NKHONDE,Nkhonde,39,ear,mbulukutu,,
NKHONDE-40-1,NKHONDE,Nkhonde,40,eye,sighe,,
NKHONDE-41-1,NKHONDE,Nkhonde,41,nose,mphuno,,
NKHONDE-43-1,NKHONDE,Nkhonde,43,tooth,ino,,
NKHONDE-44-1,NKHONDE,Nkhonde,44,tongue,limi,,
NKHONDE-47-1,NKHONDE,Nkhonde,47,knee,fundo,,
NKHONDE-51-1,NKHONDE,Nkhonde,51,breast,bele,,
NKHONDE-53-1,NKHONDE,Nkhonde,53,liver,hafwa,,
NKHONDE-54-1,NKHONDE,Nkhonde,54,drink,ngwa,,
NKHONDE-57-1,NKHONDE,Nkhonde,57,see,keta,,
NKHONDE-58-1,NKHONDE,Nkhonde,58,hear,pilika,,
NKHONDE-61-1,NKHONDE,Nkhonde,61,die,fwa,,
NKHONDE-66-1,NKHONDE,Nkhonde,66,come,isa,,
NKHONDE-72-1,NKHONDE,Nkhonde,72,sun,zuba,,
NKHONDE-74-1,NKHONDE,Nkhonde,74,star,tondwa,,
NKHONDE-74-2,NKHONDE,Nkhonde,74,star,thondwa,,
NKHONDE-75-1,NKHONDE,Nkhonde,75,water,misi,,
NKHONDE-77-1,NKHONDE,Nkhonde,77,stone,bwe,,
NKHONDE-82-1,NKHONDE,Nkhonde,82,fire,moto,,
NKHONDE-85-1,NKHONDE,Nkhonde,85,path,njira,,
NKHONDE-86-1,NKHONDE,Nkhonde,86,mountain,piri,,
NKHONDE-92-1,NKHONDE,Nkhonde,92,night,kilo,,
NKHONDE-95-1,NKHONDE,Nkhonde,95,full,isula,,
NKHONDE-96-1,NKHONDE,Nkhonde,96,new,pya,,
NKHONDE-100-1,NKHONDE,Nkhonde,100,name,ngamu,,
