ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
NORTHERN_TEPEHUAN-1-1,NORTHERN_TEPEHUAN,Northern Tepehuan,1,I,an3,,
NORTHERN_TEPEHUAN-2-1,NORTHERN_TEPEHUAN,Northern Tepehuan,2,you,api,,
NORTHERN_TEPEHUAN-3-1,NORTHERN_TEPEHUAN,Northern Tepehuan,3,we,at3,,
NORTHERN_TEPEHUAN-11-1,NORTHERN_TEPEHUAN,Northern Tepehuan,11,one,3mado,,
NORTHERN_TEPEHUAN-12-1,NORTHERN_TEPEHUAN,Northern Tepehuan,12,two,goka,,
NORTHERN_TEPEHUAN-19-1,NORTHERN_TEPEHUAN,Northern Tepehuan,19,fish,vatopa,,
NORTHERN_TEPEHUAN-21-1,NORTHERN_TEPEHUAN,Northern Tepehuan,21,dog,gogoSi,,
NORTHERN_TEPEHUAN-22-1,NORTHERN_TEPEHUAN,Northern Tepehuan,22,louse,ivap3t3i,,
NORTHERN_TEPEHUAN-22-2,NORTHERN_TEPEHUAN,Northern Tepehuan,22,louse,at3i,,
NORTHERN_TEPEHUAN-23-1,NORTHERN_TEPEHUAN,Northern Tepehuan,23,tree,uSi,,
NORTHERN_TEPEHUAN-25-1,NORTHERN_TEPEHUAN,Northern Tepehuan,25,leaf,aga,,
NORTHERN_TEPEHUAN-30-1,NORTHERN_TEPEHUAN,Northern Tepehuan,30,blood,3rai,,
NORTHERN_TEPEHUAN-31-1,NORTHERN_TEPEHUAN,Northern Tepehuan,31,bone,oyi,,
NORTHERN_TEPEHUAN-31-2,NORTHERN_TEPEHUAN,Northern Tepehuan,31,bone,oi,,
NORTHERN_TEPEHUAN-39-1,NORTHERN_TEPEHUAN,Northern Tepehuan,39,ear,naka,,
NORTHERN_TEPEHUAN-40-1,NORTHERN_TEPEHUAN,Northern Tepehuan,40,eye,vuhi,,
NORTHERN_TEPEHUAN-40-2,NORTHERN_TEPEHUAN,Northern Tepehuan,40,eye,vui,,
NORTHERN_TEPEHUAN-41-1,NORTHERN_TEPEHUAN,Northern Tepehuan,41,nose,daka,,
NORTHERN_TEPEHUAN-44-1,NORTHERN_TEPEHUAN,Northern Tepehuan,44,tongue,n3n3,,
NORTHERN_TEPEHUAN-47-1,NORTHERN_TEPEHUAN,Northern Tepehuan,47,knee,tona,,
NORTHERN_TEPEHUAN-48-1,NORTHERN_TEPEHUAN,Northern Tepehuan,48,hand,novi,,
NORTHERN_TEPEHUAN-51-1,NORTHERN_TEPEHUAN,Northern Tepehuan,51,breast,vipi,,
NORTHERN_TEPEHUAN-51-2,NORTHERN_TEPEHUAN,Northern Tepehuan,51,breast,pipi,,
NORTHERN_TEPEHUAN-53-1,NORTHERN_TEPEHUAN,Northern Tepehuan,53,liver,n3ma,,
NORTHERN_TEPEHUAN-53-2,NORTHERN_TEPEHUAN,Northern Tepehuan,53,liver,n3mad3,,
NORTHERN_TEPEHUAN-54-1,NORTHERN_TEPEHUAN,Northern Tepehuan,54,drink,y3i,,
NORTHERN_TEPEHUAN-57-1,NORTHERN_TEPEHUAN,Northern Tepehuan,57,see,t3gai,,
NORTHERN_TEPEHUAN-58-1,NORTHERN_TEPEHUAN,Northern Tepehuan,58,hear,ka3,,
NORTHERN_TEPEHUAN-72-1,NORTHERN_TEPEHUAN,Northern Tepehuan,72,sun,tasai,,
NORTHERN_TEPEHUAN-75-1,NORTHERN_TEPEHUAN,Northern Tepehuan,75,water,sudagi,,
NORTHERN_TEPEHUAN-77-1,NORTHERN_TEPEHUAN,Northern Tepehuan,77,stone,odai,,
NORTHERN_TEPEHUAN-82-1,NORTHERN_TEPEHUAN,Northern Tepehuan,82,fire,tai,,
NORTHERN_TEPEHUAN-85-1,NORTHERN_TEPEHUAN,Northern Tepehuan,85,path,voi,,
NORTHERN_TEPEHUAN-86-1,NORTHERN_TEPEHUAN,Northern Tepehuan,86,mountain,oidy~igi,,
NORTHERN_TEPEHUAN-92-1,NORTHERN_TEPEHUAN,Northern Tepehuan,92,night,tukagi,,
NORTHERN_TEPEHUAN-96-1,NORTHERN_TEPEHUAN,Northern Tepehuan,96,new,utud3,,
